Press or Release,Key,Time
P,w,1735660004065
P,e,1735660004127
P,r,1735660004129
R,w,1735660004168
R,r,1735660004271
R,e,1735660004280
P,h,1735660004336
P,a,1735660004432
P,e,1735660004492
R,h,1735660004545
P,Key.space,1735660004600
R,e,1735660004640
R,a,1735660004663
R,Key.space,1735660004767
P,h,1735660004873
P,Key.space,1735660004889
P,e,1735660004904
R,e,1735660005023
R,h,1735660005031
R,Key.space,1735660005096
P,Key.space,1735660005184
R,Key.space,1735660005456
P,e,1735660005472
P,k,1735660005544
P,Key.space,1735660005551
R,e,1735660005632
P,h,1735660005676
R,k,1735660005678
R,Key.space,1735660005752
R,h,1735660005809
P,i,1735660005832
P,Key.space,1735660005895
R,i,1735660005936
R,Key.space,1735660006176
P,Key.space,1735660006288
R,Key.space,1735660006384
P,h,1735660006513
R,h,1735660006625
P,e,1735660006645
P,Key.space,1735660006744
R,e,1735660006825
R,Key.space,1735660006944
P,u,1735660007064
R,u,1735660007081
P,Key.space,1735660007391
R,Key.space,1735660007576
P,h,1735660007777
R,h,1735660007952
P,s,1735660008047
P,a,1735660008108
P,Key.shift,1735660008112
P,H,1735660008132
R,H,1735660008264
R,s,1735660008304
R,a,1735660008336
P,K,1735660008344
R,Key.shift,1735660008392
P,Key.space,1735660008441
P,h,1735660008457
R,K,1735660008465
R,Key.space,1735660008520
R,h,1735660008585
P,Key.space,1735660008728
R,Key.space,1735660008936
P,e,1735660009288
P,Key.space,1735660009440
P,f,1735660009458
R,e,1735660009472
R,f,1735660009481
R,Key.space,1735660009647
P,h,1735660009784
R,h,1735660009896
P,d,1735660009960
P,f,1735660010088
R,d,1735660010160
R,f,1735660010184
P,Key.space,1735660010223
P,h,1735660010238
R,h,1735660010344
R,Key.space,1735660010456
P,Key.space,1735660010600
R,Key.space,1735660011088
P,k,1735660011232
P,Key.space,1735660011288
R,k,1735660011335
R,Key.space,1735660011488
P,a,1735660011609
P,h,1735660011668
P,s,1735660011713
R,a,1735660011832
