Press or Release,Key,Time
P,a,1735660037677
R,a,1735660037850
P,n,1735660038026
R,n,1735660038185
P,Key.space,1735660038250
R,Key.space,1735660038362
P,a,1735660038457
R,a,1735660038617
P,c,1735660038953
R,c,1735660039081
P,h,1735660039450
R,h,1735660039642
P,o,1735660039642
R,o,1735660039754
P,r,1735660039819
P,Key.space,1735660039914
R,r,1735660039946
R,Key.space,1735660040009
P,Key.backspace,1735660040843
R,Key.backspace,1735660040875
P,Key.backspace,1735660040971
R,Key.backspace,1735660041034
P,Key.backspace,1735660041114
R,Key.backspace,1735660041178
P,Key.backspace,1735660041259
R,Key.backspace,1735660041322
P,Key.backspace,1735660042026
R,Key.backspace,1735660042137
P,n,1735660042811
R,n,1735660042938
P,c,1735660043049
P,h,1735660043178
R,c,1735660043194
R,h,1735660043306
P,o,1735660043338
R,o,1735660043451
P,r,1735660043497
R,r,1735660043610
P,Key.space,1735660043627
R,Key.space,1735660043706
P,d,1735660043834
R,d,1735660043945
P,o,1735660043962
R,o,1735660044106
P,i,1735660044122
R,i,1735660044236
P,n,1735660044330
P,g,1735660044442
R,n,1735660044458
R,g,1735660044554
P,Key.space,1735660044554
R,Key.space,1735660044634
P,h,1735660044686
R,h,1735660044746
P,i,1735660044858
P,s,1735660044907
R,i,1735660044924
R,s,1735660045019
P,Key.space,1735660045034
R,Key.space,1735660045113
P,j,1735660045562
R,j,1735660045674
P,o,1735660045737
R,o,1735660045850
P,b,1735660045914
R,b,1735660046025
P,Key.space,1735660046090
R,Key.space,1735660046170
P,b,1735660046748
R,b,1735660046843
P,y,1735660046970
R,y,1735660047066
P,Key.space,1735660048170
R,Key.space,1735660048320
P,m,1735660048447
R,m,1735660048539
P,a,1735660048586
P,k,1735660048667
R,a,1735660048730
R,k,1735660048746
P,i,1735660048858
R,i,1735660048938
P,n,1735660049036
R,n,1735660049164
P,g,1735660049164
R,g,1735660049258
P,Key.space,1735660049289
R,Key.space,1735660049402
P,o,1735660049418
R,o,1735660049530
P,t,1735660049579
P,h,1735660049658
R,t,1735660049723
R,h,1735660049754
P,e,1735660049801
P,r,1735660049898
R,e,1735660049946
R,r,1735660050009
P,Key.space,1735660050041
R,Key.space,1735660050138
P,h,1735660051306
R,h,1735660051450
P,a,1735660051466
P,p,1735660051562
R,a,1735660051596
R,p,1735660051658
P,p,1735660051739
R,p,1735660051865
P,y,1735660051882
R,y,1735660051994
P,Key.space,1735660052058
R,Key.space,1735660052169
P,a,1735660052219
P,n,1735660052298
R,a,1735660052362
R,n,1735660052410
P,d,1735660052443
R,d,1735660052542
P,Key.space,1735660052554
R,Key.space,1735660052618
P,l,1735660052698
R,l,1735660052817
P,a,1735660052826
R,a,1735660053003
P,u,1735660053754
R,u,1735660053834
P,g,1735660053962
R,g,1735660054058
P,h,1735660054138
