Press or Release,Key,Time
P,Key.caps_lock,1735660006494
R,Key.caps_lock,1735660006636
P,A,1735660006667
R,A,1735660006730
P,Key.caps_lock,1735660006772
R,Key.caps_lock,1735660006930
P,Key.space,1735660007039
R,Key.space,1735660007123
P,h,1735660007264
R,h,1735660007352
P,a,1735660007770
R,a,1735660007900
P,t,1735660007900
R,t,1735660007972
P,e,1735660008104
R,e,1735660008183
P,Key.backspace,1735660010570
R,Key.backspace,1735660010664
P,Key.backspace,1735660012148
R,Key.backspace,1735660012260
P,Key.backspace,1735660013257
R,Key.backspace,1735660013644
P,e,1735660013820
R,e,1735660013885
P,a,1735660013991
R,a,1735660014179
P,t,1735660014226
R,t,1735660014351
P,e,1735660014632
R,e,1735660014692
P,d,1735660014839
R,d,1735660014949
P,Key.space,1735660015077
R,Key.space,1735660015194
P,a,1735660017197
R,a,1735660017263
P,r,1735660018179
R,r,1735660018223
P,g,1735660018430
R,g,1735660018503
P,u,1735660018670
R,u,1735660018731
P,m,1735660018945
R,m,1735660019002
P,e,1735660019432
R,e,1735660019494
P,n,1735660019907
R,n,1735660019990
P,t,1735660020148
R,t,1735660020222
P,Key.space,1735660020297
R,Key.space,1735660020455
P,e,1735660021666
P,r,1735660021731
R,e,1735660021765
R,r,1735660021820
P,u,1735660022208
R,u,1735660022264
P,Key.backspace,1735660023919
R,Key.backspace,1735660024006
P,u,1735660025509
R,u,1735660025697
P,p,1735660025789
R,p,1735660025882
P,t,1735660026242
R,t,1735660026331
P,e,1735660026400
R,e,1735660026601
P,d,1735660026664
R,d,1735660026789
P,Key.space,1735660026839
R,Key.space,1735660026922
P,b,1735660027540
R,b,1735660027604
P,e,1735660027770
P,t,1735660027900
R,e,1735660027916
R,t,1735660027970
P,w,1735660031195
R,w,1735660031320
P,e,1735660031461
R,e,1735660031564
P,e,1735660031652
R,e,1735660031787
P,n,1735660031851
R,n,1735660031936
P,Key.space,1735660032007
R,Key.space,1735660032112
P,Key.caps_lock,1735660034508
R,Key.caps_lock,1735660034610
P,U,1735660034641
R,U,1735660034724
P,S,1735660034992
R,S,1735660035088
P,Key.space,1735660035101
R,Key.space,1735660035195
P,P,1735660037051
R,P,1735660037145
P,Key.caps_lock,1735660037511
R,Key.caps_lock,1735660037753
P,r,1735660037763
