Press or Release,Key,Time
P,i,1735660008388
R,i,1735660008493
P,n,1735660008580
R,n,1735660008668
P,t,1735660008717
R,t,1735660008796
P,Key.backspace,1735660009156
P,\,1735660009166
R,Key.backspace,1735660009254
R,\,1735660009258
P,Key.backspace,1735660010558
R,Key.backspace,1735660010639
P,s,1735660010836
R,s,1735660011022
P,t,1735660011077
R,t,1735660011220
P,r,1735660011780
R,r,1735660011926
P,a,1735660011996
R,a,1735660012196
P,g,1735660012252
R,g,1735660012342
P,r,1735660012427
R,r,1735660012556
P,a,1735660012934
P,n,1735660013092
R,a,1735660013101
R,n,1735660013173
P,Key.space,1735660013373
R,Key.space,1735660013486
P,c,1735660013638
P,l,1735660013795
R,c,1735660013804
R,l,1735660013854
P,o,1735660013942
R,o,1735660014021
P,n,1735660014173
R,n,1735660014212
P,e,1735660014342
R,e,1735660014429
P,Key.space,1735660014597
R,Key.space,1735660014716
P,l,1735660015259
P,i,1735660015347
R,l,1735660015422
R,i,1735660015486
P,k,1735660015611
R,k,1735660015661
P,e,1735660015774
R,e,1735660015900
P,Key.space,1735660016116
R,Key.space,1735660016278
P,u,1735660016445
R,u,1735660016564
P,s,1735660016605
P,e,1735660016740
R,s,1735660016790
R,e,1735660017039
P,Key.space,1735660017165
R,Key.space,1735660017309
P,o,1735660017395
R,o,1735660017524
P,t,1735660017550
R,t,1735660017659
P,h,1735660017676
R,h,1735660017780
P,e,1735660017836
P,r,1735660017932
R,e,1735660018004
R,r,1735660018077
P,s,1735660018219
R,s,1735660018342
P,Key.space,1735660018411
R,Key.space,1735660018532
P,l,1735660018614
R,l,1735660018750
P,e,1735660018827
P,o,1735660018910
R,e,1735660018932
R,o,1735660019022
P,c,1735660019155
R,c,1735660019316
P,s,1735660019478
R,s,1735660019660
P,t,1735660019780
R,t,1735660019876
P,a,1735660020003
R,a,1735660020123
P,Key.space,1735660020374
R,Key.space,1735660020517
P,r,1735660020675
P,e,1735660020852
R,r,1735660020876
R,e,1735660020940
P,s,1735660021078
P,p,1735660021155
R,s,1735660021228
R,p,1735660021288
P,o,1735660022365
R,o,1735660022478
P,n,1735660022562
R,n,1735660022684
P,s,1735660022774
P,i,1735660022846
R,s,1735660022914
R,i,1735660022948
P,v,1735660023061
R,v,1735660023229
P,e,1735660023358
R,e,1735660023518
P,Key.space,1735660023563
R,Key.space,1735660023723
P,c,1735660023957
P,o,1735660024117
R,c,1735660024196
R,o,1735660024228
P,Key.backspace,1735660024818
R,Key.backspace,1735660024908
P,l,1735660025354
R,l,1735660025430
P,o,1735660025516
R,o,1735660025594
P,n,1735660025724
R,n,1735660025797
P,e,1735660025893
R,e,1735660026051
P,Key.space,1735660026077
P,o,1735660026262
R,Key.space,1735660026284
R,o,1735660026371
P,f,1735660026451
R,f,1735660026574
P,Key.space,1735660026581
P,i,1735660026748
R,Key.space,1735660026787
R,i,1735660026845
P,n,1735660026997
R,n,1735660027068
P,s,1735660027174
R,s,1735660027252
P,t,1735660027291
R,t,1735660027405
P,r,1735660027715
R,r,1735660027906
P,a,1735660028588
R,a,1735660028762
P,g,1735660028836
R,g,1735660028930
P,r,1735660029078
R,r,1735660029219
P,a,1735660029302
R,a,1735660029485
P,m,1735660029564
R,m,1735660029693
P,Key.space,1735660029725
R,Key.space,1735660029868
P,m,1735660030331
R,m,1735660030475
P,a,1735660030861
R,a,1735660030999
P,e,1735660031781
R,e,1735660031914
P,Key.space,1735660032182
R,Key.space,1735660032350
P,f,1735660032811
P,o,1735660032932
R,f,1735660032947
R,o,1735660033044
P,r,1735660033069
R,r,1735660033195
P,Key.space,1735660033259
R,Key.space,1735660033476
P,s,1735660033484
R,s,1735660033532
P,t,1735660033579
R,t,1735660033667
P,u,1735660035214
R,u,1735660035332
P,d,1735660035924
R,d,1735660036092
P,y,1735660036108
R,y,1735660036204
P,Key.space,1735660036387
P,p,1735660036598
R,Key.space,1735660036629
R,p,1735660036700
P,u,1735660036787
R,u,1735660036915
P,r,1735660038434
R,r,1735660038579
P,p,1735660038715
P,o,1735660038795
R,p,1735660038829
R,o,1735660038996
P,s,1735660039090
P,e,1735660039251
R,s,1735660039276
R,e,1735660039443
P,s,1735660039510
R,s,1735660039651
P,Key.space,1735660039811
R,Key.space,1735660039930
P,f,1735660042981
R,f,1735660043125
P,a,1735660043275
R,a,1735660043422
P,c,1735660043581
R,c,1735660043675
P,e,1735660043788
R,e,1735660043940
P,f,1735660044152
R,f,1735660044290
P,o,1735660044363
R,o,1735660044434
P,o,1735660044507
R,o,1735660044603
P,Key.backspace,1735660045380
R,Key.backspace,1735660045444
P,Key.backspace,1735660045545
R,Key.backspace,1735660045595
P,Key.backspace,1735660045684
R,Key.backspace,1735660045739
P,b,1735660046339
R,b,1735660046498
P,o,1735660046634
R,o,1735660046709
P,o,1735660046773
R,o,1735660046853
P,k,1735660047043
R,k,1735660047133
P,d,1735660047333
R,d,1735660047437
P,s,1735660047515
R,s,1735660047739
P,Key.backspace,1735660048549
R,Key.backspace,1735660048603
P,Key.backspace,1735660048693
R,Key.backspace,1735660048754
P,Key.backspace,1735660048820
R,Key.backspace,1735660048884
P,s,1735660049132
R,s,1735660049325
P,Key.space,1735660049530
R,Key.space,1735660049677
P,i,1735660051175
R,i,1735660051267
P,Key.backspace,1735660051725
R,Key.backspace,1735660051804
P,Key.space,1735660052346
R,Key.space,1735660052458
P,i,1735660052501
R,i,1735660052611
P,d,1735660052676
R,d,1735660052827
P,s,1735660052906
R,s,1735660053067
P,Key.backspace,1735660053460
R,Key.backspace,1735660053543
P,Key.space,1735660054549
R,Key.space,1735660054707
P,i,1735660055131
R,i,1735660055235
P,n,1735660055333
R,n,1735660055420
P,t,1735660056578
R,t,1735660056706
P,h,1735660056773
R,h,1735660056884
P,e,1735660056994
R,e,1735660057123
P,Key.space,1735660057307
R,Key.space,1735660057430
P,s,1735660059027
R,s,1735660059086
P,w,1735660059274
P,i,1735660059315
R,w,1735660059357
R,i,1735660059427
P,t,1735660059509
P,h,1735660059606
R,t,1735660059627
R,h,1735660059709
P,c,1735660059851
R,c,1735660059971
P,Key.space,1735660060186
R,Key.space,1735660060317
P,u,1735660060491
R,u,1735660060621
P,s,1735660060660
R,s,1735660060842
P,e,1735660060868
R,e,1735660061021
P,n,1735660061108
P,i,1735660061229
R,n,1735660061260
R,i,1735660061379
P,c,1735660061429
R,c,1735660061572
P,k,1735660061587
R,k,1735660061685
P,Key.space,1735660061907
R,Key.space,1735660062058
P,f,1735660062787
R,f,1735660062939
P,l,1735660063077
R,l,1735660063171
P,o,1735660063284
R,o,1735660063354
P,Key.backspace,1735660063830
R,Key.backspace,1735660063885
P,Key.backspace,1735660064486
R,Key.backspace,1735660064571
P,o,1735660065061
R,o,1735660065155
P,l,1735660065459
R,l,1735660065525
P,o,1735660065604
R,o,1735660065708
