Press or Release,Key,Time
P,T,1735660002343
R,T,1735660002479
P,H,1735660002567
R,H,1735660002679
P,E,1735660002799
R,E,1735660002955
P,Key.space,1735660003039
R,Key.space,1735660003144
P,O,1735660003473
R,O,1735660003574
P,S,1735660003696
R,S,1735660003856
P,C,1735660003982
R,C,1735660004083
P,A,1735660004200
R,A,1735660004343
P,R,1735660004430
R,R,1735660004512
P,B,1735660004730
R,B,1735660004756
P,S,1735660004936
R,S,1735660005096
P,L,1735660005454
R,L,1735660005559
P,A,1735660005665
R,A,1735660005831
P,P,1735660005879
R,P,1735660005975
P,Key.space,1735660006145
R,Key.space,1735660006248
P,I,1735660006400
R,I,1735660006470
P,S,1735660006546
R,S,1735660006679
P,Key.space,1735660006798
R,Key.space,1735660006894
P,M,1735660008367
R,M,1735660008431
P,A,1735660008561
R,A,1735660008687
P,D,1735660008873
R,D,1735660008990
P,E,1735660009177
R,E,1735660009311
P,Key.space,1735660009470
R,Key.space,1735660009559
P,A,1735660009662
R,A,1735660009814
P,Key.backspace,1735660010448
R,Key.backspace,1735660010520
P,O,1735660011430
R,O,1735660011511
P,N,1735660012126
R,N,1735660012182
P,A,1735660012343
R,A,1735660012502
P,Key.space,1735660012590
R,Key.space,1735660012686
P,E,1735660013070
R,E,1735660013206
P,N,1735660013335
P,B,1735660013351
R,B,1735660013375
R,N,1735660013391
P,T,1735660013783
R,T,1735660013879
P,E,1735660014048
R,E,1735660014134
P,R,1735660014265
R,R,1735660014343
P,Key.backspace,1735660016572
R,Key.backspace,1735660016631
P,Key.backspace,1735660016754
R,Key.backspace,1735660016808
P,Key.backspace,1735660016943
R,Key.backspace,1735660016999
P,Key.backspace,1735660017152
R,Key.backspace,1735660017198
P,Key.backspace,1735660017382
R,Key.backspace,1735660017431
P,Key.backspace,1735660017582
R,Key.backspace,1735660017638
P,Key.backspace,1735660017788
R,Key.backspace,1735660017850
P,Key.space,1735660019278
R,Key.space,1735660019367
P,Key.backspace,1735660020238
R,Key.backspace,1735660020311
P,Key.backspace,1735660020399
R,Key.backspace,1735660020495
P,Key.space,1735660021391
R,Key.space,1735660021462
P,A,1735660021706
R,A,1735660021855
P,Key.space,1735660021952
R,Key.space,1735660022030
P,E,1735660022262
R,E,1735660022399
P,N,1735660022558
R,N,1735660022638
P,T,1735660022902
R,T,1735660022998
P,E,1735660023143
R,E,1735660023231
P,R,1735660023358
R,R,1735660023454
P,T,1735660025016
R,T,1735660025103
P,A,1735660025262
R,A,1735660025395
P,I,1735660025575
R,I,1735660025686
P,N,1735660025880
R,N,1735660025974
P,M,1735660026143
R,M,1735660026270
P,E,1735660026359
R,E,1735660026527
P,N,1735660026598
R,N,1735660026670
P,T,1735660026826
R,T,1735660026966
P,Key.space,1735660027039
R,Key.space,1735660027142
P,T,1735660027649
R,T,1735660027784
P,O,1735660027926
R,O,1735660028014
P,Key.space,1735660028230
R,Key.space,1735660028335
P,M,1735660028494
R,M,1735660028598
P,A,1735660028712
R,A,1735660028850
P,L,1735660029039
R,L,1735660029102
P,Key.backspace,1735660030409
R,Key.backspace,1735660030463
P,K,1735660031521
R,K,1735660031613
P,E,1735660031765
R,E,1735660031926
P,Key.space,1735660032006
R,Key.space,1735660032094
P,I,1735660032319
R,I,1735660032422
P,T,1735660032575
R,T,1735660032665
P,Key.space,1735660032958
R,Key.space,1735660033046
P,O,1735660033254
R,O,1735660033350
P,N,1735660033518
