Press or Release,Key,Time
P,q,1735660004342
R,q,1735660004581
P,e,1735660004621
P,p,1735660004687
P,w,1735660004718
P,q,1735660004734
R,e,1735660004744
R,q,1735660004862
P,e,1735660004870
R,w,1735660004882
P,o,1735660004982
P,w,1735660004997
R,e,1735660005001
P,q,1735660005008
P,e,1735660005125
R,q,1735660005134
R,w,1735660005142
R,p,1735660005183
R,o,1735660005213
P,i,1735660005239
P,q,1735660005318
R,e,1735660005346
P,o,1735660005384
P,p,1735660005391
P,e,1735660005471
R,i,1735660005502
R,q,1735660005517
R,o,1735660005579
P,u,1735660005589
P,q,1735660005655
R,e,1735660005704
P,w,1735660005709
P,o,1735660005760
R,u,1735660005769
P,i,1735660005781
P,e,1735660005820
R,q,1735660005833
R,w,1735660005846
P,q,1735660005974
R,e,1735660005986
P,w,1735660006193
R,i,1735660006201
R,w,1735660006215
R,q,1735660006226
P,e,1735660006231
R,o,1735660006261
R,p,1735660006350
P,q,1735660006367
R,e,1735660006385
P,o,1735660006482
P,e,1735660006507
R,q,1735660006513
P,p,1735660006663
R,e,1735660006674
P,q,1735660006685
P,u,1735660006720
R,o,1735660006735
R,p,1735660006752
R,q,1735660006800
P,e,1735660006804
P,p,1735660006879
R,u,1735660006894
P,q,1735660006943
R,e,1735660006957
P,o,1735660006984
P,e,1735660007078
R,q,1735660007090
R,p,1735660007137
P,q,1735660007224
R,e,1735660007247
R,q,1735660007357
P,e,1735660007358
P,u,1735660007382
R,o,1735660007431
R,e,1735660007504
P,q,1735660007518
R,u,1735660007559
P,w,1735660007598
P,o,1735660007607
P,e,1735660007639
R,q,1735660007656
P,p,1735660007666
R,w,1735660007674
R,o,1735660007798
R,e,1735660007814
P,q,1735660007824
P,u,1735660007839
R,p,1735660007843
R,u,1735660007894
R,q,1735660007958
P,e,1735660007960
P,o,1735660007974
P,p,1735660007991
P,w,1735660008109
P,q,1735660008119
R,e,1735660008135
P,e,1735660008271
R,q,1735660008301
R,p,1735660008319
R,w,1735660008321
P,j,1735660008329
R,o,1735660008373
R,e,1735660008434
R,j,1735660008519
P,d,1735660008628
P,a,1735660008672
R,d,1735660008704
P,s,1735660008822
P,j,1735660008826
P,d,1735660008837
R,a,1735660008847
R,s,1735660008871
P,a,1735660008982
R,j,1735660008997
R,a,1735660009088
P,p,1735660009221
P,a,1735660009237
R,d,1735660009258
P,o,1735660009294
R,a,1735660009357
P,d,1735660009365
R,o,1735660009430
R,p,1735660009526
P,a,1735660009550
R,d,1735660009591
P,o,1735660009671
R,a,1735660009734
P,d,1735660009743
P,i,1735660009887
P,a,1735660009923
R,d,1735660009934
P,u,1735660009968
R,o,1735660010007
R,a,1735660010014
R,i,1735660010030
P,d,1735660010045
R,u,1735660010183
P,a,1735660010190
R,d,1735660010212
P,o,1735660010222
P,s,1735660010261
R,s,1735660010333
P,d,1735660010351
R,a,1735660010367
P,i,1735660010398
P,u,1735660010424
P,a,1735660010510
R,d,1735660010526
P,s,1735660010555
R,u,1735660010575
R,o,1735660010639
P,d,1735660010646
R,s,1735660010663
R,i,1735660010672
P,u,1735660010672
R,a,1735660010683
R,u,1735660010797
P,q,1735660010861
P,o,1735660010896
P,w,1735660010913
R,d,1735660010948
P,e,1735660011085
R,q,1735660011118
R,w,1735660011127
R,o,1735660011151
P,j,1735660011230
P,q,1735660011278
R,j,1735660011288
R,e,1735660011311
P,o,1735660011391
P,e,1735660011446
R,q,1735660011484
