Press or Release,Key,Time
P,j,1735660002416
P,h,1735660002442
R,j,1735660002485
P,s,1735660002573
R,h,1735660002609
P,j,1735660002646
P,h,1735660002699
R,j,1735660002736
R,s,1735660002736
P,f,1735660002736
R,f,1735660002827
R,h,1735660002846
P,j,1735660002875
P,s,1735660002877
P,h,1735660002935
R,j,1735660002947
R,s,1735660002995
R,h,1735660003063
P,o,1735660003071
R,o,1735660003136
P,s,1735660003167
P,h,1735660003173
P,o,1735660003263
R,h,1735660003267
R,s,1735660003290
P,i,1735660003341
P,h,1735660003369
R,i,1735660003379
R,o,1735660003379
P,s,1735660003453
R,h,1735660003507
P,i,1735660003534
P,o,1735660003538
R,s,1735660003601
P,g,1735660003615
P,h,1735660003619
R,i,1735660003623
R,o,1735660003623
R,g,1735660003729
R,h,1735660003734
P,i,1735660003767
P,s,1735660003770
P,o,1735660003771
R,o,1735660003834
P,h,1735660003842
R,i,1735660003858
R,s,1735660003877
P,g,1735660003890
P,o,1735660003988
R,h,1735660003998
R,g,1735660004024
P,s,1735660004040
P,i,1735660004053
R,i,1735660004098
R,o,1735660004124
R,s,1735660004160
P,h,1735660004162
P,g,1735660004176
P,o,1735660004234
R,h,1735660004238
P,i,1735660004262
R,g,1735660004306
P,s,1735660004335
P,h,1735660004346
R,i,1735660004366
R,o,1735660004366
R,s,1735660004442
P,g,1735660004454
R,h,1735660004490
P,Key.space,1735660004535
P,i,1735660004550
R,i,1735660004587
R,g,1735660004594
P,h,1735660004595
P,s,1735660004635
R,Key.space,1735660004671
R,h,1735660004735
P,o,1735660004745
R,s,1735660004748
P,g,1735660004750
P,i,1735660004752
R,o,1735660004826
R,i,1735660004846
P,h,1735660004849
R,g,1735660004910
P,s,1735660004938
R,h,1735660004983
P,i,1735660004987
P,o,1735660005011
P,g,1735660005034
R,s,1735660005058
R,o,1735660005094
R,i,1735660005106
R,g,1735660005228
P,o,1735660005232
P,i,1735660005235
P,s,1735660005246
P,h,1735660005359
R,o,1735660005370
R,i,1735660005385
P,g,1735660005390
R,s,1735660005393
P,o,1735660005436
P,i,1735660005458
R,h,1735660005514
R,g,1735660005538
P,s,1735660005562
P,Key.space,1735660005630
R,o,1735660005638
R,i,1735660005666
P,h,1735660005670
R,s,1735660005682
P,g,1735660005690
R,h,1735660005774
P,i,1735660005798
R,g,1735660005806
P,o,1735660005814
P,s,1735660005866
R,Key.space,1735660005870
R,o,1735660005886
P,h,1735660005894
R,i,1735660005917
R,s,1735660005953
P,g,1735660005962
P,i,1735660006026
P,o,1735660006036
R,h,1735660006050
R,g,1735660006082
P,s,1735660006134
P,h,1735660006163
R,i,1735660006182
R,o,1735660006182
P,g,1735660006246
R,s,1735660006274
P,o,1735660006302
R,h,1735660006314
P,i,1735660006320
R,g,1735660006406
R,o,1735660006437
P,s,1735660006442
R,i,1735660006454
P,i,1735660006511
P,g,1735660006538
P,o,1735660006546
R,s,1735660006558
R,o,1735660006617
P,h,1735660006666
R,i,1735660006674
R,g,1735660006722
P,s,1735660006730
P,i,1735660006830
P,g,1735660006858
R,s,1735660006878
R,i,1735660006881
R,g,1735660007006
P,s,1735660007023
R,h,1735660007050
P,i,1735660007053
P,o,1735660007056
R,s,1735660007154
P,g,1735660007157
P,h,1735660007160
R,o,1735660007164
R,i,1735660007182
R,g,1735660007278
P,s,1735660007295
P,i,1735660007327
P,o,1735660007338
R,h,1735660007354
R,s,1735660007418
P,g,1735660007422
P,Key.space,1735660007431
R,i,1735660007462
R,o,1735660007463
P,h,1735660007482
R,g,1735660007555
P,s,1735660007579
R,h,1735660007582
P,i,1735660007590
P,o,1735660007604
R,Key.space,1735660007655
P,g,1735660007682
R,s,1735660007690
P,h,1735660007703
R,o,1735660007706
R,i,1735660007722
R,g,1735660007831
R,h,1735660007835
P,s,1735660007845
P,i,1735660007850
P,o,1735660007852
P,g,1735660007955
R,o,1735660007966
R,s,1735660007978
R,i,1735660007981
P,h,1735660007998
R,h,1735660008042
P,Key.space,1735660008070
R,g,1735660008098
P,s,1735660008153
P,g,1735660008235
P,h,1735660008238
R,s,1735660008279
R,Key.space,1735660008298
R,g,1735660008394
P,i,1735660008398
R,h,1735660008422
P,s,1735660008446
P,h,1735660008543
R,i,1735660008549
P,g,1735660008558
R,s,1735660008587
P,i,1735660008668
R,h,1735660008679
R,g,1735660008706
P,o,1735660008723
P,s,1735660008752
R,i,1735660008787
R,o,1735660008806
P,h,1735660008810
P,g,1735660008847
R,s,1735660008866
R,h,1735660008939
P,o,1735660008959
P,i,1735660008975
R,g,1735660008986
P,s,1735660009014
R,i,1735660009083
R,o,1735660009098
P,g,1735660009114
R,s,1735660009155
P,i,1735660009207
P,o,1735660009209
R,g,1735660009303
R,o,1735660009303
P,h,1735660009311
R,i,1735660009314
P,s,1735660009331
P,i,1735660009435
R,h,1735660009448
P,Key.space,1735660009449
P,o,1735660009463
P,g,1735660009467
R,s,1735660009470
R,o,1735660009499
R,i,1735660009554
P,h,1735660009570
R,g,1735660009602
P,s,1735660009627
R,Key.space,1735660009642
P,i,1735660009682
P,o,1735660009686
R,h,1735660009710
P,g,1735660009722
R,s,1735660009759
R,o,1735660009830
R,i,1735660009834
P,h,1735660009850
R,g,1735660009890
P,s,1735660009915
R,h,1735660009930
P,o,1735660009963
P,i,1735660009970
P,g,1735660010023
P,h,1735660010063
R,s,1735660010065
R,o,1735660010065
R,i,1735660010069
P,i,1735660010195
P,o,1735660010198
R,h,1735660010207
P,s,1735660010236
R,g,1735660010243
R,o,1735660010363
P,g,1735660010391
R,i,1735660010399
R,s,1735660010419
P,i,1735660010515
P,o,1735660010523
R,g,1735660010582
P,s,1735660010584
P,h,1735660010631
R,o,1735660010644
R,i,1735660010674
R,s,1735660010727
P,g,1735660010730
R,h,1735660010766
P,i,1735660010783
P,o,1735660010803
P,h,1735660010871
R,o,1735660010874
P,s,1735660010887
R,i,1735660010899
R,g,1735660010906
P,i,1735660011031
R,h,1735660011043
P,o,1735660011043
R,s,1735660011045
P,g,1735660011055
R,o,1735660011159
R,g,1735660011186
R,i,1735660011187
P,s,1735660011210
P,g,1735660011346
R,s,1735660011371
P,o,1735660011373
P,i,1735660011390
R,i,1735660011486
R,g,1735660011506
R,o,1735660011506
P,s,1735660011539
P,g,1735660011660
P,i,1735660011675
R,s,1735660011678
P,h,1735660011739
R,i,1735660011779
R,g,1735660011835
P,s,1735660011859
P,i,1735660011939
P,g,1735660011975
R,h,1735660011987
R,s,1735660011995
R,g,1735660012111
P,s,1735660012163
P,Key.space,1735660012166
P,h,1735660012215
R,h,1735660012247
P,g,1735660012251
R,s,1735660012279
R,g,1735660012384
R,Key.space,1735660012407
P,h,1735660012423
R,i,1735660012443
P,s,1735660012455
P,g,1735660012516
R,s,1735660012555
R,h,1735660012595
P,i,1735660012596
P,o,1735660012599
R,g,1735660012715
R,o,1735660012748
R,i,1735660012751
P,s,1735660012769
P,g,1735660012853
R,s,1735660012876
P,i,1735660012894
R,g,1735660013020
P,j,1735660013028
R,i,1735660013031
P,s,1735660013076
P,i,1735660013156
R,j,1735660013160
P,g,1735660013180
P,o,1735660013184
R,s,1735660013199
P,h,1735660013280
R,i,1735660013294
R,o,1735660013295
R,g,1735660013362
P,s,1735660013376
P,i,1735660013408
R,h,1735660013436
P,o,1735660013476
P,g,1735660013516
