Press or Release,Key,Time
P,T,1735660004663
P,H,1735660004788
R,T,1735660004805
R,H,1735660004885
P,E,1735660004966
P,Key.space,1735660005068
R,E,1735660005092
R,Key.space,1735660005148
P,O,1735660005518
R,O,1735660005564
P,C,1735660005860
R,C,1735660006060
P,Key.backspace,1735660006764
R,Key.backspace,1735660006824
P,Key.backspace,1735660006908
R,Key.backspace,1735660006963
P,C,1735660007212
P,O,1735660007340
R,C,1735660007364
R,O,1735660007380
P,A,1735660007573
R,A,1735660007733
P,C,1735660007852
R,C,1735660007996
P,H,1735660007996
R,H,1735660008078
P,Key.space,1735660008197
R,Key.space,1735660008276
P,I,1735660008412
R,I,1735660008532
P,S,1735660008628
R,S,1735660008786
P,Key.space,1735660008796
R,Key.space,1735660008882
P,C,1735660009812
R,C,1735660009958
P,O,1735660009972
R,O,1735660010060
P,M,1735660010174
R,M,1735660010260
P,Key.backspace,1735660010660
R,Key.backspace,1735660010708
P,Key.backspace,1735660010805
R,Key.backspace,1735660010864
P,Key.backspace,1735660010973
R,Key.backspace,1735660011028
P,E,1735660011676
R,E,1735660011820
P,N,1735660011820
R,N,1735660011900
P,T,1735660012028
R,T,1735660012141
P,E,1735660012244
R,E,1735660012364
P,R,1735660012404
R,R,1735660012532
P,Key.space,1735660013628
R,Key.space,1735660013715
P,I,1735660013924
R,I,1735660014087
P,N,1735660014293
R,N,1735660014428
P,Key.space,1735660015797
R,Key.space,1735660015861
P,T,1735660015996
P,O,1735660016092
R,T,1735660016124
R,O,1735660016195
P,Key.space,1735660016317
R,Key.space,1735660016406
P,T,1735660016420
R,T,1735660016553
P,H,1735660016580
R,H,1735660016660
P,E,1735660016716
R,E,1735660016844
P,Key.space,1735660016884
R,Key.space,1735660016957
P,D,1735660017036
R,D,1735660017068
P,Key.backspace,1735660047308
R,Key.backspace,1735660047411
P,C,1735660047925
R,C,1735660048094
P,L,1735660048397
R,L,1735660048476
P,A,1735660048580
R,A,1735660048693
P,S,1735660049013
R,S,1735660049076
P,S,1735660049196
R,S,1735660049285
P,Key.space,1735660049332
R,Key.space,1735660049395
P,R,1735660049652
R,R,1735660049780
P,O,1735660049844
R,O,1735660049876
P,O,1735660049936
R,O,1735660050020
P,M,1735660051165
R,M,1735660051252
P,Key.space,1735660051372
R,Key.space,1735660051452
P,Key.comma,1735660076516
R,Key.comma,1735660076589
P,Key.space,1735660076741
R,Key.space,1735660076806
P,N,1735660077045
R,N,1735660077100
P,O,1735660077245
R,O,1735660077308
P,Key.space,1735660077436
R,Key.space,1735660077508
P,O,1735660077629
R,O,1735660077733
P,N,1735660079653
R,N,1735660079793
P,E,1735660079837
P,Key.space,1735660079972
R,E,1735660079991
R,Key.space,1735660080077
P,R,1735660080144
R,R,1735660080271
P,E,1735660080316
R,E,1735660080460
P,S,1735660080559
R,S,1735660080724
P,P,1735660080813
R,P,1735660080900
P,E,1735660080988
R,E,1735660081109
P,C,1735660081221
R,C,1735660081381
P,T,1735660081493
R,T,1735660081679
P,Key.space,1735660081844
R,Key.space,1735660081916
P,T,1735660082052
P,O,1735660082176
R,T,1735660082189
R,O,1735660082245
P,Key.space,1735660082897
R,Key.space,1735660082999
P,T,1735660084701
R,T,1735660084932
P,H,1735660084950
R,H,1735660085107
P,Key.backspace,1735660086644
R,Key.backspace,1735660086819
P,Key.backspace,1735660086821
R,Key.backspace,1735660086856
P,T,1735660088039
R,T,1735660088189
P,H,1735660088189
R,H,1735660088288
P,E,1735660088357
R,E,1735660088501
P,M,1735660088543
R,M,1735660088633
P,Key.space,1735660089748
R,Key.space,1735660089837
P,A,1735660090260
R,A,1735660090423
P,D,1735660090490
R,D,1735660090669
P,N,1735660090669
R,N,1735660090733
P,Key.space,1735660090868
R,Key.space,1735660090932
P,Key.backspace,1735660091483
R,Key.backspace,1735660091526
P,Key.backspace,1735660091606
R,Key.backspace,1735660091668
P,Key.backspace,1735660091735
R,Key.backspace,1735660091829
P,N,1735660092931
R,N,1735660093069
P,D,1735660093320
R,D,1735660093460
P,Key.space,1735660093460
R,Key.space,1735660093516
P,S,1735660093800
P,O,1735660093940
R,S,1735660093969
R,O,1735660094012
P,M,1735660094109
R,M,1735660094215
P,E,1735660094254
R,E,1735660094406
P,Key.space,1735660094407
R,Key.space,1735660094481
P,S,1735660100767
R,S,1735660100983
P,T,1735660101141
R,T,1735660101288
P,Key.backspace,1735660102477
R,Key.backspace,1735660102542
P,Key.backspace,1735660103191
R,Key.backspace,1735660103268
P,S,1735660103708
R,S,1735660103886
P,T,1735660104020
R,T,1735660104174
P,U,1735660104174
R,U,1735660104252
P,D,1735660104325
R,D,1735660104461
