Press or Release,Key,Time
P,O,1735660003418
R,O,1735660003495
P,N,1735660003662
R,N,1735660003735
P,Key.space,1735660003832
R,Key.space,1735660003913
P,T,1735660003977
R,T,1735660004104
P,H,1735660004104
R,H,1735660004184
P,E,1735660004263
P,Key.space,1735660004384
R,E,1735660004408
R,Key.space,1735660004472
P,O,1735660005311
R,O,1735660005391
P,F,1735660005513
R,F,1735660005570
P,F,1735660005676
R,F,1735660005792
P,I,1735660005839
R,I,1735660005913
P,C,1735660005981
R,C,1735660006082
P,E,1735660006215
P,Key.space,1735660006217
R,Key.space,1735660006351
R,E,1735660006355
P,M,1735660006525
R,M,1735660006684
P,E,1735660006851
R,E,1735660006853
P,E,1735660007335
R,E,1735660007519
P,T,1735660007656
P,I,1735660007736
R,T,1735660007780
R,I,1735660007846
P,N,1735660007952
R,N,1735660008055
P,G,1735660008091
R,G,1735660008200
P,Key.space,1735660008201
R,Key.space,1735660008280
P,I,1735660009720
R,I,1735660009831
P,Key.space,1735660010087
R,Key.space,1735660010167
P,Key.backspace,1735660011303
R,Key.backspace,1735660011376
P,N,1735660012416
R,N,1735660012473
P,Key.space,1735660012576
R,Key.space,1735660012656
P,T,1735660012719
R,T,1735660012863
P,H,1735660012864
R,H,1735660012944
P,E,1735660013023
R,E,1735660013168
P,Key.space,1735660013168
R,Key.space,1735660013239
P,W,1735660013600
R,W,1735660013735
P,A,1735660013839
R,A,1735660013984
P,S,1735660014031
R,S,1735660014152
P,H,1735660014255
R,H,1735660014337
P,I,1735660014593
R,I,1735660014760
P,N,1735660014840
R,N,1735660014959
P,G,1735660015008
R,G,1735660015143
P,T,1735660015671
R,T,1735660015801
P,O,1735660015801
R,O,1735660015912
P,N,1735660016039
R,N,1735660016135
P,Key.space,1735660016248
R,Key.space,1735660016322
P,Key.comma,1735660018104
R,Key.comma,1735660018161
P,I,1735660018505
R,I,1735660018561
P,N,1735660018777
R,N,1735660018841
P,Key.space,1735660018959
R,Key.space,1735660019008
P,Key.backspace,1735660019608
R,Key.backspace,1735660019670
P,F,1735660019855
R,F,1735660019971
P,R,1735660020177
R,R,1735660020280
P,O,1735660020392
R,O,1735660020464
P,N,1735660020586
R,N,1735660020655
P,T,1735660020729
P,Key.space,1735660020825
R,T,1735660020839
R,Key.space,1735660020895
P,O,1735660021049
R,O,1735660021144
P,F,1735660021224
R,F,1735660021327
P,Key.space,1735660021359
R,Key.space,1735660021423
P,S,1735660023096
R,S,1735660023257
P,O,1735660023257
R,O,1735660023310
P,C,1735660023424
R,C,1735660023576
P,I,1735660023577
R,I,1735660023641
P,A,1735660023777
R,A,1735660023904
P,L,1735660023968
R,L,1735660024040
P,Key.space,1735660024184
R,Key.space,1735660024273
P,M,1735660024495
R,M,1735660024577
P,E,1735660024759
R,E,1735660024888
P,D,1735660025647
R,D,1735660025792
P,I,1735660025912
R,I,1735660025991
P,A,1735660026071
R,A,1735660026184
P,Key.space,1735660026216
R,Key.space,1735660026296
P,A,1735660027016
R,A,1735660027184
P,Key.space,1735660027216
R,Key.space,1735660027328
P,D,1735660027408
R,D,1735660027520
P,Key.backspace,1735660028232
R,Key.backspace,1735660028296
P,Key.backspace,1735660028376
R,Key.backspace,1735660028432
P,Key.backspace,1735660028508
R,Key.backspace,1735660028576
P,Key.backspace,1735660028672
R,Key.backspace,1735660028753
P,Key.space,1735660029960
R,Key.space,1735660030088
P,Key.comma,1735660030232
R,Key.comma,1735660030311
P,Key.space,1735660030423
R,Key.space,1735660030504
P,T,1735660031152
R,T,1735660031280
P,H,1735660031304
R,H,1735660031392
P,E,1735660031488
P,Key.space,1735660031601
R,E,1735660031616
R,Key.space,1735660031656
P,U,1735660032927
R,U,1735660033024
P,K,1735660033615
R,K,1735660033688
P,A,1735660033879
R,A,1735660034087
P,R,1735660034271
R,R,1735660034408
P,I,1735660034535
R,I,1735660034687
P,N,1735660034847
R,N,1735660034983
P,I,1735660035056
R,I,1735660035202
P,N,1735660035232
R,N,1735660035344
P,E,1735660035392
R,E,1735660035533
P,Key.space,1735660035551
R,Key.space,1735660035616
P,P,1735660038521
R,P,1735660038606
P,R,1735660038708
R,R,1735660038815
P,E,1735660038888
R,E,1735660039087
P,S,1735660039360
P,I,1735660039528
R,S,1735660039538
R,I,1735660039599
P,D,1735660039672
R,D,1735660039808
P,E,1735660039904
P,N,1735660040041
R,E,1735660040080
R,N,1735660040183
P,T,1735660040183
P,Key.space,1735660040311
R,T,1735660040335
R,Key.space,1735660040432
P,A,1735660040576
R,A,1735660040735
P,N,1735660040735
R,N,1735660040848
P,D,1735660040848
R,D,1735660040992
P,Key.space,1735660040992
R,Key.space,1735660041063
P,V,1735660041896
R,V,1735660042024
P,I,1735660042024
R,I,1735660042112
P,C,1735660042176
R,C,1735660042303
P,E,1735660042424
P,Key.space,1735660042576
R,E,1735660042591
R,Key.space,1735660042641
P,P,1735660042856
R,P,1735660042983
P,R,1735660043087
R,R,1735660043239
P,I,1735660043263
R,I,1735660043400
P,S,1735660043593
R,S,1735660043775
P,Key.backspace,1735660044608
R,Key.backspace,1735660044672
P,Key.backspace,1735660044751
R,Key.backspace,1735660044832
P,E,1735660045617
R,E,1735660045760
P,S,1735660045887
R,S,1735660046039
P,I,1735660046303
R,I,1735660046375
P,D,1735660046543
R,D,1735660046671
P,E,1735660046751
P,N,1735660046902
R,E,1735660046918
R,N,1735660046983
P,T,1735660047016
P,Key.space,1735660047136
R,T,1735660047163
R,Key.space,1735660047216
P,A,1735660053822
R,A,1735660054007
P,R,1735660054040
R,R,1735660054135
P,E,1735660054160
P,Key.space,1735660054247
R,E,1735660054335
R,Key.space,1735660054372
P,A,1735660055158
R,A,1735660055368
P,R,1735660055920
R,R,1735660056104
P,U,1735660056311
R,U,1735660056424
P,G,1735660056504
R,G,1735660056632
P,I,1735660056686
R,I,1735660056783
P,N,1735660056881
R,N,1735660056960
P,G,1735660057016
R,G,1735660057144
P,Key.space,1735660057199
R,Key.space,1735660057304
P,T,1735660060672
R,T,1735660060831
P,H,1735660060832
R,H,1735660060927
P,E,1735660061000
R,E,1735660061151
P,Key.space,1735660061152
R,Key.space,1735660061207
P,S,1735660062281
P,O,1735660062408
R,S,1735660062455
R,O,1735660062487
P,M,1735660063794
R,M,1735660063888
P,E,1735660063968
P,Key.space,1735660064089
R,E,1735660064105
R,Key.space,1735660064168
P,I,1735660064312
R,I,1735660064408
P,S,1735660064464
R,S,1735660064528
P,S,1735660064624
R,S,1735660064784
P,U,1735660064784
R,U,1735660064858
P,E,1735660065512
R,E,1735660065664
P,Key.space,1735660065720
R,Key.space,1735660065784
P,Key.comma,1735660089994
R,Key.comma,1735660090064
P,Key.space,1735660090177
R,Key.space,1735660090249
P,S,1735660090375
P,O,1735660090521
R,S,1735660090552
R,O,1735660090601
P,Key.space,1735660091088
R,Key.space,1735660091179
P,T,1735660091392
R,T,1735660091537
P,H,1735660091538
R,H,1735660091633
P,E,1735660091703
R,E,1735660091853
P,T,1735660092616
R,T,1735660092736
P,R,1735660092833
R,R,1735660093083
P,U,1735660093095
R,U,1735660093249
P,M,1735660093416
R,M,1735660093449
P,P,1735660093768
R,P,1735660093848
P,Key.space,1735660094002
R,Key.space,1735660094079
P,I,1735660094272
R,I,1735660094361
P,N,1735660094449
R,N,1735660094551
P,T,1735660094623
R,T,1735660094753
P,E,1735660094848
R,E,1735660094992
P,R,1735660094992
R,R,1735660095128
P,F,1735660095248
R,F,1735660095377
P,E,1735660095448
R,E,1735660095624
P,R,1735660095647
R,R,1735660095768
P,E,1735660095807
R,E,1735660095959
P,Key.space,1735660096054
R,Key.space,1735660096144
P,T,1735660097880
R,T,1735660098049
P,O,1735660098049
R,O,1735660098141
P,Key.space,1735660098265
R,Key.space,1735660098348
P,S,1735660098449
P,L,1735660098576
R,S,1735660098602
R,L,1735660098656
P,O,1735660098768
R,O,1735660098857
P,V,1735660098858
R,V,1735660098976
P,E,1735660099079
P,Key.space,1735660099169
R,E,1735660099269
R,Key.space,1735660099269
P,T,1735660099311
R,T,1735660099473
P,H,1735660099482
R,H,1735660099640
P,E,1735660099641
P,Key.space,1735660099805
R,E,1735660099806
R,Key.space,1735660099833
P,P,1735660099970
R,P,1735660100135
P,R,1735660100138
R,R,1735660100231
P,O,1735660100263
R,O,1735660100327
P,B,1735660100801
R,B,1735660100920
P,L,1735660101360
R,L,1735660101448
P,E,1735660101544
P,M,1735660101648
R,E,1735660101682
R,M,1735660101704
P,.,1735660102187
R,.,1735660102248
