Press or Release,Key,Time
P,w,1735660002855
R,w,1735660003000
P,h,1735660003527
P,a,1735660003622
R,h,1735660003641
R,a,1735660003752
P,t,1735660003766
R,t,1735660003846
P,Key.space,1735660003991
R,Key.space,1735660004087
P,w,1735660005752
R,w,1735660005911
P,i,1735660006023
R,i,1735660006103
P,l,1735660006262
R,l,1735660006312
P,l,1735660006390
R,l,1735660006470
P,Key.space,1735660006615
R,Key.space,1735660006694
P,s,1735660006728
R,s,1735660006842
P,m,1735660007127
R,m,1735660007225
P,i,1735660007398
R,i,1735660007479
P,t,1735660007783
R,t,1735660007862
P,h,1735660008007
R,h,1735660008087
P,Key.space,1735660008230
R,Key.space,1735660008326
P,d,1735660008744
R,d,1735660008903
P,o,1735660009062
R,o,1735660009142
P,n,1735660009274
R,n,1735660009366
P,e,1735660009415
R,e,1735660009526
P,Key.space,1735660009542
R,Key.space,1735660009622
P,o,1735660010535
R,o,1735660010630
P,n,1735660010743
R,n,1735660010840
P,Key.space,1735660010950
R,Key.space,1735660011046
P,t,1735660011207
R,t,1735660011287
P,h,1735660011399
R,h,1735660011494
P,e,1735660011512
P,Key.space,1735660011639
R,e,1735660011671
R,Key.space,1735660011702
P,s,1735660011815
R,s,1735660011944
P,t,1735660012183
R,t,1735660012279
P,a,1735660012280
R,a,1735660012406
P,g,1735660012647
P,e,1735660012712
R,g,1735660012727
R,e,1735660012790
P,Key.space,1735660012919
R,Key.space,1735660012998
P,o,1735660013671
R,o,1735660013766
P,f,1735660013800
R,f,1735660013943
P,Key.space,1735660013943
R,Key.space,1735660014023
P,o,1735660014406
R,o,1735660014518
P,s,1735660014615
R,s,1735660014759
P,c,1735660014937
R,c,1735660015078
P,a,1735660015100
R,a,1735660015255
P,r,1735660015383
R,r,1735660015495
P,Key.space,1735660015639
R,Key.space,1735660015735
P,w,1735660015784
R,w,1735660015943
P,a,1735660016056
P,s,1735660016167
R,a,1735660016199
R,s,1735660016326
P,Key.space,1735660016502
R,Key.space,1735660016599
P,n,1735660017543
R,n,1735660017638
P,o,1735660017816
R,o,1735660017942
P,t,1735660018119
R,t,1735660018215
P,Key.space,1735660018374
R,Key.space,1735660018471
P,r,1735660020326
R,r,1735660020407
P,i,1735660020808
R,i,1735660020886
P,g,1735660021095
R,g,1735660021159
P,h,1735660021286
R,h,1735660021367
P,t,1735660021510
R,t,1735660021591
P,Key.space,1735660021751
R,Key.space,1735660021814
P,i,1735660022726
R,i,1735660022807
P,n,1735660022921
R,n,1735660023000
P,Key.space,1735660023126
R,Key.space,1735660023191
P,t,1735660023399
R,t,1735660023496
P,h,1735660023591
R,h,1735660023687
P,e,1735660023704
P,Key.space,1735660023815
R,e,1735660023847
R,Key.space,1735660023896
P,p,1735660024842
R,p,1735660024950
P,u,1735660025162
R,u,1735660025255
P,b,1735660025464
R,b,1735660025559
P,l,1735660025783
R,l,1735660025863
P,i,1735660026024
R,i,1735660026119
P,c,1735660026151
P,Key.space,1735660026280
R,c,1735660026326
R,Key.space,1735660026379
P,s,1735660026615
P,h,1735660026759
R,s,1735660026775
R,h,1735660026855
P,o,1735660027015
P,w,1735660027110
R,o,1735660027127
R,w,1735660027239
P,Key.space,1735660027383
R,Key.space,1735660027463
P,h,1735660028282
R,h,1735660028363
P,e,1735660028375
R,e,1735660028502
P,Key.space,1735660028631
R,Key.space,1735660028681
P,a,1735660029399
R,a,1735660029560
P,s,1735660029561
R,s,1735660029735
P,Key.space,1735660029783
R,Key.space,1735660029879
P,Key.backspace,1735660030888
R,Key.backspace,1735660030982
P,Key.backspace,1735660031079
R,Key.backspace,1735660031160
P,Key.backspace,1735660031239
R,Key.backspace,1735660031323
P,h,1735660032070
R,h,1735660032166
P,a,1735660032183
R,a,1735660032342
P,s,1735660032423
R,s,1735660032566
P,Key.space,1735660032663
R,Key.space,1735660032743
P,t,1735660033271
R,t,1735660033368
P,o,1735660033527
R,o,1735660033641
P,Key.space,1735660033751
R,Key.space,1735660033864
P,c,1735660033911
P,o,1735660034056
R,c,1735660034093
R,o,1735660034152
P,n,1735660034281
R,n,1735660034375
P,t,1735660034551
R,t,1735660034647
P,r,1735660034679
R,r,1735660034823
P,i,1735660034983
R,i,1735660035064
P,Key.backspace,1735660035511
R,Key.backspace,1735660035640
P,o,1735660036295
R,o,1735660036375
P,l,1735660036507
R,l,1735660036599
P,Key.space,1735660036743
R,Key.space,1735660036823
P,h,1735660037895
R,h,1735660037975
P,i,1735660038055
R,i,1735660038185
P,s,1735660038199
R,s,1735660038343
P,Key.space,1735660038362
R,Key.space,1735660038439
P,a,1735660038983
R,a,1735660039160
P,n,1735660039544
R,n,1735660039655
P,g,1735660039863
P,e,1735660039911
R,g,1735660039943
P,r,1735660040055
R,e,1735660040120
R,r,1735660040215
P,Key.space,1735660040311
R,Key.space,1735660040392
P,a,1735660048968
R,a,1735660049192
P,n,1735660049192
R,n,1735660049287
P,d,1735660049288
R,d,1735660049449
P,Key.space,1735660049449
R,Key.space,1735660049529
P,c,1735660050199
R,c,1735660050359
P,o,1735660050552
R,o,1735660050680
P,n,1735660050840
R,n,1735660050920
P,v,1735660051258
R,v,1735660051351
P,e,1735660051383
R,e,1735660051559
P,y,1735660052423
R,y,1735660052537
P,Key.space,1735660052951
R,Key.space,1735660053032
P,b,1735660054024
R,b,1735660054103
P,y,1735660054472
R,y,1735660054552
P,Key.space,1735660054921
R,Key.space,1735660054999
P,h,1735660057000
R,h,1735660057079
P,i,1735660057211
R,i,1735660057304
P,s,1735660057305
R,s,1735660057447
P,Key.space,1735660057479
R,Key.space,1735660057559
P,w,1735660057690
R,w,1735660057814
P,o,1735660058488
R,o,1735660058584
P,r,1735660058617
R,r,1735660058777
P,k,1735660058983
R,k,1735660059079
P,Key.backspace,1735660059592
R,Key.backspace,1735660059752
