Press or Release,Key,Time
P,c,1735660004846
R,c,1735660004981
P,r,1735660005134
R,r,1735660005151
P,r,1735660005154
R,r,1735660005183
P,r,1735660006263
R,r,1735660006356
P,i,1735660006441
R,i,1735660006538
P,s,1735660006706
R,s,1735660006842
P,Key.space,1735660006877
R,Key.space,1735660006922
P,Key.backspace,1735660007997
R,Key.backspace,1735660009053
P,c,1735660009643
R,c,1735660009750
P,h,1735660010198
R,h,1735660010283
P,r,1735660010696
R,r,1735660010802
P,s,1735660011247
R,s,1735660011363
P,Key.space,1735660011371
R,Key.space,1735660011431
P,Key.backspace,1735660012596
R,Key.backspace,1735660012652
P,Key.backspace,1735660012752
R,Key.backspace,1735660012808
P,i,1735660014353
R,i,1735660014461
P,s,1735660014552
R,s,1735660014687
P,Key.space,1735660014717
R,Key.space,1735660014778
P,r,1735660015132
R,r,1735660015240
P,o,1735660015712
R,o,1735660015779
P,c,1735660016181
R,c,1735660016309
P,k,1735660016654
R,k,1735660016714
P,Key.space,1735660016932
R,Key.space,1735660016965
P,w,1735660017293
R,w,1735660017372
P,a,1735660017506
R,a,1735660017614
P,s,1735660017646
R,s,1735660017757
P,Key.space,1735660017768
R,Key.space,1735660017830
P,p,1735660020303
R,p,1735660020367
P,r,1735660020821
R,r,1735660020924
P,e,1735660021070
R,e,1735660021157
P,s,1735660021307
R,s,1735660021436
P,e,1735660021649
R,e,1735660021751
P,n,1735660021924
R,n,1735660021997
P,t,1735660022254
R,t,1735660022327
P,i,1735660022569
R,i,1735660022641
P,n,1735660022847
R,n,1735660022919
P,f,1735660023095
R,f,1735660023196
P,Key.backspace,1735660023736
R,Key.backspace,1735660023807
P,g,1735660023917
R,g,1735660024002
P,Key.space,1735660024085
R,Key.space,1735660024153
P,a,1735660025923
R,a,1735660026061
P,w,1735660026224
R,w,1735660026234
P,w,1735660026242
R,w,1735660026262
P,a,1735660026861
R,a,1735660026983
P,r,1735660027201
R,r,1735660027275
P,d,1735660027422
R,d,1735660027496
P,s,1735660027911
R,s,1735660027979
P,Key.space,1735660028035
R,Key.space,1735660028122
P,Key.backspace,1735660029147
R,Key.backspace,1735660029202
P,Key.backspace,1735660029300
R,Key.backspace,1735660029350
P,Key.backspace,1735660029453
R,Key.backspace,1735660029500
P,Key.backspace,1735660029595
R,Key.backspace,1735660029636
P,Key.backspace,1735660029733
R,Key.backspace,1735660029770
P,Key.backspace,1735660029858
R,Key.backspace,1735660029897
P,a,1735660030833
R,a,1735660030965
P,e,1735660031115
R,e,1735660031211
P,Key.backspace,1735660031747
R,Key.backspace,1735660031805
P,r,1735660033011
R,r,1735660033102
P,d,1735660033231
R,d,1735660033323
P,s,1735660033448
R,s,1735660033554
P,Key.space,1735660033609
R,Key.space,1735660033655
P,a,1735660036742
R,a,1735660036887
P,n,1735660037068
R,n,1735660037122
P,d,1735660037516
R,d,1735660037652
P,Key.space,1735660037681
R,Key.space,1735660037744
P,t,1735660037864
R,t,1735660037938
P,h,1735660037991
R,h,1735660038069
P,e,1735660038146
R,e,1735660038252
P,Key.space,1735660038312
R,Key.space,1735660038368
P,Key.backspace,1735660039582
R,Key.backspace,1735660039632
P,n,1735660039906
R,n,1735660039973
P,Key.space,1735660040081
R,Key.space,1735660040154
P,h,1735660040575
R,h,1735660040649
P,e,1735660040723
R,e,1735660040828
P,Key.space,1735660040863
R,Key.space,1735660040920
P,m,1735660041770
R,m,1735660041861
P,a,1735660041888
R,a,1735660042043
P,d,1735660042168
R,d,1735660042272
P,e,1735660042310
R,e,1735660042417
P,Key.space,1735660042433
R,Key.space,1735660042493
P,a,1735660043592
R,a,1735660043722
P,Key.space,1735660043752
R,Key.space,1735660043807
P,j,1735660044394
R,j,1735660044446
P,o,1735660044705
R,o,1735660044773
P,k,1735660044925
R,k,1735660044981
P,e,1735660045183
R,e,1735660045266
P,Key.space,1735660045325
R,Key.space,1735660045372
P,a,1735660046577
R,a,1735660046694
P,b,1735660046935
R,b,1735660046997
P,o,1735660047270
R,o,1735660047346
P,u,1735660047506
R,u,1735660047549
P,t,1735660047781
R,t,1735660047873
P,Key.space,1735660047935
R,Key.space,1735660047995
P,e,1735660049295
R,e,1735660049377
P,Key.backspace,1735660049943
R,Key.backspace,1735660050009
P,w,1735660050222
R,w,1735660050357
P,i,1735660050527
R,i,1735660050601
P,l,1735660050827
R,l,1735660050878
P,l,1735660050965
R,l,1735660051025
P,Key.space,1735660051363
R,Key.space,1735660051432
P,s,1735660051876
R,s,1735660051979
P,m,1735660052341
R,m,1735660052448
P,i,1735660052558
R,i,1735660052651
P,t,1735660052925
R,t,1735660052996
P,h,1735660053047
R,h,1735660053123
P,',1735660054742
R,',1735660054797
P,s,1735660054867
R,s,1735660054973
P,Key.space,1735660055051
R,Key.space,1735660055087
P,w,1735660060773
R,w,1735660060905
P,h,1735660060931
R,h,1735660061002
P,o,1735660061523
R,o,1735660061598
P,Key.space,1735660063141
R,Key.space,1735660063200
P,h,1735660064092
R,h,1735660064134
P,a,1735660064224
R,a,1735660064359
P,d,1735660064514
R,d,1735660064599
P,Key.space,1735660064677
R,Key.space,1735660064732
P,a,1735660065842
R,a,1735660065965
P,Key.space,1735660066038
R,Key.space,1735660066080
P,m,1735660066528
R,m,1735660066593
P,e,1735660066801
R,e,1735660066889
P,d,1735660067014
R,d,1735660067078
P,i,1735660067375
R,i,1735660067441
P,c,1735660067776
R,c,1735660067862
P,a,1735660068143
R,a,1735660068283
P,l,1735660068362
R,l,1735660068433
P,Key.space,1735660068642
R,Key.space,1735660068686
P,c,1735660069065
R,c,1735660069142
P,o,1735660069702
R,o,1735660069797
P,n,1735660069937
R,n,1735660069992
P,d,1735660070360
R,d,1735660070446
P,i,1735660070686
R,i,1735660070768
P,t,1735660070923
R,t,1735660071000
P,i,1735660071247
R,i,1735660071314
P,o,1735660071452
R,o,1735660071514
P,n,1735660071652
R,n,1735660071693
P,Key.space,1735660071814
R,Key.space,1735660071849
P,w,1735660073616
R,w,1735660073730
P,h,1735660074037
R,h,1735660074097
P,i,1735660074530
R,i,1735660074605
P,c,1735660074911
