Press or Release,Key,Time
P,T,1735660006222
R,T,1735660006366
P,H,1735660006366
R,H,1735660006477
P,E,1735660006541
R,E,1735660006701
P,Key.space,1735660006701
R,Key.space,1735660006781
P,C,1735660007373
P,O,1735660007487
R,C,1735660007509
R,O,1735660007557
P,A,1735660007638
R,A,1735660007813
P,C,1735660007893
R,C,1735660008014
P,H,1735660008015
R,H,1735660008101
P,Key.space,1735660008213
R,Key.space,1735660008301
P,I,1735660009679
R,I,1735660009773
P,S,1735660009845
R,S,1735660010014
P,Key.space,1735660010014
R,Key.space,1735660010095
P,C,1735660010254
R,C,1735660010413
P,Key.backspace,1735660010868
R,Key.backspace,1735660010944
P,E,1735660011101
R,E,1735660011269
P,N,1735660011456
R,N,1735660011533
P,T,1735660011702
R,T,1735660011820
P,E,1735660011933
R,E,1735660012086
P,R,1735660012149
P,Key.space,1735660012294
R,R,1735660012309
R,Key.space,1735660012380
P,I,1735660012565
R,I,1735660012734
P,M,1735660013805
R,M,1735660013878
P,Key.backspace,1735660014333
R,Key.backspace,1735660014425
P,N,1735660015598
R,N,1735660015702
P,Key.space,1735660015861
R,Key.space,1735660015941
P,T,1735660017181
R,T,1735660017326
P,H,1735660017349
R,H,1735660017462
P,E,1735660017541
R,E,1735660017709
P,R,1735660017871
R,R,1735660018029
P,Key.backspace,1735660018941
R,Key.backspace,1735660019004
P,Key.space,1735660019230
R,Key.space,1735660019292
P,C,1735660019678
R,C,1735660019886
P,L,1735660019989
R,L,1735660020060
P,A,1735660020253
R,A,1735660020422
P,S,1735660020534
R,S,1735660020638
P,S,1735660020734
R,S,1735660020879
P,Key.space,1735660020902
R,Key.space,1735660020983
P,R,1735660021597
R,R,1735660021733
P,O,1735660021949
R,O,1735660021990
P,O,1735660022061
R,O,1735660022148
P,M,1735660022333
R,M,1735660022422
P,Key.space,1735660022502
R,Key.space,1735660022596
P,Key.comma,1735660023893
R,Key.comma,1735660023951
P,Key.space,1735660024085
R,Key.space,1735660024167
P,N,1735660024349
R,N,1735660024422
P,O,1735660024566
R,O,1735660024613
P,Key.space,1735660024925
R,Key.space,1735660024982
P,O,1735660025766
R,O,1735660025886
P,N,1735660026014
R,N,1735660026101
P,E,1735660026245
P,Key.space,1735660026365
R,E,1735660026422
R,Key.space,1735660026445
P,R,1735660026565
R,R,1735660026718
P,E,1735660026757
R,E,1735660026925
P,S,1735660027037
R,S,1735660027246
P,P,1735660027997
R,P,1735660028125
P,E,1735660028237
R,E,1735660028352
P,C,1735660028501
R,C,1735660028662
P,T,1735660028813
R,T,1735660028941
P,Key.space,1735660029021
R,Key.space,1735660029093
P,T,1735660038391
R,T,1735660038558
P,O,1735660038605
R,O,1735660038702
P,Key.space,1735660038902
R,Key.space,1735660038973
P,T,1735660039022
R,T,1735660039149
P,H,1735660039206
R,H,1735660039302
P,E,1735660039405
R,E,1735660039564
P,Key.space,1735660039565
R,Key.space,1735660039638
P,C,1735660040197
R,C,1735660040350
P,O,1735660040366
R,O,1735660040437
P,A,1735660040550
R,A,1735660040709
P,H,1735660041750
R,H,1735660041942
P,Key.backspace,1735660042413
R,Key.backspace,1735660042541
P,C,1735660042646
R,C,1735660042813
P,H,1735660042869
R,H,1735660042966
P,Key.space,1735660043078
R,Key.space,1735660043174
P,A,1735660044437
P,N,1735660044565
R,A,1735660044597
P,D,1735660044693
R,N,1735660044718
P,Key.space,1735660044829
R,D,1735660044845
R,Key.space,1735660044926
P,S,1735660045022
R,S,1735660045253
