Press or Release,Key,Time
P,e,1735660004152
P,s,1735660004191
P,h,1735660004193
P,Key.space,1735660004216
R,h,1735660004272
P,f,1735660004272
P,i,1735660004294
P,o,1735660004296
R,s,1735660004311
R,e,1735660004359
R,f,1735660004360
R,i,1735660004423
R,o,1735660004424
R,Key.space,1735660004494
P,e,1735660004543
P,i,1735660004576
P,o,1735660004577
R,i,1735660004655
R,o,1735660004655
R,e,1735660004671
P,Key.space,1735660004672
P,h,1735660004696
R,h,1735660004742
R,Key.space,1735660004760
P,k,1735660004808
P,e,1735660004840
R,k,1735660004886
P,Key.space,1735660004911
R,e,1735660004975
R,Key.space,1735660005047
P,i,1735660005048
P,o,1735660005049
R,i,1735660005120
R,o,1735660005120
P,h,1735660005168
R,h,1735660005193
P,e,1735660005223
P,Key.space,1735660005264
R,e,1735660005344
R,Key.space,1735660005479
P,o,1735660005504
P,e,1735660005544
R,o,1735660005632
P,Key.space,1735660005632
R,e,1735660005711
R,Key.space,1735660005760
P,i,1735660005791
P,o,1735660005793
R,i,1735660005864
R,o,1735660005864
P,Key.shift,1735660005927
P,A,1735660005928
P,E,1735660005930
P,H,1735660005931
R,H,1735660005952
P,R,1735660005952
P,Key.space,1735660005975
R,Key.shift,1735660006088
R,A,1735660006088
R,E,1735660006088
R,R,1735660006088
R,Key.space,1735660006231
P,Key.shift,1735660006232
P,A,1735660006232
P,E,1735660006256
P,R,1735660006257
R,R,1735660006280
R,Key.shift,1735660006392
R,A,1735660006392
R,E,1735660006392
P,Key.space,1735660006392
P,h,1735660006415
R,h,1735660006432
R,Key.space,1735660006455
P,o,1735660006536
P,a,1735660006568
P,Key.shift,1735660006608
P,E,1735660006608
R,o,1735660006663
P,Key.space,1735660006663
R,Key.shift,1735660006743
R,a,1735660006744
R,E,1735660006744
R,Key.space,1735660006783
P,k,1735660006831
P,Key.space,1735660006910
R,k,1735660006943
P,a,1735660006976
R,Key.space,1735660007000
P,Key.shift,1735660007000
P,E,1735660007000
P,R,1735660007024
R,R,1735660007048
P,Key.space,1735660007048
P,K,1735660007127
R,Key.shift,1735660007168
R,a,1735660007168
R,E,1735660007168
R,Key.space,1735660007168
R,K,1735660007216
P,h,1735660007248
R,h,1735660007263
P,k,1735660007383
P,a,1735660007409
P,Key.shift,1735660007432
P,E,1735660007432
P,R,1735660007455
R,k,1735660007504
P,N,1735660007504
P,Key.space,1735660007505
R,Key.shift,1735660007600
R,a,1735660007600
R,E,1735660007601
R,R,1735660007601
R,N,1735660007601
P,k,1735660007671
R,Key.space,1735660007720
R,k,1735660007800
P,Key.shift,1735660007800
P,A,1735660007800
P,E,1735660007815
P,R,1735660007839
R,R,1735660007855
P,Key.space,1735660007880
P,K,1735660007920
R,A,1735660007935
R,E,1735660007935
R,Key.shift,1735660007960
R,K,1735660008055
R,Key.space,1735660008080
P,h,1735660008081
R,h,1735660008095
P,a,1735660008143
P,Key.shift,1735660008160
P,E,1735660008160
P,R,1735660008183
R,R,1735660008201
R,a,1735660008272
R,E,1735660008272
R,Key.shift,1735660008296
P,n,1735660008432
R,n,1735660008480
P,a,1735660008480
P,e,1735660008496
P,Key.shift,1735660008527
P,K,1735660008543
P,Key.space,1735660008559
R,e,1735660008615
R,a,1735660008648
R,Key.shift,1735660008656
R,K,1735660008696
R,Key.space,1735660008751
P,a,1735660008848
P,Key.shift,1735660008936
P,D,1735660008936
P,Key.space,1735660008959
P,N,1735660008975
R,Key.shift,1735660009024
R,a,1735660009024
R,D,1735660009024
R,N,1735660009024
R,Key.space,1735660009071
P,k,1735660009127
P,s,1735660009215
P,Key.shift,1735660009232
P,D,1735660009232
R,k,1735660009246
R,D,1735660009247
R,s,1735660009367
P,K,1735660009368
R,Key.shift,1735660009392
R,K,1735660009480
P,h,1735660009481
R,h,1735660009528
P,z,1735660009559
P,s,1735660009561
P,r,1735660009561
P,k,1735660009632
R,z,1735660009680
R,s,1735660009681
R,r,1735660009681
R,k,1735660009736
P,h,1735660009736
P,Key.space,1735660009737
R,h,1735660009801
R,Key.space,1735660009801
P,s,1735660009855
P,z,1735660009888
R,s,1735660010000
R,z,1735660010000
P,j,1735660010000
P,Key.space,1735660010001
P,n,1735660010032
R,j,1735660010048
R,Key.space,1735660010079
R,n,1735660010111
P,s,1735660010201
P,k,1735660010247
P,Key.space,1735660010305
R,s,1735660010329
R,k,1735660010376
R,Key.space,1735660010399
P,Key.space,1735660010567
P,s,1735660010584
P,r,1735660010607
R,r,1735660010623
R,Key.space,1735660010695
P,r,1735660010695
R,s,1735660010735
R,r,1735660010735
P,k,1735660010736
P,j,1735660010784
R,j,1735660010815
R,k,1735660010840
P,h,1735660010840
R,h,1735660010903
P,s,1735660010927
P,d,1735660010968
P,z,1735660010984
P,k,1735660011008
P,Key.space,1735660011030
R,s,1735660011063
R,d,1735660011065
R,z,1735660011065
R,k,1735660011104
P,h,1735660011104
R,h,1735660011129
R,Key.space,1735660011143
P,s,1735660011256
P,k,1735660011258
P,d,1735660011279
R,d,1735660011295
P,t,1735660011296
R,t,1735660011319
R,k,1735660011360
P,n,1735660011360
P,Key.space,1735660011361
R,s,1735660011392
R,n,1735660011416
R,Key.space,1735660011439
P,k,1735660011519
R,k,1735660011568
P,s,1735660011568
P,e,1735660011591
P,Key.space,1735660011616
R,s,1735660011688
R,e,1735660011688
R,Key.space,1735660011751
P,k,1735660011752
R,k,1735660011855
P,h,1735660011856
P,s,1735660011904
R,h,1735660011928
P,e,1735660011928
P,t,1735660011951
P,Key.space,1735660011967
R,s,1735660012015
R,e,1735660012038
R,t,1735660012039
P,k,1735660012040
R,k,1735660012128
R,Key.space,1735660012216
P,s,1735660012232
P,Key.shift,1735660012303
P,T,1735660012303
P,K,1735660012304
P,L,1735660012305
P,Key.space,1735660012321
R,Key.shift,1735660012408
R,s,1735660012409
R,T,1735660012409
R,K,1735660012409
R,L,1735660012409
P,h,1735660012409
R,Key.space,1735660012447
R,h,1735660012464
P,k,1735660012551
P,s,1735660012591
P,z,1735660012632
P,r,1735660012633
P,t,1735660012663
P,Key.space,1735660012665
R,k,1735660012679
R,t,1735660012679
R,s,1735660012760
R,r,1735660012760
R,z,1735660012783
R,Key.space,1735660012783
P,k,1735660012823
P,l,1735660012825
P,j,1735660012896
R,k,1735660012936
R,l,1735660012936
R,j,1735660012936
P,s,1735660012936
P,n,1735660012937
P,e,1735660012967
R,n,1735660012991
P,Key.shift,1735660012992
P,Key.space,1735660013022
