Press or Release,Key,Time
P,Key.shift,1735660002260
P,G,1735660002348
R,G,1735660002431
R,Key.shift,1735660002451
P,r,1735660002545
P,e,1735660002642
R,r,1735660002693
P,a,1735660002731
R,e,1735660002772
P,t,1735660002819
R,a,1735660002868
R,t,1735660002930
P,.,1735660003121
R,.,1735660003216
P,Key.space,1735660003267
R,Key.space,1735660003435
P,Key.shift,1735660003580
P,T,1735660003687
R,Key.shift,1735660003793
R,T,1735660003842
P,a,1735660003861
P,s,1735660003947
R,a,1735660003972
P,k,1735660004079
R,s,1735660004100
P,Key.space,1735660004201
R,k,1735660004222
R,Key.space,1735660004298
P,1,1735660004486
R,1,1735660004584
P,2,1735660004753
R,2,1735660004866
P,Key.space,1735660004947
P,o,1735660005035
R,Key.space,1735660005074
R,o,1735660005146
P,f,1735660005165
R,f,1735660005262
P,Key.space,1735660005281
R,Key.space,1735660005336
P,1,1735660005820
R,1,1735660005920
P,8,1735660006063
R,8,1735660006154
P,.,1735660006413
R,.,1735660006498
P,Key.space,1735660006652
R,Key.space,1735660006738
P,Key.shift,1735660006946
R,Key.shift,1735660007259
P,Key.shift,1735660007387
P,I,1735660007481
R,I,1735660007558
R,Key.shift,1735660007581
P,',1735660007683
R,',1735660007800
P,m,1735660007819
P,Key.space,1735660007901
R,m,1735660007946
R,Key.space,1735660008030
P,a,1735660008143
P,l,1735660008235
R,a,1735660008256
R,l,1735660008316
P,o,1735660008405
R,o,1735660008491
P,m,1735660008529
R,m,1735660008664
P,s,1735660008683
R,s,1735660008794
P,t,1735660008813
R,t,1735660008894
P,Key.space,1735660008925
R,Key.space,1735660009044
P,Key.backspace,1735660009344
R,Key.backspace,1735660009424
P,Key.backspace,1735660009471
R,Key.backspace,1735660009536
P,Key.backspace,1735660009591
R,Key.backspace,1735660009638
P,Key.backspace,1735660009697
R,Key.backspace,1735660009762
P,Key.backspace,1735660009838
R,Key.backspace,1735660009940
P,m,1735660010086
P,o,1735660010165
R,m,1735660010232
P,s,1735660010251
R,o,1735660010272
P,t,1735660010352
R,s,1735660010372
R,t,1735660010442
P,Key.space,1735660010481
R,Key.space,1735660010546
P,h,1735660010598
P,o,1735660010683
R,h,1735660010704
R,o,1735660010812
P,m,1735660010831
R,m,1735660010947
P,e,1735660010966
R,e,1735660011030
P,Key.space,1735660011049
R,Key.space,1735660011124
P,a,1735660011143
P,n,1735660011211
R,a,1735660011244
R,n,1735660011296
P,d,1735660011321
P,Key.space,1735660011385
R,d,1735660011410
R,Key.space,1735660011474
P,d,1735660011650
P,o,1735660011741
R,d,1735660011766
P,i,1735660011839
R,o,1735660011872
P,n,1735660011927
P,g,1735660012007
R,i,1735660012028
R,n,1735660012050
R,g,1735660012098
P,Key.space,1735660012121
R,Key.space,1735660012226
P,g,1735660012399
R,g,1735660012464
P,r,1735660012652
P,e,1735660012726
R,r,1735660012798
P,a,1735660012821
R,e,1735660012870
P,t,1735660012915
R,a,1735660012960
R,t,1735660013048
P,.,1735660013103
R,.,1735660013210
P,Key.space,1735660013229
R,Key.space,1735660013286
P,Key.space,1735660013345
R,Key.space,1735660013421
P,Key.shift,1735660013519
P,I,1735660013601
R,Key.shift,1735660013681
R,I,1735660013702
P,',1735660013831
R,',1735660013942
P,m,1735660013993
P,Key.space,1735660014095
R,m,1735660014124
R,Key.space,1735660014184
P,h,1735660014327
P,o,1735660014454
R,h,1735660014474
P,p,1735660014590
R,o,1735660014642
R,p,1735660014704
P,i,1735660014840
P,n,1735660014896
P,g,1735660014982
R,i,1735660015002
R,n,1735660015022
R,g,1735660015062
P,Key.space,1735660015081
R,Key.space,1735660015168
P,t,1735660015187
P,h,1735660015243
R,t,1735660015280
R,h,1735660015344
P,a,1735660015365
P,t,1735660015409
R,a,1735660015498
P,Key.space,1735660015521
R,t,1735660015542
R,Key.space,1735660015616
P,1,1735660017132
P,2,1735660017353
R,1,1735660017374
R,2,1735660017478
P,Key.space,1735660017531
R,Key.space,1735660017664
P,i,1735660017683
R,i,1735660017728
P,s,1735660017818
P,Key.space,1735660017897
R,s,1735660017918
P,m,1735660018023
R,Key.space,1735660018044
R,m,1735660018124
P,y,1735660018221
R,y,1735660018342
P,Key.space,1735660018361
R,Key.space,1735660018432
P,l,1735660018499
R,l,1735660018592
P,u,1735660018665
R,u,1735660018774
P,c,1735660019131
R,c,1735660019236
P,k,1735660019255
R,k,1735660019338
P,y,1735660019472
R,y,1735660019586
P,Key.space,1735660019605
R,Key.space,1735660019682
P,n,1735660019787
R,n,1735660019880
P,u,1735660019955
R,u,1735660020030
P,m,1735660020141
P,b,1735660020221
R,m,1735660020242
R,b,1735660020320
P,e,1735660020391
P,r,1735660020491
R,e,1735660020550
P,Key.space,1735660020581
R,r,1735660020602
R,Key.space,1735660020711
P,a,1735660020729
P,n,1735660020807
R,a,1735660020840
P,d,1735660020899
R,n,1735660020920
P,Key.space,1735660020977
R,d,1735660021002
R,Key.space,1735660021082
P,t,1735660021109
P,h,1735660021161
R,t,1735660021237
R,h,1735660021268
P,e,1735660021303
R,e,1735660021408
P,Key.backspace,1735660021701
R,Key.backspace,1735660021782
P,a,1735660021801
P,t,1735660021886
R,a,1735660021936
R,t,1735660021992
P,Key.space,1735660022035
R,Key.space,1735660022134
P,e,1735660022385
P,r,1735660022511
R,e,1735660022532
R,r,1735660022572
P,r,1735660022651
R,r,1735660022734
P,o,1735660022753
P,r,1735660022834
R,o,1735660022854
R,r,1735660022918
P,Key.space,1735660022959
R,Key.space,1735660023040
P,w,1735660023174
R,w,1735660023284
P,i,1735660023303
P,l,1735660023379
R,i,1735660023438
R,l,1735660023462
P,l,1735660023521
P,Key.space,1735660023605
R,l,1735660023644
R,Key.space,1735660023764
P,p,1735660023783
R,p,1735660023858
P,o,1735660023968
P,p,1735660024065
R,o,1735660024110
R,p,1735660024182
P,Key.space,1735660024255
R,Key.space,1735660024356
P,u,1735660024446
R,u,1735660024598
P,p,1735660024862
R,p,1735660024968
P,Key.space,1735660025003
R,Key.space,1735660025104
P,s,1735660025157
P,o,1735660025249
R,s,1735660025274
P,m,1735660025336
R,o,1735660025400
P,e,1735660025427
R,m,1735660025448
R,e,1735660025520
P,h,1735660025684
R,h,1735660025773
P,w,1735660025812
P,e,1735660025938
R,w,1735660025958
P,r,1735660026045
R,e,1735660026069
P,e,1735660026168
R,r,1735660026228
R,e,1735660026272
P,Key.backspace,1735660026428
R,Key.backspace,1735660026502
P,Key.backspace,1735660026562
R,Key.backspace,1735660026610
P,Key.backspace,1735660026665
R,Key.backspace,1735660026712
P,Key.backspace,1735660026771
R,Key.backspace,1735660026824
P,Key.backspace,1735660026875
R,Key.backspace,1735660026950
P,w,1735660027129
P,h,1735660027258
R,w,1735660027280
R,h,1735660027340
P,e,1735660027359
R,e,1735660027440
P,r,1735660027459
P,e,1735660027529
R,r,1735660027582
P,.,1735660027625
R,e,1735660027646
P,Key.space,1735660027736
R,.,1735660027756
R,Key.space,1735660027796
P,Key.space,1735660027867
R,Key.space,1735660027950
P,Key.shift,1735660028026
P,S,1735660028260
R,Key.shift,1735660028339
P,o,1735660028359
R,S,1735660028382
R,o,1735660028446
P,Key.space,1735660029006
R,Key.space,1735660029114
P,t,1735660029164
R,t,1735660029248
P,Key.shift,1735660029721
R,Key.shift,1735660030125
P,Key.backspace,1735660030145
R,Key.backspace,1735660030216
P,Key.shift,1735660030279
P,I,1735660030387
R,Key.shift,1735660030429
R,I,1735660030494
P,Key.space,1735660030517
R,Key.space,1735660030618
P,c,1735660030637
P,a,1735660030683
R,c,1735660030756
R,a,1735660030816
P,n,1735660030843
