Press or Release,Key,Time
P,T,1735660003844
R,T,1735660003962
P,H,1735660004092
R,H,1735660004167
P,E,1735660004323
R,E,1735660004462
P,Key.space,1735660004516
R,Key.space,1735660004596
P,O,1735660004780
R,O,1735660004852
P,S,1735660004998
R,S,1735660005122
P,C,1735660005283
R,C,1735660005355
P,A,1735660005469
R,A,1735660005612
P,R,1735660005694
R,R,1735660005755
P,Key.space,1735660005987
R,Key.space,1735660006044
P,S,1735660006203
R,S,1735660006355
P,L,1735660006637
R,L,1735660006724
P,A,1735660006837
R,A,1735660006994
P,P,1735660007125
R,P,1735660007181
P,Key.space,1735660007405
R,Key.space,1735660007475
P,I,1735660007634
R,I,1735660007708
P,S,1735660007814
R,S,1735660007923
P,Key.space,1735660008019
R,Key.space,1735660008059
P,A,1735660008188
R,A,1735660008315
P,N,1735660008398
R,N,1735660008452
P,Key.space,1735660008587
R,Key.space,1735660008667
P,G,1735660009909
R,G,1735660010010
P,O,1735660010180
R,O,1735660010242
P,O,1735660010325
R,O,1735660010398
P,D,1735660010484
R,D,1735660010611
P,Key.space,1735660010708
R,Key.space,1735660010763
P,S,1735660010890
R,S,1735660011059
P,H,1735660011156
R,H,1735660011219
P,I,1735660011420
P,O,1735660011437
R,I,1735660011485
R,O,1735660011491
P,W,1735660011724
R,W,1735660011821
P,Key.space,1735660013067
R,Key.space,1735660013123
P,O,1735660013771
R,O,1735660013844
P,N,1735660014003
R,N,1735660014059
P,Key.space,1735660014239
R,Key.space,1735660014277
P,A,1735660014436
R,A,1735660014563
P,Key.space,1735660014677
R,Key.space,1735660014731
P,R,1735660016830
R,R,1735660016914
P,E,1735660017059
R,E,1735660017107
P,F,1735660017565
R,F,1735660017643
P,U,1735660017955
R,U,1735660018019
P,L,1735660018435
R,L,1735660018513
P,L,1735660018629
R,L,1735660018691
P,E,1735660019035
R,E,1735660019123
P,D,1735660019533
R,D,1735660019637
P,Key.space,1735660019755
R,Key.space,1735660019820
P,T,1735660019939
R,T,1735660020051
P,O,1735660020221
R,O,1735660020282
P,Key.space,1735660020512
R,Key.space,1735660020588
P,S,1735660020875
R,S,1735660021019
P,T,1735660021267
R,T,1735660021315
P,A,1735660021446
R,A,1735660021563
P,Y,1735660021644
R,Y,1735660021699
P,Key.space,1735660021939
R,Key.space,1735660022002
P,O,1735660022211
R,O,1735660022283
P,N,1735660022438
R,N,1735660022498
P,A,1735660022732
R,A,1735660022883
P,Key.space,1735660023011
R,Key.space,1735660023085
P,Key.backspace,1735660026860
R,Key.backspace,1735660026922
P,Key.backspace,1735660027002
R,Key.backspace,1735660027083
P,Key.space,1735660027843
R,Key.space,1735660027933
P,A,1735660028071
R,A,1735660028179
P,Key.space,1735660028315
R,Key.space,1735660028363
P,S,1735660032272
R,S,1735660032411
P,H,1735660032691
R,H,1735660032763
P,A,1735660032931
R,A,1735660033066
P,R,1735660033267
R,R,1735660033371
P,E,1735660033459
R,E,1735660033531
P,D,1735660033811
R,D,1735660033862
P,Key.space,1735660034178
R,Key.space,1735660034227
P,T,1735660034530
R,T,1735660034690
P,O,1735660034804
R,O,1735660034868
P,Key.space,1735660035163
R,Key.space,1735660035252
P,G,1735660035954
R,G,1735660036068
P,O,1735660036211
R,O,1735660036274
P,O,1735660036370
R,O,1735660036442
P,D,1735660036538
R,D,1735660036651
P,S,1735660036858
R,S,1735660036987
P,Key.space,1735660037195
R,Key.space,1735660037298
P,O,1735660038347
R,O,1735660038427
P,I,1735660038603
R,I,1735660038682
P,Key.backspace,1735660039803
R,Key.backspace,1735660039866
P,P,1735660040226
R,P,1735660040306
P,I,1735660040467
R,I,1735660040546
P,N,1735660041579
R,N,1735660041634
P,I,1735660041835
R,I,1735660041898
P,O,1735660042027
R,O,1735660042098
P,N,1735660042247
R,N,1735660042322
P,S,1735660042468
R,S,1735660042602
P,Key.comma,1735660043427
R,Key.comma,1735660043604
P,Key.backspace,1735660043962
R,Key.backspace,1735660043996
P,.,1735660044267
R,.,1735660044346
P,Key.space,1735660044551
R,Key.space,1735660044556
P,Key.space,1735660044651
R,Key.space,1735660044722
P,T,1735660044851
R,T,1735660044948
P,H,1735660045098
R,H,1735660045163
P,E,1735660045291
R,E,1735660045402
P,Key.space,1735660045595
R,Key.space,1735660045650
P,O,1735660047283
R,O,1735660047354
P,S,1735660047619
R,S,1735660047731
P,C,1735660047858
R,C,1735660047948
P,A,1735660048066
R,A,1735660048179
P,R,1735660048291
R,R,1735660048346
P,Key.space,1735660048595
R,Key.space,1735660048642
P,S,1735660048835
R,S,1735660048970
P,L,1735660049125
R,L,1735660049203
P,A,1735660049330
R,A,1735660049467
P,P,1735660049562
R,P,1735660049643
P,Key.space,1735660049851
R,Key.space,1735660049922
P,I,1735660050090
R,I,1735660050148
P,S,1735660050267
R,S,1735660050379
P,Key.space,1735660050475
R,Key.space,1735660050538
P,A,1735660050659
R,A,1735660050794
P,N,1735660050874
R,N,1735660050923
P,Key.space,1735660051067
R,Key.space,1735660051106
P,M,1735660052100
R,M,1735660052180
P,O,1735660052348
R,O,1735660052402
P,V,1735660052690
R,V,1735660052747
P,E,1735660052930
R,E,1735660053065
P,Key.space,1735660053156
R,Key.space,1735660053234
P,O,1735660054530
R,O,1735660054591
P,N,1735660054757
R,N,1735660054797
P,Key.space,1735660054975
R,Key.space,1735660055027
P,S,1735660055410
R,S,1735660055538
P,O,1735660055826
R,O,1735660055891
P,U,1735660056034
R,U,1735660056108
P,R,1735660056498
R,R,1735660056569
P,C,1735660056746
R,C,1735660056810
P,E,1735660056970
R,E,1735660057074
P,Key.space,1735660057165
R,Key.space,1735660057226
P,O,1735660057402
R,O,1735660057474
P,F,1735660057632
R,F,1735660057730
P,Key.space,1735660057882
R,Key.space,1735660057959
P,F,1735660060148
R,F,1735660060235
P,I,1735660060378
R,I,1735660060426
P,L,1735660060578
R,L,1735660060634
P,E,1735660060730
R,E,1735660060825
P,.,1735660061095
R,.,1735660061138
P,Key.backspace,1735660067553
R,Key.backspace,1735660067618
P,F,1735660067930
R,F,1735660068051
P,I,1735660068907
R,I,1735660068954
P,E,1735660069141
R,E,1735660069242
P,L,1735660069426
R,L,1735660069497
P,D,1735660069698
R,D,1735660069826
P,Key.space,1735660069882
R,Key.space,1735660069938
P,T,1735660070113
R,T,1735660070218
P,O,1735660070386
R,O,1735660070450
P,Key.space,1735660070666
R,Key.space,1735660070738
P,U,1735660070970
R,U,1735660071026
P,N,1735660071253
R,N,1735660071314
P,D,1735660071538
R,D,1735660071625
P,E,1735660071859
P,R,1735660072066
R,E,1735660072073
R,R,1735660072194
P,S,1735660072442
R,S,1735660072561
P,A,1735660072719
R,A,1735660072912
P,Key.backspace,1735660073300
R,Key.backspace,1735660073378
P,T,1735660073705
R,T,1735660073780
P,A,1735660073922
R,A,1735660074066
P,N,1735660074331
R,N,1735660074402
P,D,1735660074546
R,D,1735660074665
P,Key.space,1735660074772
R,Key.space,1735660074825
P,I,1735660075041
R,I,1735660075130
P,T,1735660075281
R,T,1735660075346
P,Key.space,1735660075594
R,Key.space,1735660075665
P,O,1735660075850
R,O,1735660075925
P,N,1735660076089
R,N,1735660076148
P,Key.space,1735660076314
R,Key.space,1735660076380
P,A,1735660076515
R,A,1735660076654
P,Key.space,1735660076756
R,Key.space,1735660076802
P,G,1735660079938
R,G,1735660080002
P,E,1735660080194
R,E,1735660080305
P,N,1735660080418
R,N,1735660080486
P,E,1735660080594
R,E,1735660080698
P,R,1735660080914
R,R,1735660080946
P,A,1735660081098
R,A,1735660081236
P,L,1735660081329
R,L,1735660081418
P,Key.space,1735660081561
R,Key.space,1735660081626
P,T,1735660081777
R,T,1735660081898
P,H,1735660082003
R,H,1735660082068
P,O,1735660082204
R,O,1735660082290
P,U,1735660082408
R,U,1735660082458
P,G,1735660082739
R,G,1735660082849
P,H,1735660082954
R,H,1735660083018
P,T,1735660083226
R,T,1735660083268
P,S,1735660083410
R,S,1735660083530
P,.,1735660083978
R,.,1735660084042
