Press or Release,Key,Time
P,t,1735660196930
R,t,1735660196975
P,w,1735660198195
R,w,1735660198306
P,i,1735660199875
R,i,1735660199960
P,t,1735660200335
R,t,1735660200424
P,t,1735660200564
R,t,1735660200658
P,e,1735660200861
R,e,1735660200941
P,r,1735660201144
R,r,1735660201208
P,Key.space,1735660202055
R,Key.space,1735660202125
P,c,1735660202612
R,c,1735660202647
P,l,1735660203210
R,l,1735660203275
P,o,1735660203478
R,o,1735660203543
P,n,1735660203980
R,n,1735660204059
P,e,1735660204629
R,e,1735660204675
P,Key.space,1735660205775
R,Key.space,1735660205844
P,p,1735660206439
R,p,1735660206509
P,r,1735660207042
R,r,1735660207109
P,o,1735660208109
R,o,1735660208170
P,j,1735660208757
R,j,1735660208842
P,e,1735660209310
R,e,1735660209421
P,c,1735660209658
R,c,1735660209727
P,t,1735660210541
R,t,1735660210641
P,Key.space,1735660212551
R,Key.space,1735660212657
P,f,1735660213158
R,f,1735660213208
P,i,1735660213805
R,i,1735660213876
P,n,1735660214126
R,n,1735660214175
P,a,1735660214579
R,a,1735660214628
P,l,1735660215881
R,l,1735660215959
P,Key.space,1735660216366
R,Key.space,1735660216456
P,d,1735660217334
R,d,1735660217408
P,e,1735660217611
R,e,1735660217690
P,s,1735660217862
R,s,1735660217926
P,t,1735660219588
R,t,1735660219641
P,i,1735660220140
R,i,1735660220208
P,n,1735660220608
R,n,1735660220736
P,a,1735660221881
R,a,1735660221952
P,t,1735660222736
R,t,1735660222792
P,i,1735660223245
R,i,1735660223308
P,o,1735660223464
R,o,1735660223541
P,n,1735660224010
R,n,1735660224076
P,Key.space,1735660224467
R,Key.space,1735660224525
P,i,1735660225465
R,i,1735660225527
P,s,1735660226030
R,s,1735660226123
P,Key.space,1735660226420
R,Key.space,1735660226522
P,a,1735660226939
R,a,1735660227040
P,Key.space,1735660227306
R,Key.space,1735660227375
P,f,1735660227765
R,f,1735660227808
P,u,1735660228262
R,u,1735660228309
P,l,1735660229016
R,l,1735660229024
P,l,1735660229057
R,l,1735660229123
P,y,1735660230771
R,y,1735660230857
P,Key.space,1735660231076
R,Key.space,1735660231142
P,f,1735660231408
R,f,1735660231449
P,u,1735660231992
R,u,1735660232042
P,n,1735660232549
R,n,1735660232610
P,c,1735660232908
R,c,1735660232957
P,t,1735660233507
R,t,1735660233558
P,i,1735660234107
R,i,1735660234158
P,o,1735660234345
R,o,1735660234424
P,n,1735660235130
R,n,1735660235223
P,a,1735660235583
R,a,1735660235689
P,l,1735660236149
R,l,1735660236208
P,Key.space,1735660340059
R,Key.space,1735660340221
P,u,1735660340471
R,u,1735660340552
P,s,1735660340965
R,s,1735660341016
P,e,1735660341224
R,e,1735660341287
P,r,1735660341459
R,r,1735660341568
P,Key.space,1735660345394
R,Key.space,1735660345486
P,f,1735660346158
R,f,1735660346219
P,r,1735660346896
R,r,1735660346985
P,i,1735660347520
R,i,1735660347610
P,e,1735660348448
R,e,1735660348536
P,n,1735660349428
R,n,1735660349597
P,d,1735660349824
R,d,1735660349918
P,l,1735660350638
R,l,1735660350798
P,y,1735660351211
R,y,1735660351300
P,Key.space,1735660352588
R,Key.space,1735660352683
P,a,1735660354581
R,a,1735660354699
P,p,1735660355344
R,p,1735660355435
P,p,1735660355683
R,p,1735660355785
P,l,1735660356066
R,l,1735660356151
P,i,1735660356338
R,i,1735660356419
P,c,1735660356747
R,c,1735660356819
P,a,1735660357115
R,a,1735660357148
P,t,1735660357704
R,t,1735660357769
P,i,1735660358144
R,i,1735660358221
P,o,1735660358424
R,o,1735660358502
P,n,1735660358783
R,n,1735660358830
P,s,1735660359609
R,s,1735660359714
P,Key.space,1735660360437
R,Key.space,1735660360534
P,t,1735660361257
R,t,1735660361320
P,h,1735660361629
R,h,1735660361686
P,a,1735660361999
R,a,1735660362070
P,t,1735660362822
R,t,1735660362885
P,Key.space,1735660363338
R,Key.space,1735660363466
P,m,1735660365003
R,m,1735660365068
P,i,1735660365303
R,i,1735660365385
P,r,1735660365981
R,r,1735660366036
P,r,1735660366161
R,r,1735660366236
P,o,1735660366768
R,o,1735660366836
P,r,1735660367369
R,r,1735660367468
P,s,1735660368236
R,s,1735660368365
P,Key.space,1735660368929
R,Key.space,1735660369079
P,t,1735660370010
R,t,1735660370101
P,h,1735660370398
R,h,1735660370469
P,e,1735660370735
R,e,1735660370804
P,Key.space,1735660371101
R,Key.space,1735660371184
P,c,1735660371356
R,c,1735660371420
P,p,1735660371952
R,p,1735660372067
P,i,1735660372378
R,i,1735660372609
P,r,1735660372986
R,r,1735660373147
P,Key.space,1735660373666
R,Key.space,1735660373894
P,d,1735660374960
R,d,1735660375065
P,e,1735660375237
R,e,1735660375320
P,a,1735660375508
R,a,1735660375590
P,t,1735660376228
R,t,1735660376301
P,u,1735660376535
R,u,1735660376619
P,r,1735660376963
R,r,1735660377035
P,e,1735660377239
R,e,1735660377318
P,s,1735660377883
R,s,1735660377968
P,Key.space,1735660378343
R,Key.space,1735660378449
P,a,1735660378829
R,a,1735660378886
P,n,1735660379628
R,n,1735660379747
P,d,1735660380106
R,d,1735660380185
P,Key.space,1735660380388
R,Key.space,1735660380467
P,u,1735660380970
R,u,1735660381019
P,d,1735660381567
R,d,1735660381631
P,Key.backspace,1735660382689
R,Key.backspace,1735660382767
P,s,1735660383266
R,s,1735660383366
P,e,1735660383538
R,e,1735660383619
P,r,1735660384260
R,r,1735660384334
P,Key.space,1735660386044
R,Key.space,1735660386121
P,e,1735660386631
R,e,1735660386701
P,x,1735660386983
R,x,1735660387067
P,p,1735660387635
R,p,1735660387749
P,t,1735660388298
R,t,1735660388331
P,Key.backspace,1735660389467
R,Key.backspace,1735660389535
P,r,1735660389985
R,r,1735660390029
P,i,1735660390585
R,i,1735660390651
P,e,1735660391026
R,e,1735660391085
P,n,1735660391610
R,n,1735660391685
P,c,1735660392028
R,c,1735660392101
P,e,1735660392900
R,e,1735660392984
P,Key.space,1735660393697
R,Key.space,1735660393784
P,o,1735660394397
R,o,1735660394500
P,f,1735660396744
R,f,1735660396803
P,Key.space,1735660397312
R,Key.space,1735660397468
P,t,1735660398136
R,t,1735660398201
P,w,1735660399126
R,w,1735660399202
P,i,1735660399844
R,i,1735660399901
P,t,1735660400323
R,t,1735660400401
P,e,1735660400667
R,e,1735660400766
P,r,1735660401203
R,r,1735660401270
P,Key.space,1735660423964
R,Key.space,1735660424029
P,t,1735660424487
R,t,1735660424581
P,h,1735660424816
R,h,1735660424915
P,e,1735660425290
R,e,1735660425380
P,n,1735660426040
R,n,1735660426101
P,.,1735660427950
R,.,1735660428017
