Press or Release,Key,Time
P,Key.caps_lock,1735660031722
R,Key.caps_lock,1735660031858
P,P,1735660032638
R,P,1735660032728
P,Key.caps_lock,1735660032928
R,Key.caps_lock,1735660033027
P,r,1735660033288
R,r,1735660033369
P,e,1735660034027
R,e,1735660034108
P,s,1735660035509
R,s,1735660035610
P,i,1735660035839
R,i,1735660035888
P,d,1735660036467
R,d,1735660036548
P,e,1735660036677
R,e,1735660036778
P,n,1735660037138
R,n,1735660037229
P,t,1735660037498
R,t,1735660037579
P,Key.space,1735660037728
R,Key.space,1735660037838
P,Key.caps_lock,1735660041349
R,Key.caps_lock,1735660041548
P,D,1735660042587
R,D,1735660042668
P,Key.caps_lock,1735660042780
R,Key.caps_lock,1735660042940
P,o,1735660043167
R,o,1735660043270
P,n,1735660045091
R,n,1735660045171
P,a,1735660045290
R,a,1735660045410
P,l,1735660045687
R,l,1735660045748
P,d,1735660046098
R,d,1735660046170
P,Key.space,1735660046339
R,Key.space,1735660046408
P,Key.caps_lock,1735660046747
R,Key.caps_lock,1735660046848
P,T,1735660047148
R,T,1735660047248
P,Key.caps_lock,1735660047369
R,Key.caps_lock,1735660047470
P,r,1735660047977
R,r,1735660048058
P,u,1735660048520
R,u,1735660048655
P,m,1735660049480
R,m,1735660049549
P,p,1735660049729
R,p,1735660049812
P,Key.space,1735660050128
R,Key.space,1735660050219
P,Key.space,1735660056364
R,Key.space,1735660056477
P,a,1735660056767
R,a,1735660056877
P,n,1735660057058
R,n,1735660057165
P,d,1735660057439
R,d,1735660057519
P,Key.space,1735660057680
R,Key.space,1735660057763
P,v,1735660058778
R,v,1735660058902
P,i,1735660059168
R,i,1735660059259
P,c,1735660059438
R,c,1735660059544
P,e,1735660059877
R,e,1735660059888
P,Key.space,1735660060235
R,Key.space,1735660060250
P,p,1735660061719
R,p,1735660061798
P,r,1735660062307
R,r,1735660062363
P,e,1735660063213
R,e,1735660063364
P,s,1735660063698
R,s,1735660063839
P,i,1735660064037
R,i,1735660064161
P,d,1735660064360
R,d,1735660064458
P,e,1735660065642
R,e,1735660065738
P,n,1735660065924
R,n,1735660066017
P,t,1735660066318
R,t,1735660066399
P,Key.space,1735660066779
R,Key.space,1735660066868
P,v,1735660073609
R,v,1735660073708
P,a,1735660073808
R,a,1735660073907
P,n,1735660076031
R,n,1735660076130
P,c,1735660076467
R,c,1735660076549
P,e,1735660076792
R,e,1735660076831
P,Key.space,1735660077727
R,Key.space,1735660078330
P,b,1735660078388
R,b,1735660078469
P,e,1735660078920
R,e,1735660078967
P,r,1735660080110
R,r,1735660080208
P,a,1735660080649
R,a,1735660080774
P,t,1735660081287
R,t,1735660081368
P,e,1735660081617
R,e,1735660081706
P,d,1735660081909
R,d,1735660081947
P,Key.space,1735660082360
R,Key.space,1735660082447
P,u,1735660083960
R,u,1735660084039
P,k,1735660084239
R,k,1735660084294
P,r,1735660084749
R,r,1735660084812
P,a,1735660084963
R,a,1735660085087
P,i,1735660086679
R,i,1735660086682
P,n,1735660089162
R,n,1735660089237
P,e,1735660089607
R,e,1735660089717
P,s,1735660091117
R,s,1735660091262
P,Key.space,1735660092003
R,Key.space,1735660092181
P,p,1735660095778
R,p,1735660095878
P,r,1735660096437
R,r,1735660096547
P,e,1735660096779
R,e,1735660096858
P,s,1735660097107
R,s,1735660097285
P,i,1735660097512
R,i,1735660097619
P,d,1735660098170
R,d,1735660098237
P,e,1735660098399
R,e,1735660098477
P,n,1735660098978
R,n,1735660099064
P,t,1735660099339
R,t,1735660099420
P,Key.space,1735660101318
R,Key.space,1735660101442
P,i,1735660102215
R,i,1735660102297
P,n,1735660102535
R,n,1735660102620
P,Key.space,1735660102770
R,Key.space,1735660102877
P,t,1735660103083
R,t,1735660103161
P,h,1735660103298
R,h,1735660103378
P,e,1735660103597
R,e,1735660103762
P,Key.space,1735660103827
R,Key.space,1735660103878
P,o,1735660105419
R,o,1735660105479
P,v,1735660105968
R,v,1735660106047
P,a,1735660106178
R,a,1735660106283
P,l,1735660106759
R,l,1735660106839
P,Key.space,1735660107143
R,Key.space,1735660107218
P,o,1735660109117
R,o,1735660109201
P,f,1735660109579
R,f,1735660109643
P,f,1735660109765
R,f,1735660109834
P,i,1735660110137
R,i,1735660110212
P,c,1735660110549
R,c,1735660110640
P,e,1735660110945
R,e,1735660111044
P,Key.space,1735660112483
R,Key.space,1735660112545
P,i,1735660113072
R,i,1735660113125
P,n,1735660113398
R,n,1735660113468
P,Key.space,1735660113584
R,Key.space,1735660113682
P,a,1735660113839
R,a,1735660114012
P,n,1735660114133
R,n,1735660114213
P,Key.space,1735660114373
R,Key.space,1735660114458
P,e,1735660117979
R,e,1735660118069
P,x,1735660118485
R,x,1735660118564
P,t,1735660120758
R,t,1735660120839
P,r,1735660121081
R,r,1735660121160
P,a,1735660122203
R,a,1735660122213
P,o,1735660124098
R,o,1735660124198
P,r,1735660126438
R,r,1735660126523
P,a,1735660126738
R,a,1735660126818
P,Key.backspace,1735660143378
R,Key.backspace,1735660143447
P,d,1735660146018
R,d,1735660146141
P,i,1735660146503
R,i,1735660146570
P,n,1735660147033
R,n,1735660147110
P,a,1735660147502
R,a,1735660147603
P,r,1735660147898
R,r,1735660147964
P,y,1735660148492
R,y,1735660148545
P,Key.space,1735660151066
R,Key.space,1735660151089
P,n,1735660151404
R,n,1735660151467
P,Key.backspace,1735660153213
R,Key.backspace,1735660153319
P,m,1735660153678
R,m,1735660153758
P,e,1735660154283
R,e,1735660154373
P,e,1735660154470
R,e,1735660154552
P,t,1735660155159
R,t,1735660155229
P,i,1735660155705
R,i,1735660155786
P,n,1735660156008
R,n,1735660156075
P,g,1735660156530
R,g,1735660156618
P,Key.space,1735660157023
R,Key.space,1735660157110
P,a,1735660158029
R,a,1735660158122
P,n,1735660158578
R,n,1735660158703
P,d,1735660159468
R,d,1735660159558
P,Key.space,1735660159935
R,Key.space,1735660160250
P,d,1735660161430
R,d,1735660161517
P,i,1735660161829
R,i,1735660161885
P,s,1735660162258
R,s,1735660162338
P,p,1735660165546
R,p,1735660165639
P,l,1735660165804
R,l,1735660165900
P,a,1735660166159
R,a,1735660166278
P,y,1735660166510
R,y,1735660166598
P,Key.space,1735660167323
R,Key.space,1735660167423
P,o,1735660168869
R,o,1735660168978
P,f,1735660169249
R,f,1735660169297
P,Key.space,1735660169555
R,Key.space,1735660169639
P,o,1735660170499
R,o,1735660170580
P,p,1735660170697
R,p,1735660170777
P,e,1735660171098
R,e,1735660171167
P,n,1735660171727
R,n,1735660171798
P,Key.space,1735660171980
R,Key.space,1735660172077
P,a,1735660172838
R,a,1735660172917
P,n,1735660173157
R,n,1735660173259
P,t,1735660174640
R,t,1735660174719
P,a,1735660174839
R,a,1735660174977
P,g,1735660178539
R,g,1735660178617
P,o,1735660179009
R,o,1735660179067
P,n,1735660180559
R,n,1735660180639
P,i,1735660180878
R,i,1735660180958
P,s,1735660181319
R,s,1735660181478
P,m,1735660181761
R,m,1735660181799
P,.,1735660183023
R,.,1735660183103
