Press or Release,Key,Time
P,O,1735660006396
R,O,1735660006476
P,N,1735660006611
R,N,1735660006691
P,Key.space,1735660006852
R,Key.space,1735660006932
P,Key.backspace,1735660007780
R,Key.backspace,1735660007868
P,E,1735660007971
P,Key.space,1735660008076
R,E,1735660008100
R,Key.space,1735660008148
P,O,1735660008819
R,O,1735660008892
P,F,1735660008956
R,F,1735660009068
P,Key.space,1735660009083
R,Key.space,1735660009159
P,T,1735660009218
R,T,1735660009363
P,H,1735660009363
R,H,1735660009435
P,E,1735660009548
R,E,1735660009699
P,Key.space,1735660009716
R,Key.space,1735660009787
P,W,1735660010539
R,W,1735660010683
P,Key.backspace,1735660011387
R,Key.backspace,1735660011443
P,A,1735660011796
R,A,1735660012003
P,W,1735660012155
R,W,1735660012324
P,A,1735660012452
R,A,1735660012589
P,R,1735660012627
R,R,1735660012747
P,D,1735660012819
R,D,1735660012996
P,Key.space,1735660012997
R,Key.space,1735660013060
P,F,1735660013340
R,F,1735660013491
P,U,1735660013644
R,U,1735660013732
P,N,1735660014547
R,N,1735660014643
P,T,1735660014820
R,T,1735660014971
P,I,1735660014999
R,I,1735660015060
P,Key.backspace,1735660015454
R,Key.backspace,1735660015508
P,Key.backspace,1735660015867
R,Key.backspace,1735660015932
P,C,1735660016091
R,C,1735660016251
P,T,1735660016443
P,I,1735660016571
R,T,1735660016595
R,I,1735660016645
P,O,1735660016751
R,O,1735660016835
P,N,1735660016957
R,N,1735660017027
P,Key.space,1735660017565
R,Key.space,1735660017635
P,Key.comma,1735660019619
R,Key.comma,1735660019692
P,Key.space,1735660019813
R,Key.space,1735660019883
P,T,1735660019996
P,H,1735660020086
R,T,1735660020141
R,H,1735660020180
P,E,1735660020300
R,E,1735660020468
P,Key.space,1735660020468
R,Key.space,1735660020530
P,A,1735660020956
R,A,1735660021099
P,N,1735660021100
R,N,1735660021172
P,C,1735660021292
P,H,1735660021395
R,C,1735660021436
R,H,1735660021474
P,O,1735660021604
R,O,1735660021691
P,R,1735660021766
R,R,1735660021885
P,Key.space,1735660021899
R,Key.space,1735660021973
P,I,1735660022395
R,I,1735660022517
P,S,1735660022582
R,S,1735660022716
P,Key.space,1735660022766
R,Key.space,1735660022844
P,J,1735660023172
R,J,1735660023243
P,O,1735660023428
R,O,1735660023548
P,K,1735660024195
R,K,1735660024310
P,U,1735660024803
R,U,1735660024939
P,N,1735660025029
R,N,1735660025148
P,G,1735660025205
R,G,1735660025340
P,Key.space,1735660025340
R,Key.space,1735660025394
P,Key.backspace,1735660025828
R,Key.backspace,1735660025867
P,Key.backspace,1735660025971
R,Key.backspace,1735660026034
P,Key.backspace,1735660026115
R,Key.backspace,1735660026180
P,Key.backspace,1735660026259
R,Key.backspace,1735660026339
P,I,1735660027459
R,I,1735660027548
P,N,1735660027659
R,N,1735660027748
P,Key.space,1735660027844
R,Key.space,1735660027916
P,T,1735660028188
R,T,1735660028389
P,Key.backspace,1735660029968
R,Key.backspace,1735660030028
P,Key.backspace,1735660030148
R,Key.backspace,1735660030196
P,G,1735660031572
R,G,1735660031715
P,Key.space,1735660032524
R,Key.space,1735660032596
P,T,1735660032747
P,O,1735660032883
R,T,1735660032900
R,O,1735660032965
P,Key.space,1735660033100
R,Key.space,1735660033179
P,T,1735660033269
R,T,1735660033404
P,H,1735660033404
R,H,1735660033484
P,E,1735660033603
R,E,1735660033750
P,Key.space,1735660033750
R,Key.space,1735660033819
P,C,1735660034852
R,C,1735660035004
P,L,1735660035092
R,L,1735660035187
P,E,1735660035292
R,E,1735660035412
P,C,1735660035580
R,C,1735660035748
P,Key.backspace,1735660036676
R,Key.backspace,1735660036715
P,Key.backspace,1735660036812
R,Key.backspace,1735660036868
P,Key.backspace,1735660036956
R,Key.backspace,1735660037020
P,Key.backspace,1735660037100
R,Key.backspace,1735660037188
P,C,1735660038020
R,C,1735660038164
P,E,1735660038333
R,E,1735660038468
P,L,1735660038508
R,L,1735660038580
P,E,1735660038724
R,E,1735660038861
P,B,1735660040780
R,B,1735660040907
P,R,1735660041316
R,R,1735660041436
P,I,1735660042175
R,I,1735660042244
P,T,1735660042372
R,T,1735660042533
P,Y,1735660043716
R,Y,1735660043788
P,',1735660044347
R,',1735660044419
P,S,1735660044517
R,S,1735660044636
P,Key.space,1735660044660
R,Key.space,1735660044724
P,W,1735660045436
R,W,1735660045605
P,I,1735660045804
R,I,1735660045892
P,F,1735660045948
R,F,1735660046084
P,E,1735660046165
R,E,1735660046334
P,Key.space,1735660046334
R,Key.space,1735660046404
P,A,1735660047492
P,N,1735660047613
R,A,1735660047628
R,N,1735660047724
P,D,1735660047724
P,Key.space,1735660047820
R,D,1735660047868
R,Key.space,1735660047926
P,T,1735660047967
P,H,1735660048077
R,T,1735660048124
R,H,1735660048182
P,E,1735660048277
P,3,1735660048279
R,3,1735660048387
P,Key.space,1735660048388
R,E,1735660048404
R,Key.space,1735660048477
P,Key.backspace,1735660049372
R,Key.backspace,1735660049421
P,Key.backspace,1735660049501
R,Key.backspace,1735660049564
P,Key.space,1735660050131
R,Key.space,1735660050196
P,C,1735660050556
R,C,1735660050701
P,L,1735660050765
R,L,1735660050860
P,Key.backspace,1735660051540
R,Key.backspace,1735660051606
P,E,1735660051740
R,E,1735660051868
P,L,1735660052172
R,L,1735660052278
P,E,1735660053124
R,E,1735660053268
P,B,1735660053619
R,B,1735660053780
P,R,1735660053925
R,R,1735660054068
P,I,1735660054572
R,I,1735660054645
P,T,1735660054797
R,T,1735660054901
P,Y,1735660054917
R,Y,1735660054997
P,Key.space,1735660055150
R,Key.space,1735660055212
P,G,1735660055876
R,G,1735660056006
P,E,1735660056092
R,E,1735660056235
P,T,1735660056293
R,T,1735660056476
P,Key.space,1735660056556
R,Key.space,1735660056658
P,A,1735660056851
R,A,1735660057045
P,N,1735660058348
R,N,1735660058468
P,G,1735660058595
R,G,1735660058724
P,R,1735660058867
R,R,1735660059025
P,Y,1735660059059
R,Y,1735660059126
P,Key.space,1735660059270
R,Key.space,1735660059341
P,A,1735660059453
R,A,1735660059581
P,D,1735660059645
P,N,1735660059646
R,N,1735660059710
R,D,1735660059790
P,Key.space,1735660059819
R,Key.space,1735660059909
P,T,1735660059965
R,T,1735660060131
P,Key.backspace,1735660060800
R,Key.backspace,1735660060869
P,Key.backspace,1735660060950
R,Key.backspace,1735660061009
P,Key.backspace,1735660061087
R,Key.backspace,1735660061156
P,Key.backspace,1735660061236
R,Key.backspace,1735660061325
P,N,1735660062278
R,N,1735660062381
P,D,1735660062773
R,D,1735660062918
P,Key.space,1735660062957
R,Key.space,1735660063037
P,H,1735660063333
R,H,1735660063436
P,E,1735660063525
P,Key.space,1735660063645
R,E,1735660063672
R,Key.space,1735660063724
P,G,1735660064819
R,G,1735660064957
P,O,1735660064997
R,O,1735660065071
P,I,1735660065188
R,I,1735660065276
P,N,1735660065358
R,N,1735660065459
P,Key.space,1735660065565
R,Key.space,1735660065652
P,Key.backspace,1735660066557
R,Key.backspace,1735660066627
P,G,1735660066717
R,G,1735660066853
P,Key.space,1735660066892
R,Key.space,1735660066964
P,Y,1735660067165
P,T,1735660067166
R,Y,1735660067277
R,T,1735660067301
P,O,1735660067301
R,O,1735660067423
P,Key.backspace,1735660067999
R,Key.backspace,1735660068045
P,Key.backspace,1735660068131
R,Key.backspace,1735660068187
P,Key.backspace,1735660068683
R,Key.backspace,1735660068756
P,T,1735660068924
R,T,1735660069093
P,O,1735660069093
R,O,1735660069156
P,Key.space,1735660069388
R,Key.space,1735660069436
P,T,1735660070004
R,T,1735660070148
P,H,1735660070149
R,H,1735660070220
P,E,1735660070316
P,Key.space,1735660070452
R,E,1735660070476
R,Key.space,1735660070516
P,S,1735660070605
R,S,1735660070715
P,T,1735660070732
R,T,1735660070875
P,A,1735660071596
R,A,1735660071756
P,G,1735660071756
R,G,1735660071932
P,E,1735660071996
P,Key.space,1735660072156
R,E,1735660072181
R,Key.space,1735660072227
P,A,1735660073812
P,N,1735660073947
R,A,1735660073980
R,N,1735660074085
P,D,1735660074085
R,D,1735660074237
P,Key.space,1735660074237
R,Key.space,1735660074309
P,H,1735660074797
R,H,1735660074908
P,E,1735660074999
R,E,1735660075131
P,Key.space,1735660075156
R,Key.space,1735660075211
P,S,1735660076068
R,S,1735660076195
P,L,1735660076236
R,L,1735660076308
P,A,1735660076396
R,A,1735660076525
P,P,1735660076525
R,P,1735660076612
P,Key.space,1735660076765
R,Key.space,1735660076829
P,T,1735660077301
R,T,1735660077436
P,O,1735660077436
R,O,1735660077508
P,Key.space,1735660077868
R,Key.space,1735660077989
P,T,1735660078481
R,T,1735660078605
P,H,1735660078605
R,H,1735660078708
P,E,1735660078797
R,E,1735660078942
P,Key.space,1735660078956
R,Key.space,1735660079020
P,A,1735660079164
R,A,1735660079293
P,N,1735660079405
R,N,1735660079476
P,C,1735660079853
R,C,1735660079975
P,H,1735660079997
R,H,1735660080044
P,O,1735660082653
R,O,1735660082716
P,R,1735660082814
R,R,1735660082941
P,.,1735660083336
R,.,1735660083389
