Press or Release,Key,Time
P,Key.shift,1735660005046
R,Key.shift,1735660005399
P,Key.shift,1735660006438
P,H,1735660006647
R,H,1735660006790
R,Key.shift,1735660006999
P,Key.backspace,1735660007782
R,Key.backspace,1735660007863
P,Key.backspace,1735660007926
R,Key.backspace,1735660007990
P,Key.shift,1735660008215
P,T,1735660008407
R,Key.shift,1735660008486
R,T,1735660008567
P,j,1735660008791
R,j,1735660008902
P,e,1735660009255
R,e,1735660009383
P,Key.space,1735660009399
R,Key.space,1735660009495
P,Key.backspace,1735660009943
R,Key.backspace,1735660010023
P,Key.backspace,1735660010119
R,Key.backspace,1735660010198
P,h,1735660010663
R,h,1735660010774
P,e,1735660010791
P,Key.space,1735660010919
R,e,1735660010935
R,Key.space,1735660011015
P,Key.backspace,1735660011415
R,Key.backspace,1735660011511
P,Key.backspace,1735660011591
R,Key.backspace,1735660011671
P,Key.backspace,1735660011751
R,Key.backspace,1735660011815
P,Key.backspace,1735660011911
R,Key.backspace,1735660011960
P,h,1735660012855
R,h,1735660012935
P,e,1735660013014
R,e,1735660013110
P,Key.space,1735660013111
R,Key.space,1735660013239
P,b,1735660013303
R,b,1735660013431
P,o,1735660013607
R,o,1735660013814
P,y,1735660013814
R,y,1735660013910
P,Key.space,1735660014023
R,Key.space,1735660014134
P,i,1735660014391
R,i,1735660014470
P,s,1735660014519
R,s,1735660014662
P,Key.space,1735660014662
R,Key.space,1735660014742
P,v,1735660015031
R,v,1735660015142
P,e,1735660015303
P,r,1735660015399
R,e,1735660015414
R,r,1735660015494
P,y,1735660015510
R,y,1735660015606
P,Key.space,1735660015703
R,Key.space,1735660015782
P,s,1735660015927
R,s,1735660016070
P,t,1735660016166
R,t,1735660016262
P,o,1735660016471
R,o,1735660016614
P,Key.backspace,1735660017318
R,Key.backspace,1735660017415
P,Key.backspace,1735660017495
R,Key.backspace,1735660017574
P,t,1735660018503
R,t,1735660018583
P,r,1735660019271
R,r,1735660019398
P,o,1735660019431
R,o,1735660019543
P,n,1735660019622
R,n,1735660019720
P,g,1735660019767
R,g,1735660019879
P,Key.space,1735660019910
R,Key.space,1735660019992
P,a,1735660020134
R,a,1735660020294
P,b,1735660020583
R,b,1735660020711
P,o,1735660020839
P,u,1735660020934
R,o,1735660020967
R,u,1735660020982
P,t,1735660021992
R,t,1735660022103
P,Key.space,1735660022135
R,Key.space,1735660022215
P,h,1735660022886
R,h,1735660022983
P,i,1735660023047
R,i,1735660023159
P,s,1735660023190
P,Key.space,1735660023303
R,s,1735660023336
R,Key.space,1735660023400
P,p,1735660023483
R,p,1735660023607
P,o,1735660023671
R,o,1735660023816
P,i,1735660023878
R,i,1735660023990
P,n,1735660024118
R,n,1735660024230
P,t,1735660024294
P,Key.space,1735660024422
R,t,1735660024456
R,Key.space,1735660024503
P,f,1735660025942
R,f,1735660026086
P,e,1735660026247
R,e,1735660026343
P,a,1735660026471
P,r,1735660026630
R,a,1735660026662
R,r,1735660026759
P,Key.space,1735660026838
R,Key.space,1735660026950
P,a,1735660027078
P,n,1735660027174
R,a,1735660027239
R,n,1735660027286
P,d,1735660027302
R,d,1735660027399
P,Key.space,1735660027414
R,Key.space,1735660027494
P,f,1735660027926
R,f,1735660028055
P,e,1735660028103
R,e,1735660028183
P,l,1735660028294
R,l,1735660028358
P,l,1735660028470
R,l,1735660028502
P,Key.backspace,1735660028823
R,Key.backspace,1735660028918
P,Key.backspace,1735660028998
R,Key.backspace,1735660029079
P,e,1735660029575
R,e,1735660029719
P,l,1735660029991
R,l,1735660030071
P,Key.space,1735660030199
R,Key.space,1735660030295
P,s,1735660030326
P,e,1735660030455
R,s,1735660030487
R,e,1735660030584
P,c,1735660030727
P,u,1735660030859
R,c,1735660030871
R,u,1735660030966
P,r,1735660030999
P,e,1735660031143
R,r,1735660031174
R,e,1735660031270
P,Key.space,1735660031367
R,Key.space,1735660031478
P,i,1735660031798
R,i,1735660031879
P,n,1735660031990
R,n,1735660032103
P,Key.space,1735660032166
R,Key.space,1735660032262
P,a,1735660032294
P,l,1735660032406
R,a,1735660032439
R,l,1735660032491
P,l,1735660032567
R,l,1735660032663
P,Key.space,1735660032711
R,Key.space,1735660032823
P,s,1735660032855
R,s,1735660032983
P,i,1735660033000
R,i,1735660033094
P,t,1735660033142
P,u,1735660033271
R,t,1735660033305
R,u,1735660033383
P,a,1735660033415
P,t,1735660033559
R,a,1735660033607
P,i,1735660033607
R,t,1735660033688
R,i,1735660033719
P,o,1735660033799
R,o,1735660033959
P,n,1735660034022
R,n,1735660034119
P,.,1735660034534
R,.,1735660034646
P,Key.space,1735660034774
R,Key.space,1735660034838
P,Key.shift,1735660056728
P,D,1735660056823
R,Key.shift,1735660056936
R,D,1735660056967
P,o,1735660057111
R,o,1735660057208
P,n,1735660057319
R,n,1735660057415
P,t,1735660057559
R,t,1735660057704
P,Key.space,1735660057831
R,Key.space,1735660057944
P,n,1735660058135
R,n,1735660058183
P,e,1735660058392
R,e,1735660058519
P,Key.space,1735660058583
R,Key.space,1735660058667
P,',1735660061943
R,',1735660062039
P,Key.backspace,1735660063351
R,Key.backspace,1735660063528
P,Key.backspace,1735660063623
R,Key.backspace,1735660063703
P,Key.backspace,1735660063799
R,Key.backspace,1735660063863
P,b,1735660064871
R,b,1735660064967
P,e,1735660065016
R,e,1735660065111
P,Key.space,1735660065127
R,Key.space,1735660065223
P,g,1735660065383
R,g,1735660065510
P,e,1735660065607
