Press or Release,Key,Time
P,p,1735660008078
R,p,1735660008173
P,r,1735660008749
R,r,1735660008814
P,o,1735660009004
R,o,1735660009068
P,f,1735660009324
R,f,1735660009389
P,e,1735660009517
P,r,1735660009661
R,e,1735660009693
R,r,1735660009756
P,Key.backspace,1735660011068
R,Key.backspace,1735660011149
P,s,1735660012365
R,s,1735660012412
P,s,1735660012492
R,s,1735660012572
P,o,1735660012940
R,o,1735660013004
P,t,1735660013148
R,t,1735660013212
P,Key.backspace,1735660014094
R,Key.backspace,1735660014205
P,r,1735660015438
R,r,1735660015501
P,Key.space,1735660015916
R,Key.space,1735660016012
P,a,1735660016156
R,a,1735660016252
P,n,1735660016334
R,n,1735660016381
P,d,1735660016604
R,d,1735660016700
P,Key.space,1735660016829
R,Key.space,1735660016892
P,s,1735660017964
R,s,1735660018029
P,t,1735660018270
R,t,1735660018332
P,u,1735660018573
R,u,1735660018637
P,d,1735660018956
R,d,1735660019036
P,e,1735660019164
R,e,1735660019229
P,n,1735660019340
R,n,1735660019404
P,t,1735660019564
R,t,1735660019628
P,Key.space,1735660019740
R,Key.space,1735660019804
P,c,1735660020701
R,c,1735660020781
P,l,1735660020876
R,l,1735660020940
P,a,1735660021037
R,a,1735660021116
P,s,1735660021361
R,s,1735660021404
P,s,1735660021500
R,s,1735660021564
P,Key.space,1735660022702
R,Key.space,1735660022766
P,r,1735660023037
R,r,1735660023101
P,o,1735660023404
R,o,1735660023437
P,o,1735660023500
R,o,1735660023564
P,m,1735660023708
R,m,1735660023772
P,Key.space,1735660023900
R,Key.space,1735660023948
P,s,1735660024605
R,s,1735660024670
P,c,1735660024830
R,c,1735660024876
P,e,1735660025036
R,e,1735660025100
P,n,1735660025325
R,n,1735660025389
P,e,1735660025517
R,e,1735660025580
P,Key.space,1735660026412
R,Key.space,1735660026476
P,w,1735660026638
R,w,1735660026684
P,a,1735660026830
R,a,1735660026908
P,s,1735660027004
R,s,1735660027117
P,Key.space,1735660027228
R,Key.space,1735660027260
P,i,1735660028316
R,i,1735660028380
P,n,1735660028540
R,n,1735660028605
P,t,1735660029036
R,t,1735660029100
P,e,1735660029261
P,r,1735660029389
R,e,1735660029436
R,r,1735660029485
P,e,1735660031293
R,e,1735660031357
P,s,1735660031501
