Press or Release,Key,Time
P,t,1735660011278
R,t,1735660011413
P,h,1735660011470
R,h,1735660011558
P,i,1735660011669
R,i,1735660011758
P,s,1735660011951
R,s,1735660012096
P,Key.space,1735660012128
R,Key.space,1735660012214
P,s,1735660012550
R,s,1735660012701
P,c,1735660012830
R,c,1735660012957
P,e,1735660013070
R,e,1735660013206
P,n,1735660013302
R,n,1735660013381
P,c,1735660013590
R,c,1735660013734
P,e,1735660013837
R,e,1735660013982
P,Key.space,1735660014126
R,Key.space,1735660014221
P,h,1735660015702
R,h,1735660015797
P,i,1735660015878
R,i,1735660015998
P,t,1735660016061
R,t,1735660016213
P,s,1735660016262
R,s,1735660016447
P,Key.space,1735660016486
R,Key.space,1735660016599
P,d,1735660017173
R,d,1735660017314
P,i,1735660017414
R,i,1735660017518
P,f,1735660017710
R,f,1735660017814
P,f,1735660018094
R,f,1735660018221
P,e,1735660018422
P,r,1735660018598
R,e,1735660018613
R,r,1735660018710
P,n,1735660019085
R,n,1735660019166
P,e,1735660019229
R,e,1735660019373
P,t,1735660019440
R,t,1735660019599
P,Key.space,1735660019654
R,Key.space,1735660019757
P,d,1735660020974
R,d,1735660021110
P,i,1735660021158
R,i,1735660021246
P,s,1735660021318
R,s,1735660021478
P,c,1735660022046
R,c,1735660022198
P,l,1735660022478
R,l,1735660022574
P,i,1735660022734
R,i,1735660022805
P,p,1735660022988
R,p,1735660023193
P,l,1735660023194
R,l,1735660023214
P,i,1735660023525
R,i,1735660023529
P,n,1735660023600
R,n,1735660023663
P,e,1735660023766
R,e,1735660023902
P,Key.space,1735660023958
R,Key.space,1735660024039
P,d,1735660025422
R,d,1735660025518
P,e,1735660025590
R,e,1735660025702
P,d,1735660025805
R,d,1735660025933
P,i,1735660026221
R,i,1735660026305
P,c,1735660026422
R,c,1735660026566
P,a,1735660026605
P,t,1735660026821
R,a,1735660026845
R,t,1735660026960
P,e,1735660027021
R,e,1735660027143
P,d,1735660027309
R,d,1735660027461
P,Key.space,1735660027549
R,Key.space,1735660027653
P,t,1735660028118
R,t,1735660028301
P,h,1735660028318
R,h,1735660028389
P,e,1735660028509
R,e,1735660028645
P,Key.space,1735660028710
R,Key.space,1735660028790
P,Key.space,1735660029365
R,Key.space,1735660029454
P,a,1735660029701
R,a,1735660029877
P,n,1735660029926
R,n,1735660030015
P,d,1735660030103
R,d,1735660030254
P,Key.space,1735660030254
R,Key.space,1735660030342
P,b,1735660030613
R,b,1735660030728
P,e,1735660031423
R,e,1735660031558
P,h,1735660031591
R,h,1735660031661
P,a,1735660031726
R,a,1735660031909
P,l,1735660031933
R,l,1735660032021
P,f,1735660032430
R,f,1735660032566
P,Key.space,1735660032590
R,Key.space,1735660032678
P,t,1735660032806
P,r,1735660032813
R,r,1735660032982
P,h,1735660032982
R,t,1735660032990
R,h,1735660033062
P,e,1735660033158
R,e,1735660033373
P,Key.space,1735660033414
R,Key.space,1735660033478
P,e,1735660033629
P,r,1735660033630
R,e,1735660033774
R,r,1735660033774
P,Key.space,1735660034286
R,Key.space,1735660034382
P,f,1735660035868
R,f,1735660035990
P,Key.backspace,1735660036533
R,Key.backspace,1735660036629
P,t,1735660036965
R,t,1735660037087
P,r,1735660037469
R,r,1735660037637
P,u,1735660037701
R,u,1735660037773
P,e,1735660037829
R,e,1735660037950
P,s,1735660038126
R,s,1735660038285
P,Key.space,1735660038422
R,Key.space,1735660038525
P,w,1735660039862
R,w,1735660039997
P,h,1735660040053
R,h,1735660040119
P,e,1735660040206
R,e,1735660040341
P,n,1735660040446
R,n,1735660040537
P,Key.space,1735660040645
R,Key.space,1735660040733
P,t,1735660040798
R,t,1735660040933
P,h,1735660040966
R,h,1735660041030
P,e,1735660041119
R,e,1735660041253
P,Key.space,1735660041341
R,Key.space,1735660041429
P,c,1735660043454
R,c,1735660043613
P,o,1735660043805
R,o,1735660043877
P,a,1735660044014
R,a,1735660044141
P,c,1735660044246
R,c,1735660044413
P,h,1735660044440
R,h,1735660044503
P,Key.space,1735660044637
R,Key.space,1735660044741
P,w,1735660046270
R,w,1735660046401
P,o,1735660046469
R,o,1735660046534
P,r,1735660046678
R,r,1735660046805
P,d,1735660046942
R,d,1735660047069
P,s,1735660047174
R,s,1735660047317
P,Key.space,1735660047534
R,Key.space,1735660047621
P,i,1735660048517
R,i,1735660048590
P,n,1735660048725
R,n,1735660048798
P,s,1735660049005
R,s,1735660049152
P,p,1735660049294
R,p,1735660049374
P,r,1735660049590
R,r,1735660049704
P,Key.backspace,1735660050245
R,Key.backspace,1735660050333
P,i,1735660050709
R,i,1735660050789
P,r,1735660050902
R,r,1735660051045
P,e,1735660051077
R,e,1735660051213
P,Key.space,1735660051253
R,Key.space,1735660051357
P,t,1735660051445
P,h,1735660051621
R,t,1735660051637
R,h,1735660051693
P,e,1735660051797
P,Key.space,1735660051982
R,e,1735660051998
R,Key.space,1735660052061
P,p,1735660052957
R,p,1735660053045
P,i,1735660053173
R,i,1735660053245
P,Key.backspace,1735660053726
R,Key.backspace,1735660053829
P,u,1735660054213
R,u,1735660054293
P,s,1735660054413
R,s,1735660054550
P,h,1735660054629
R,h,1735660054701
P,Key.space,1735660054814
R,Key.space,1735660054901
P,r,1735660054990
P,t,1735660054991
R,t,1735660055133
R,r,1735660055142
P,h,1735660055142
R,h,1735660055213
P,w,1735660055333
P,e,1735660055334
R,e,1735660055448
R,w,1735660055467
P,Key.space,1735660055606
R,Key.space,1735660055709
P,r,1735660056734
R,r,1735660056877
P,e,1735660056902
R,e,1735660057037
P,a,1735660057176
P,s,1735660057178
R,s,1735660057293
R,a,1735660057309
P,p,1735660057542
R,p,1735660057629
P,e,1735660057686
R,e,1735660057832
P,d,1735660057987
R,d,1735660058182
P,t,1735660058325
R,t,1735660058501
P,Key.space,1735660058605
R,Key.space,1735660058726
P,h,1735660059437
R,h,1735660059542
P,t,1735660059598
R,t,1735660059765
P,Key.space,1735660059782
R,Key.space,1735660059862
P,e,1735660059925
R,e,1735660060053
P,Key.space,1735660060141
R,Key.space,1735660060213
P,a,1735660061661
R,a,1735660061790
P,n,1735660061894
R,n,1735660061996
P,d,1735660062069
R,d,1735660062214
P,Key.space,1735660062220
R,Key.space,1735660062318
P,t,1735660062406
P,h,1735660062548
R,t,1735660062569
R,h,1735660062621
P,e,1735660062725
R,e,1735660062893
P,Key.space,1735660062925
R,Key.space,1735660063014
P,w,1735660063709
R,w,1735660063877
P,Key.backspace,1735660064293
R,Key.backspace,1735660064406
P,a,1735660064535
R,a,1735660064685
P,w,1735660064741
R,w,1735660064925
P,a,1735660065613
R,a,1735660065749
P,y,1735660065813
R,y,1735660065885
P,Key.space,1735660066015
R,Key.space,1735660066117
P,o,1735660066693
R,o,1735660066766
P,f,1735660066901
R,f,1735660066998
P,f,1735660067077
P,Key.space,1735660067174
R,f,1735660067189
R,Key.space,1735660067277
P,t,1735660067358
P,h,1735660067447
R,t,1735660067486
R,h,1735660067526
P,i,1735660067645
R,i,1735660067741
P,s,1735660067855
R,s,1735660068014
P,Key.space,1735660068094
R,Key.space,1735660068133
