Press or Release,Key,Time
P,T,1735660003993
R,T,1735660004074
P,H,1735660004222
R,H,1735660004318
P,E,1735660004586
R,E,1735660004718
P,Key.space,1735660004820
R,Key.space,1735660004927
P,C,1735660005089
R,C,1735660005158
P,O,1735660005448
R,O,1735660005518
P,A,1735660005702
R,A,1735660005847
P,C,1735660005990
R,C,1735660006104
P,H,1735660006321
R,H,1735660006422
P,Key.space,1735660006591
R,Key.space,1735660006686
P,C,1735660007071
R,C,1735660007150
P,A,1735660007279
R,A,1735660007454
P,T,1735660007614
R,T,1735660007686
P,E,1735660007846
R,E,1735660007913
P,R,1735660008038
R,R,1735660008118
P,Key.space,1735660008350
R,Key.space,1735660008446
P,M,1735660008686
R,M,1735660008775
P,O,1735660008975
R,O,1735660009046
P,V,1735660009463
R,V,1735660009533
P,I,1735660009726
R,I,1735660009793
P,E,1735660009966
R,E,1735660010093
P,Key.space,1735660010204
R,Key.space,1735660010262
P,C,1735660010511
R,C,1735660010655
P,L,1735660010790
R,L,1735660010846
P,I,1735660011069
R,I,1735660011166
P,P,1735660011286
R,P,1735660011374
P,Key.space,1735660011566
R,Key.space,1735660011669
P,I,1735660011880
R,I,1735660011941
P,S,1735660012070
R,S,1735660012235
P,Key.space,1735660012261
R,Key.space,1735660012334
P,A,1735660012487
R,A,1735660012670
P,O,1735660013094
R,O,1735660013160
P,Key.backspace,1735660014013
R,Key.backspace,1735660014062
P,N,1735660014470
R,N,1735660014549
P,Key.space,1735660014773
R,Key.space,1735660014866
P,T,1735660016046
R,T,1735660016126
P,H,1735660016303
R,H,1735660016374
P,E,1735660016522
R,E,1735660016654
P,Key.space,1735660016782
R,Key.space,1735660016872
P,G,1735660017278
R,G,1735660017383
P,O,1735660017590
R,O,1735660017646
P,O,1735660017764
R,O,1735660017823
P,D,1735660018006
R,D,1735660018134
P,Key.space,1735660018310
R,Key.space,1735660018374
P,S,1735660018678
R,S,1735660018831
P,T,1735660019010
R,T,1735660019070
P,O,1735660019414
R,O,1735660019518
P,R,1735660019686
R,R,1735660019781
P,Y,1735660020047
R,Y,1735660020112
P,Key.space,1735660020409
R,Key.space,1735660020471
P,T,1735660020590
R,T,1735660020699
P,O,1735660020863
R,O,1735660020910
P,Key.space,1735660021203
R,Key.space,1735660021278
P,E,1735660021982
R,E,1735660022053
P,V,1735660022472
R,V,1735660022543
P,E,1735660022693
R,E,1735660022798
P,R,1735660022942
R,R,1735660023029
P,Y,1735660025486
R,Y,1735660025573
P,O,1735660026000
R,O,1735660026087
P,N,1735660026256
R,N,1735660026350
P,E,1735660026661
R,E,1735660026822
P,Key.space,1735660026918
R,Key.space,1735660027021
P,T,1735660027125
R,T,1735660027253
P,O,1735660027415
R,O,1735660027487
P,Key.space,1735660027719
R,Key.space,1735660027800
P,W,1735660028117
R,W,1735660028174
P,A,1735660028365
R,A,1735660028494
P,T,1735660028678
R,T,1735660028733
P,C,1735660028967
R,C,1735660029021
P,H,1735660029224
R,H,1735660029278
P,Key.space,1735660029502
R,Key.space,1735660029589
P,O,1735660029831
R,O,1735660029930
P,N,1735660030078
R,N,1735660030168
P,Key.space,1735660030301
R,Key.space,1735660030403
P,I,1735660030550
R,I,1735660030637
P,T,1735660030757
R,T,1735660030830
P,.,1735660031397
R,.,1735660031481
P,Key.space,1735660031766
R,Key.space,1735660031870
P,Key.space,1735660031980
R,Key.space,1735660032053
P,Key.space,1735660032151
R,Key.space,1735660032205
P,T,1735660033774
R,T,1735660033876
P,H,1735660034013
R,H,1735660034101
P,E,1735660034509
R,E,1735660034613
P,Key.space,1735660034733
R,Key.space,1735660034845
P,C,1735660035029
R,C,1735660035125
P,O,1735660035468
R,O,1735660035573
P,A,1735660035694
R,A,1735660035854
P,C,1735660035997
R,C,1735660036085
P,H,1735660036246
R,H,1735660036325
P,Key.space,1735660036502
R,Key.space,1735660036613
P,A,1735660036713
R,A,1735660036886
P,C,1735660037038
R,C,1735660037156
P,R,1735660037549
R,R,1735660037645
P,T,1735660037781
