Press or Release,Key,Time
P,c,1735660005239
R,c,1735660005336
P,o,1735660005416
R,o,1735660005511
P,a,1735660006312
R,a,1735660006407
P,c,1735660006599
R,c,1735660006679
P,h,1735660006840
R,h,1735660006919
P,Key.space,1735660007032
R,Key.space,1735660007096
P,a,1735660007208
R,a,1735660007319
P,n,1735660007383
R,n,1735660007447
P,d,1735660007560
R,d,1735660007655
P,Key.space,1735660007656
R,Key.space,1735660007719
P,s,1735660007993
R,s,1735660008089
P,t,1735660008311
R,t,1735660008376
P,u,1735660008792
R,u,1735660008839
P,d,1735660009032
R,d,1735660009096
P,e,1735660009208
R,e,1735660009288
P,n,1735660009383
R,n,1735660009448
P,t,1735660009639
R,t,1735660009703
P,Key.space,1735660009816
R,Key.space,1735660009865
P,s,1735660011307
R,s,1735660011400
P,c,1735660011544
R,c,1735660011640
P,e,1735660011833
R,e,1735660011944
P,n,1735660012056
R,n,1735660012136
P,e,1735660012232
R,e,1735660012311
P,Key.space,1735660012359
R,Key.space,1735660012408
P,i,1735660013400
R,i,1735660013496
P,s,1735660013575
R,s,1735660013671
P,Key.space,1735660013720
R,Key.space,1735660013769
P,v,1735660014568
R,v,1735660014648
P,e,1735660014791
P,r,1735660014905
R,e,1735660014937
R,r,1735660014999
P,y,1735660015143
R,y,1735660015209
P,Key.space,1735660015336
R,Key.space,1735660015400
P,i,1735660015688
R,i,1735660015735
P,n,1735660015912
R,n,1735660015976
P,t,1735660016216
R,t,1735660016280
P,e,1735660016376
P,r,1735660016503
R,e,1735660016521
R,r,1735660016567
P,e,1735660016823
R,e,1735660016904
P,s,1735660017096
R,s,1735660017192
P,i,1735660017575
R,i,1735660017639
P,n,1735660017831
R,n,1735660017896
P,g,1735660018072
R,g,1735660018152
P,Key.space,1735660018216
R,Key.space,1735660018264
P,Key.space,1735660025128
R,Key.space,1735660025241
P,Key.backspace,1735660029784
R,Key.backspace,1735660029866
P,Key.comma,1735660030199
R,Key.comma,1735660030280
P,Key.space,1735660030503
R,Key.space,1735660030554
P,a,1735660030696
R,a,1735660030808
P,n,1735660030855
R,n,1735660030920
P,d,1735660031032
R,d,1735660031111
P,Key.space,1735660031144
R,Key.space,1735660031211
P,s,1735660032648
R,s,1735660032744
P,t,1735660033256
R,t,1735660033320
P,u,1735660033480
R,u,1735660033544
P,d,1735660033784
R,d,1735660033864
P,e,1735660034008
R,e,1735660034072
P,n,1735660034184
R,n,1735660034232
P,t,1735660034408
R,t,1735660034472
P,Key.space,1735660034618
R,Key.space,1735660034664
P,a,1735660035933
R,a,1735660036009
P,c,1735660036200
R,c,1735660036296
P,t,1735660036585
R,t,1735660036648
P,i,1735660036792
R,i,1735660036855
P,n,1735660037016
R,n,1735660037064
P,g,1735660037224
R,g,1735660037288
P,Key.space,1735660037384
R,Key.space,1735660037433
P,i,1735660038536
R,i,1735660038616
P,s,1735660038744
R,s,1735660038825
P,Key.space,1735660038904
R,Key.space,1735660038953
P,v,1735660039112
R,v,1735660039192
P,e,1735660039384
R,e,1735660039480
P,e,1735660039560
P,r,1735660039672
R,e,1735660039688
