Press or Release,Key,Time
P,t,1735660003079
R,t,1735660003159
P,r,1735660003429
R,r,1735660003545
P,u,1735660003644
R,u,1735660003700
P,m,1735660003859
R,m,1735660003904
P,p,1735660004075
R,p,1735660004103
P,Key.space,1735660004300
R,Key.space,1735660004354
P,a,1735660004419
R,a,1735660004539
P,n,1735660004599
R,n,1735660004674
P,d,1735660004699
R,d,1735660004834
P,Key.space,1735660004879
R,Key.space,1735660004939
P,z,1735660005934
R,z,1735660006034
P,e,1735660006174
R,e,1735660006279
P,l,1735660006350
R,l,1735660006420
P,e,1735660006480
R,e,1735660006584
P,n,1735660006719
R,n,1735660006779
P,s,1735660007080
R,s,1735660007199
P,k,1735660007519
R,k,1735660007599
P,y,1735660007804
R,y,1735660007849
P,Key.space,1735660008039
R,Key.space,1735660008089
P,d,1735660008274
R,d,1735660008379
P,e,1735660008519
R,e,1735660008579
P,e,1735660008689
R,e,1735660008774
P,l,1735660008849
R,l,1735660008899
P,Key.backspace,1735660009439
R,Key.backspace,1735660009482
P,p,1735660010640
R,p,1735660010689
P,l,1735660010855
R,l,1735660010924
P,y,1735660011200
R,y,1735660011260
P,Key.space,1735660011421
R,Key.space,1735660011499
P,t,1735660011684
R,t,1735660011724
P,a,1735660011839
R,a,1735660011939
P,k,1735660012170
R,k,1735660012200
P,Key.backspace,1735660012954
R,Key.backspace,1735660013019
P,l,1735660013284
R,l,1735660013359
P,k,1735660013475
R,k,1735660013525
P,Key.space,1735660013679
R,Key.space,1735660013734
P,a,1735660013900
R,a,1735660014005
P,b,1735660014048
R,b,1735660014119
P,o,1735660014339
R,o,1735660014414
P,u,1735660014619
R,u,1735660014679
P,t,1735660014878
R,t,1735660014909
P,Key.space,1735660015099
R,Key.space,1735660015200
P,t,1735660015394
R,t,1735660015439
P,h,1735660015640
R,h,1735660015700
P,i,1735660015999
R,i,1735660016053
P,Key.backspace,1735660017540
R,Key.backspace,1735660017599
P,a,1735660017724
R,a,1735660017839
P,t,1735660017959
R,t,1735660018004
P,Key.space,1735660018194
R,Key.space,1735660018261
P,u,1735660018959
R,u,1735660018999
P,k,1735660019194
R,k,1735660019239
P,r,1735660019539
R,r,1735660019579
P,a,1735660019659
R,a,1735660019780
P,i,1735660019904
R,i,1735660019949
P,n,1735660020099
R,n,1735660020164
P,e,1735660020234
R,e,1735660020359
P,Key.space,1735660020359
R,Key.space,1735660020414
P,a,1735660020498
R,a,1735660020619
P,n,1735660020619
R,n,1735660020699
P,d,1735660020779
P,Key.space,1735660020885
R,d,1735660020921
R,Key.space,1735660020954
P,r,1735660021379
R,r,1735660021520
P,u,1735660021619
R,u,1735660021659
P,s,1735660021839
R,s,1735660021900
P,s,1735660022019
R,s,1735660022094
P,i,1735660022184
R,i,1735660022239
P,a,1735660022320
R,a,1735660022419
P,Key.space,1735660022499
R,Key.space,1735660022542
P,w,1735660022619
R,w,1735660022724
P,a,1735660022859
R,a,1735660022924
P,r,1735660023044
R,r,1735660023109
P,.,1735660023679
R,.,1735660023730
P,Key.space,1735660023894
R,Key.space,1735660023939
P,u,1735660025485
R,u,1735660025515
P,k,1735660025724
R,k,1735660025765
P,r,1735660026129
R,r,1735660026179
P,a,1735660026319
R,a,1735660026420
P,i,1735660026519
R,i,1735660026554
P,n,1735660026734
R,n,1735660026785
P,e,1735660026884
R,e,1735660026999
P,Key.space,1735660027029
R,Key.space,1735660027084
P,i,1735660027259
R,i,1735660027314
P,s,1735660027439
R,s,1735660027514
P,Key.space,1735660027639
R,Key.space,1735660027679
P,v,1735660029504
R,v,1735660029554
P,e,1735660029729
R,e,1735660029814
P,r,1735660029939
R,r,1735660030019
P,y,1735660030174
R,y,1735660030219
P,Key.space,1735660030399
R,Key.space,1735660030465
P,s,1735660030659
R,s,1735660030769
P,t,1735660030920
R,t,1735660030959
P,r,1735660031729
R,r,1735660031819
P,u,1735660032039
R,u,1735660032084
P,g,1735660032339
R,g,1735660032399
P,g,1735660032515
R,g,1735660032564
P,l,1735660032819
R,l,1735660032879
P,e,1735660032994
R,e,1735660033119
P,Key.space,1735660033269
R,Key.space,1735660033340
P,f,1735660033659
R,f,1735660033779
P,o,1735660033795
R,o,1735660033838
P,r,1735660034040
R,r,1735660034179
P,Key.space,1735660034179
R,Key.space,1735660034234
P,t,1735660034454
R,t,1735660034499
P,h,1735660034659
R,h,1735660034714
P,a,1735660034769
R,a,1735660034909
P,t,1735660034914
R,t,1735660034959
P,Key.space,1735660035140
R,Key.space,1735660035184
P,w,1735660035339
R,w,1735660035449
P,a,1735660035554
R,a,1735660035659
P,r,1735660035679
R,r,1735660035739
P,Key.space,1735660036119
R,Key.space,1735660036179
P,t,1735660036394
R,t,1735660036429
P,i,1735660036729
R,i,1735660036774
P,m,1735660036980
R,m,1735660037019
P,e,1735660037179
R,e,1735660037299
P,.,1735660037579
R,.,1735660037614
P,Key.space,1735660037764
R,Key.space,1735660037819
P,s,1735660038104
R,s,1735660038219
P,o,1735660038265
R,o,1735660038320
P,m,1735660038540
R,m,1735660038579
P,Key.backspace,1735660039159
R,Key.backspace,1735660039204
P,Key.space,1735660039480
R,Key.space,1735660039519
P,m,1735660039719
R,m,1735660039743
P,a,1735660039879
R,a,1735660039999
P,n,1735660040004
R,n,1735660040049
P,y,1735660040219
R,y,1735660040254
P,Key.space,1735660040439
R,Key.space,1735660040499
P,c,1735660041079
P,p,1735660041184
R,c,1735660041209
R,p,1735660041239
P,Key.backspace,1735660041819
R,Key.backspace,1735660041879
P,Key.backspace,1735660043499
R,Key.backspace,1735660043559
P,p,1735660043999
R,p,1735660044044
P,e,1735660044145
R,e,1735660044274
P,o,1735660044299
R,o,1735660044350
P,p,1735660044454
R,p,1735660044480
P,l,1735660044619
R,l,1735660044679
P,e,1735660044700
R,e,1735660044789
P,s,1735660044939
R,s,1735660045039
P,Key.space,1735660045159
R,Key.space,1735660045204
P,a,1735660045359
R,a,1735660045459
P,r,1735660045564
R,r,1735660045605
P,e,1735660045694
R,e,1735660045820
P,Key.space,1735660045834
R,Key.space,1735660045899
P,d,1735660046244
R,d,1735660046374
P,i,1735660046439
R,i,1735660046485
P,e,1735660046581
R,e,1735660046669
P,d,1735660046800
R,d,1735660046899
P,.,1735660047420
R,.,1735660047480
P,Key.space,1735660047659
R,Key.space,1735660047701
P,t,1735660047979
R,t,1735660047999
P,h,1735660048159
R,h,1735660048214
P,a,1735660048299
P,t,1735660048379
R,a,1735660048399
R,t,1735660048415
P,Key.space,1735660048589
R,Key.space,1735660048659
P,t,1735660048939
R,t,1735660048980
P,i,1735660049199
R,i,1735660049234
P,m,1735660049399
R,m,1735660049480
P,e,1735660049634
R,e,1735660049760
P,Key.space,1735660049764
R,Key.space,1735660049821
P,a,1735660050244
R,a,1735660050360
P,m,1735660050390
R,m,1735660050439
P,e,1735660050579
R,e,1735660050678
P,r,1735660050790
R,r,1735660050864
P,i,1735660050939
R,i,1735660050989
P,c,1735660051239
R,c,1735660051289
P,a,1735660051379
R,a,1735660051459
P,n,1735660051579
R,n,1735660051639
P,Key.space,1735660051779
R,Key.space,1735660051854
P,p,1735660052089
R,p,1735660052154
P,r,1735660052439
R,r,1735660052559
P,e,1735660052699
R,e,1735660052784
P,s,1735660052974
R,s,1735660053084
P,i,1735660053204
R,i,1735660053249
P,d,1735660053319
R,d,1735660053419
P,e,1735660053524
R,e,1735660053624
P,n,1735660053694
R,n,1735660053744
P,t,1735660053919
R,t,1735660053979
P,Key.space,1735660054159
R,Key.space,1735660054219
P,d,1735660054545
R,d,1735660054674
P,o,1735660054754
R,o,1735660054794
P,n,1735660055019
R,n,1735660055079
P,a,1735660055179
R,a,1735660055254
P,l,1735660055324
R,l,1735660055379
P,d,1735660055764
R,d,1735660055869
P,Key.space,1735660055979
R,Key.space,1735660056004
P,t,1735660056259
R,t,1735660056300
P,r,1735660056459
R,r,1735660056585
P,u,1735660056699
R,u,1735660056730
P,m,1735660056899
R,m,1735660056954
P,p,1735660057119
R,p,1735660057159
P,Key.space,1735660057360
R,Key.space,1735660057409
P,i,1735660057599
R,i,1735660057639
P,s,1735660057764
R,s,1735660057879
P,Key.space,1735660057939
R,Key.space,1735660057999
P,h,1735660058279
R,h,1735660058339
P,e,1735660058474
R,e,1735660058599
P,l,1735660058639
R,l,1735660058704
P,p,1735660058819
R,p,1735660058879
P,Key.space,1735660059879
R,Key.space,1735660059920
P,f,1735660060224
R,f,1735660060355
P,o,1735660060355
R,o,1735660060394
P,r,1735660060504
R,r,1735660060609
P,Key.space,1735660060659
R,Key.space,1735660060704
P,t,1735660060949
R,t,1735660060984
P,h,1735660061124
R,h,1735660061184
P,a,1735660061265
R,a,1735660061374
P,t,1735660061389
R,t,1735660061434
P,Key.space,1735660061609
R,Key.space,1735660061700
P,c,1735660061879
R,c,1735660061999
P,o,1735660062079
R,o,1735660062149
P,u,1735660062339
R,u,1735660062378
P,n,1735660062534
R,n,1735660062614
P,t,1735660062819
R,t,1735660062860
P,r,1735660063024
R,r,1735660063124
P,y,1735660063124
R,y,1735660063175
