Press or Release,Key,Time
P,Key.shift,1735660043153
P,T,1735660043668
R,T,1735660043825
R,Key.shift,1735660043958
P,g,1735660044577
R,g,1735660044705
P,e,1735660044785
R,e,1735660044914
P,Key.space,1735660044946
R,Key.space,1735660045089
P,',1735660045297
R,',1735660045409
P,Key.backspace,1735660045729
R,Key.backspace,1735660045795
P,Key.backspace,1735660045937
R,Key.backspace,1735660046001
P,Key.backspace,1735660046097
R,Key.backspace,1735660046177
P,Key.backspace,1735660046258
R,Key.backspace,1735660046338
P,g,1735660046929
R,g,1735660047057
P,e,1735660047105
R,e,1735660047233
P,Key.space,1735660047249
R,Key.space,1735660047362
P,=,1735660048273
R,=,1735660048290
P,Key.backspace,1735660048577
R,Key.backspace,1735660048673
P,Key.backspace,1735660048801
R,Key.backspace,1735660048897
P,Key.backspace,1735660048978
R,Key.backspace,1735660049089
P,Key.backspace,1735660050418
R,Key.backspace,1735660050529
P,Key.backspace,1735660050625
R,Key.backspace,1735660050721
P,Key.shift,1735660058465
P,T,1735660058833
R,Key.shift,1735660058914
R,T,1735660058961
P,h,1735660059170
R,h,1735660059297
P,e,1735660059297
R,e,1735660059377
P,Key.space,1735660059394
R,Key.space,1735660059489
P,Key.shift,1735660059553
P,U,1735660059826
R,Key.shift,1735660059890
R,U,1735660059937
P,k,1735660060097
R,k,1735660060194
P,r,1735660060546
R,r,1735660060674
P,a,1735660060753
P,i,1735660060849
R,a,1735660060897
R,i,1735660060961
P,n,1735660061042
R,n,1735660061185
P,e,1735660061186
R,e,1735660061265
P,Key.space,1735660061362
R,Key.space,1735660061457
P,p,1735660061585
R,p,1735660061762
P,r,1735660061794
R,r,1735660061969
P,e,1735660062034
R,e,1735660062065
P,s,1735660062194
R,s,1735660062322
P,i,1735660062358
P,d,1735660062450
R,i,1735660062465
R,d,1735660062562
P,e,1735660062689
R,e,1735660062801
P,n,1735660062818
R,n,1735660062946
P,t,1735660062978
R,t,1735660063074
P,Key.space,1735660063169
R,Key.space,1735660063250
P,h,1735660063731
R,h,1735660063841
P,a,1735660063890
R,a,1735660064049
P,s,1735660064065
R,s,1735660064195
P,Key.space,1735660064195
R,Key.space,1735660064273
P,Key.backspace,1735660068340
R,Key.backspace,1735660068497
P,Key.backspace,1735660068610
R,Key.backspace,1735660068673
P,Key.backspace,1735660068850
R,Key.backspace,1735660068866
P,Key.backspace,1735660068994
R,Key.backspace,1735660069032
P,Key.backspace,1735660069138
R,Key.backspace,1735660069186
P,Key.space,1735660070258
R,Key.space,1735660070401
P,d,1735660070514
R,d,1735660070626
P,i,1735660070642
R,i,1735660070737
P,s,1735660070913
R,s,1735660071034
P,c,1735660071091
R,c,1735660071265
P,u,1735660071618
R,u,1735660071745
P,s,1735660071810
R,s,1735660071905
P,s,1735660072418
R,s,1735660072514
P,Key.space,1735660072610
R,Key.space,1735660072706
P,a,1735660072737
R,a,1735660072898
P,b,1735660072898
R,b,1735660073042
P,o,1735660073121
P,u,1735660073266
R,o,1735660073297
R,u,1735660073409
P,t,1735660073890
R,t,1735660073986
P,Key.space,1735660074177
R,Key.space,1735660074305
P,c,1735660076451
R,c,1735660076594
P,a,1735660076658
R,a,1735660076818
P,u,1735660076914
R,u,1735660077025
P,s,1735660077153
R,s,1735660077330
P,e,1735660077362
R,e,1735660077457
P,s,1735660078226
R,s,1735660078355
P,Key.space,1735660078402
R,Key.space,1735660078529
P,i,1735660078546
R,i,1735660078657
P,n,1735660078722
R,n,1735660078882
P,Key.space,1735660078946
R,Key.space,1735660079025
P,t,1735660079090
P,h,1735660079124
R,t,1735660079202
R,h,1735660079250
P,Key.backspace,1735660080131
R,Key.backspace,1735660080226
P,Key.backspace,1735660080258
R,Key.backspace,1735660080418
P,h,1735660080962
R,h,1735660081058
P,i,1735660081137
R,i,1735660081253
P,s,1735660081254
R,s,1735660081378
P,Key.space,1735660081380
R,Key.space,1735660081490
P,c,1735660081746
R,c,1735660081890
P,o,1735660081890
P,u,1735660082114
R,o,1735660082146
R,u,1735660082226
P,n,1735660082642
R,n,1735660082754
P,t,1735660082850
R,t,1735660082929
P,r,1735660083058
R,r,1735660083141
P,y,1735660083153
R,y,1735660083297
P,Key.space,1735660083379
R,Key.space,1735660083474
P,o,1735660083635
R,o,1735660083826
P,Key.backspace,1735660084273
R,Key.backspace,1735660084402
P,d,1735660084450
R,d,1735660084626
P,r,1735660084818
R,r,1735660084947
P,u,1735660085121
R,u,1735660085249
P,i,1735660085365
R,i,1735660085490
P,n,1735660085618
R,n,1735660085778
P,Key.backspace,1735660086178
R,Key.backspace,1735660086290
P,Key.backspace,1735660086386
R,Key.backspace,1735660086451
