Press or Release,Key,Time
P,Key.shift,1735660004405
P,I,1735660004823
R,Key.shift,1735660004876
R,I,1735660004932
P,n,1735660005758
R,n,1735660005884
P,Key.space,1735660005980
R,Key.space,1735660006084
P,t,1735660007030
R,t,1735660007140
P,h,1735660007172
R,h,1735660007278
P,e,1735660007470
R,e,1735660007613
P,Key.space,1735660007630
R,Key.space,1735660007716
P,o,1735660009941
R,o,1735660010069
P,s,1735660010479
R,s,1735660010531
P,c,1735660010611
R,c,1735660010757
P,a,1735660010900
R,a,1735660011054
P,r,1735660011212
R,r,1735660011292
P,Key.space,1735660011365
R,Key.space,1735660011452
P,w,1735660011767
R,w,1735660011868
P,i,1735660011991
R,i,1735660012076
P,l,1735660012277
R,l,1735660012391
P,l,1735660012453
R,l,1735660012532
P,Key.space,1735660012670
R,Key.space,1735660012773
P,s,1735660013095
R,s,1735660013244
P,Key.backspace,1735660014181
R,Key.backspace,1735660014333
P,Key.backspace,1735660014415
R,Key.backspace,1735660014501
P,Key.backspace,1735660014580
R,Key.backspace,1735660014677
P,Key.backspace,1735660014749
R,Key.backspace,1735660014839
P,Key.backspace,1735660014901
R,Key.backspace,1735660014988
P,Key.backspace,1735660015054
R,Key.backspace,1735660015158
P,Key.backspace,1735660015239
R,Key.backspace,1735660015341
P,Key.backspace,1735660015397
R,Key.backspace,1735660015535
P,e,1735660016797
R,e,1735660016876
P,Key.backspace,1735660017294
R,Key.backspace,1735660017437
P,r,1735660017485
R,r,1735660017613
P,Key.space,1735660017855
R,Key.space,1735660018013
P,e,1735660018518
R,e,1735660018661
P,v,1735660018901
R,v,1735660019031
P,e,1735660019125
R,e,1735660019261
P,n,1735660019317
R,n,1735660019431
P,t,1735660019493
R,t,1735660019613
P,Key.space,1735660019693
R,Key.space,1735660019790
P,Key.backspace,1735660020989
R,Key.backspace,1735660021077
P,Key.comma,1735660021447
R,Key.comma,1735660021527
P,Key.space,1735660021636
R,Key.space,1735660021725
P,a,1735660023245
R,a,1735660023343
P,c,1735660023477
R,c,1735660023599
P,t,1735660023743
R,t,1735660023837
P,o,1735660024125
R,o,1735660024237
P,r,1735660024541
R,r,1735660024637
P,Key.space,1735660024677
R,Key.space,1735660024799
P,Key.shift,1735660025477
P,W,1735660025615
R,Key.shift,1735660025725
R,W,1735660025734
P,i,1735660025884
R,i,1735660025999
P,l,1735660026167
R,l,1735660026269
P,l,1735660026325
R,l,1735660026415
P,Key.space,1735660026576
R,Key.space,1735660026669
P,Key.shift,1735660027613
P,S,1735660027821
R,Key.shift,1735660027943
R,S,1735660027944
P,m,1735660028069
R,m,1735660028175
P,o,1735660028325
R,o,1735660028485
P,=,1735660028869
R,=,1735660028989
P,Key.backspace,1735660030069
R,Key.backspace,1735660030197
P,Key.backspace,1735660030269
R,Key.backspace,1735660030365
P,i,1735660031560
R,i,1735660031687
P,t,1735660031797
R,t,1735660031917
P,h,1735660031933
R,h,1735660032069
P,Key.space,1735660032223
R,Key.space,1735660032335
P,j,1735660032477
R,j,1735660032599
P,u,1735660032693
R,u,1735660032839
P,s,1735660032869
R,s,1735660032991
P,t,1735660033175
R,t,1735660033279
P,Key.space,1735660033368
R,Key.space,1735660033496
P,s,1735660033583
R,s,1735660033741
P,l,1735660033901
R,l,1735660034023
P,a,1735660034109
R,a,1735660034223
P,p,1735660034350
R,p,1735660034429
P,p,1735660034486
R,p,1735660034575
P,e,1735660034661
R,e,1735660034791
P,d,1735660034949
R,d,1735660035119
P,Key.space,1735660035326
R,Key.space,1735660035445
P,o,1735660036917
R,o,1735660037029
P,n,1735660037168
R,n,1735660037285
P,Key.space,1735660037374
R,Key.space,1735660037463
P,y,1735660037557
P,t,1735660037597
R,t,1735660037663
R,y,1735660037679
P,h,1735660037703
R,h,1735660037823
P,Key.backspace,1735660038414
R,Key.backspace,1735660038567
P,Key.backspace,1735660039213
R,Key.backspace,1735660039357
P,Key.backspace,1735660040080
R,Key.backspace,1735660040205
P,t,1735660040669
R,t,1735660040766
P,h,1735660040789
R,h,1735660040893
P,e,1735660041039
R,e,1735660041157
P,Key.space,1735660041205
R,Key.space,1735660041309
P,f,1735660041455
R,f,1735660041581
P,a,1735660041718
R,a,1735660041895
P,c,1735660042000
R,c,1735660042165
P,e,1735660042269
P,w,1735660042277
R,w,1735660042376
R,e,1735660042383
P,Key.backspace,1735660043014
R,Key.backspace,1735660043213
P,Key.space,1735660043959
R,Key.space,1735660044077
P,o,1735660044375
R,o,1735660044437
P,f,1735660044750
R,f,1735660044901
P,Key.space,1735660044925
R,Key.space,1735660045015
P,a,1735660045941
R,a,1735660046103
P,n,1735660046792
R,n,1735660046894
P,c,1735660047190
R,c,1735660047310
P,h,1735660047480
R,h,1735660047598
P,o,1735660047744
R,o,1735660047870
P,r,1735660048014
R,r,1735660048142
P,Key.space,1735660048208
R,Key.space,1735660048312
P,Key.shift,1735660048566
P,I,1735660048686
R,Key.shift,1735660048749
R,I,1735660048773
P,Key.space,1735660048965
R,Key.space,1735660049085
P,j,1735660049224
R,j,1735660049335
P,u,1735660049726
R,u,1735660049821
P,s,1735660049917
R,s,1735660050054
P,t,1735660050240
R,t,1735660050360
P,Key.space,1735660050446
R,Key.space,1735660050550
P,e,1735660050614
R,e,1735660050750
P,n,1735660050920
R,n,1735660051029
P,j,1735660051197
R,j,1735660051326
P,o,1735660051448
R,o,1735660051592
P,y,1735660052086
R,y,1735660052213
P,e,1735660052302
R,e,1735660052432
P,d,1735660052592
R,d,1735660052725
P,Key.space,1735660052751
R,Key.space,1735660052854
P,e,1735660053453
R,e,1735660053543
P,v,1735660053798
R,v,1735660053927
P,e,1735660054022
R,e,1735660054181
P,n,1735660054221
R,n,1735660054318
P,t,1735660054478
R,t,1735660054591
P,Key.space,1735660054630
R,Key.space,1735660054736
P,b,1735660055078
R,b,1735660055222
P,e,1735660055255
R,e,1735660055375
P,c,1735660056181
R,c,1735660056326
P,a,1735660056742
R,a,1735660056872
P,u,1735660056926
R,u,1735660057062
P,s,1735660057126
R,s,1735660057254
P,e,1735660057352
R,e,1735660057454
P,Key.space,1735660057494
R,Key.space,1735660057613
P,t,1735660058087
R,t,1735660058192
P,h,1735660058232
R,h,1735660058342
P,e,1735660058462
R,e,1735660058592
P,Key.space,1735660058654
R,Key.space,1735660058758
P,a,1735660058910
R,a,1735660059063
P,n,1735660059342
R,n,1735660059462
P,c,1735660059765
R,c,1735660059896
P,h,1735660060038
R,h,1735660060151
P,o,1735660060352
R,o,1735660060478
P,r,1735660060870
R,r,1735660061038
