Press or Release,Key,Time
P,Key.shift,1735660003952
P,A,1735660004082
R,Key.shift,1735660004187
R,A,1735660004200
P,l,1735660004276
R,l,1735660004366
P,w,1735660004426
R,w,1735660004516
P,a,1735660004621
R,a,1735660004726
P,y,1735660004756
R,y,1735660004859
P,s,1735660004874
P,Key.space,1735660004950
R,s,1735660004964
R,Key.space,1735660005056
P,f,1735660005159
R,f,1735660005264
P,o,1735660005280
R,o,1735660005371
P,u,1735660005521
P,n,1735660005612
R,u,1735660005685
P,d,1735660005731
R,n,1735660005744
P,Key.space,1735660005836
R,d,1735660005850
R,Key.space,1735660005926
P,t,1735660005986
R,t,1735660006076
P,h,1735660006091
P,i,1735660006181
R,h,1735660006210
P,s,1735660006241
R,i,1735660006299
R,s,1735660006376
P,Key.space,1735660006391
R,Key.space,1735660006480
P,m,1735660006573
R,m,1735660006661
P,o,1735660006721
R,o,1735660006856
P,Key.backspace,1735660007275
R,Key.backspace,1735660007381
P,m,1735660007514
R,m,1735660007605
P,Key.backspace,1735660008011
R,Key.backspace,1735660008100
P,o,1735660008341
P,m,1735660008446
R,o,1735660008491
R,m,1735660008535
P,e,1735660008640
R,e,1735660008746
P,n,1735660008761
R,n,1735660008835
P,t,1735660008925
R,t,1735660009031
P,Key.space,1735660009076
R,Key.space,1735660009165
P,w,1735660009451
R,w,1735660009571
P,e,1735660009674
R,e,1735660009780
P,i,1735660009795
R,i,1735660009871
P,r,1735660009931
R,r,1735660010051
P,d,1735660010336
R,d,1735660010442
P,.,1735660012032
R,.,1735660012137
P,Key.space,1735660012466
R,Key.space,1735660012632
P,t,1735660012826
R,t,1735660012931
P,h,1735660013006
R,h,1735660013079
P,e,1735660013081
R,e,1735660013217
P,Key.space,1735660013246
R,Key.space,1735660013396
P,g,1735660013485
R,g,1735660013561
P,u,1735660013696
R,u,1735660013784
P,y,1735660013920
R,y,1735660014026
P,Key.space,1735660014070
R,Key.space,1735660014190
P,b,1735660015331
P,a,1735660015436
R,b,1735660015449
R,a,1735660015571
P,r,1735660015661
R,r,1735660015751
P,e,1735660015795
P,l,1735660015931
R,e,1735660015944
R,l,1735660016050
P,y,1735660016156
P,t,1735660016169
R,t,1735660016261
R,y,1735660016290
P,Key.backspace,1735660016861
R,Key.backspace,1735660017010
P,y,1735660017025
R,y,1735660017161
P,Key.backspace,1735660017506
R,Key.backspace,1735660017566
P,Key.space,1735660017866
R,Key.space,1735660018001
P,s,1735660018060
R,s,1735660018181
P,a,1735660018391
R,a,1735660018525
P,i,1735660018555
R,i,1735660018646
P,d,1735660018676
R,d,1735660018796
P,Key.space,1735660018826
R,Key.space,1735660018961
P,a,1735660019051
P,n,1735660019171
R,a,1735660019184
R,n,1735660019246
P,y,1735660019411
R,y,1735660019516
P,t,1735660019576
P,h,1735660019635
R,t,1735660019665
R,h,1735660019741
P,i,1735660019771
P,n,1735660019861
R,i,1735660019905
R,n,1735660019966
P,g,1735660019981
R,g,1735660020056
P,Key.space,1735660020086
R,Key.space,1735660020161
P,p,1735660020566
R,p,1735660020700
P,r,1735660020731
R,r,1735660020821
P,o,1735660020866
R,o,1735660020970
P,v,1735660021150
R,v,1735660021286
P,o,1735660021301
P,k,1735660021435
R,o,1735660021465
R,k,1735660021571
P,i,1735660021675
P,n,1735660021796
R,i,1735660021841
R,n,1735660021931
P,g,1735660022021
R,g,1735660022111
P,Key.comma,1735660022248
R,Key.comma,1735660022321
P,Key.space,1735660022469
R,Key.space,1735660022545
P,a,1735660022636
P,n,1735660022755
R,a,1735660022769
R,n,1735660022831
P,d,1735660022889
R,d,1735660023012
P,Key.space,1735660023012
R,Key.space,1735660023086
P,t,1735660023221
R,t,1735660023310
P,h,1735660023356
R,h,1735660023446
P,e,1735660023447
R,e,1735660023566
P,n,1735660023791
R,n,1735660023881
P,Key.space,1735660024000
R,Key.space,1735660024076
P,w,1735660024225
R,w,1735660024361
P,i,1735660024435
R,i,1735660024510
P,l,1735660024645
R,l,1735660024721
P,l,1735660024810
R,l,1735660024887
P,Key.space,1735660024991
R,Key.space,1735660025081
P,s,1735660025171
R,s,1735660025306
P,m,1735660025336
R,m,1735660025426
P,i,1735660025531
R,i,1735660025621
P,t,1735660025666
R,t,1735660025801
P,h,1735660026056
R,h,1735660026176
P,Key.space,1735660026281
R,Key.space,1735660026432
P,s,1735660026491
R,s,1735660026627
P,l,1735660026640
R,l,1735660026732
P,a,1735660026776
P,p,1735660026881
R,a,1735660026910
R,p,1735660026956
P,p,1735660027046
R,p,1735660027136
P,e,1735660027181
R,e,1735660027241
P,d,1735660027421
R,d,1735660027557
P,Key.space,1735660027616
R,Key.space,1735660027766
P,h,1735660028052
P,i,1735660028201
R,h,1735660028214
R,i,1735660028351
P,m,1735660028411
R,m,1735660028545
P,Key.space,1735660028650
R,Key.space,1735660028771
P,f,1735660028846
P,o,1735660028936
R,f,1735660028949
R,o,1735660029071
P,r,1735660029086
R,r,1735660029207
P,Key.space,1735660029237
R,Key.space,1735660029401
P,i,1735660029537
R,i,1735660029641
P,t,1735660029761
R,t,1735660029852
P,Key.space,1735660029971
R,Key.space,1735660030106
P,Key.backspace,1735660030541
R,Key.backspace,1735660030661
P,.,1735660030811
R,.,1735660030886
P,Key.space,1735660031066
R,Key.space,1735660031200
P,w,1735660031319
P,h,1735660031411
R,w,1735660031425
R,h,1735660031531
P,y,1735660031666
R,y,1735660031742
P,y,1735660031905
R,y,1735660031952
P,Key.shift,1735660032252
P,?,1735660032671
R,?,1735660032746
P,?,1735660032836
R,?,1735660032941
R,Key.shift,1735660033016
P,Key.space,1735660041933
R,Key.space,1735660041935
P,t,1735660047973
P,h,1735660048106
R,t,1735660048121
R,h,1735660048241
P,e,1735660048256
R,e,1735660048405
P,r,1735660048542
P,e,1735660048631
R,r,1735660048751
R,e,1735660048811
P,Key.backspace,1735660050101
R,Key.backspace,1735660050655
P,Key.backspace,1735660050821
R,Key.backspace,1735660050897
P,Key.backspace,1735660051018
R,Key.backspace,1735660051092
P,m,1735660051452
R,m,1735660051556
P,a,1735660051617
R,a,1735660051766
P,y,1735660051796
R,y,1735660051826
P,b,1735660052111
R,b,1735660052186
P,e,1735660052246
R,e,1735660052366
P,Key.space,1735660052379
R,Key.space,1735660052471
P,h,1735660052562
R,h,1735660052636
