Press or Release,Key,Time
P,a,1735660001560
P,d,1735660001645
P,f,1735660001703
R,a,1735660001723
P,Key.space,1735660001724
R,d,1735660001737
P,i,1735660001849
R,f,1735660001870
P,a,1735660001871
P,u,1735660001912
P,s,1735660001927
R,i,1735660001962
P,d,1735660001980
P,f,1735660001990
R,s,1735660001994
R,a,1735660001999
R,u,1735660002026
R,d,1735660002051
R,Key.space,1735660002120
R,f,1735660002123
P,Key.enter,1735660002131
P,a,1735660002168
P,d,1735660002257
P,s,1735660002263
P,Key.space,1735660002271
R,Key.enter,1735660002282
P,f,1735660002302
R,a,1735660002310
R,s,1735660002312
R,d,1735660002367
P,i,1735660002404
R,f,1735660002427
P,a,1735660002478
P,d,1735660002568
P,f,1735660002580
R,a,1735660002587
R,i,1735660002594
P,u,1735660002623
R,d,1735660002630
R,f,1735660002704
R,u,1735660002705
P,i,1735660002708
P,a,1735660002732
P,o,1735660002751
P,d,1735660002844
P,f,1735660002861
R,a,1735660002870
R,o,1735660002882
P,u,1735660002883
R,i,1735660002902
R,d,1735660002934
R,u,1735660002962
P,Key.enter,1735660002970
R,f,1735660003003
P,a,1735660003020
R,Key.space,1735660003022
P,Key.space,1735660003059
P,d,1735660003140
R,Key.enter,1735660003172
R,a,1735660003222
P,f,1735660003226
P,i,1735660003239
R,d,1735660003247
R,f,1735660003338
P,a,1735660003348
P,j,1735660003379
R,i,1735660003390
P,d,1735660003458
P,f,1735660003487
R,a,1735660003495
R,j,1735660003514
P,i,1735660003519
R,d,1735660003534
P,o,1735660003539
R,f,1735660003623
P,a,1735660003629
P,u,1735660003679
R,i,1735660003718
R,o,1735660003719
P,d,1735660003769
P,f,1735660003772
R,a,1735660003781
R,d,1735660003808
R,u,1735660003884
R,f,1735660003904
P,a,1735660003906
P,Key.enter,1735660003963
P,Key.shift,1735660003969
R,Key.shift,1735660004010
P,p,1735660004012
P,d,1735660004014
R,Key.enter,1735660004071
P,f,1735660004074
R,a,1735660004089
P,o,1735660004094
R,d,1735660004139
R,p,1735660004148
R,o,1735660004154
P,u,1735660004168
P,a,1735660004211
R,f,1735660004234
P,o,1735660004269
R,u,1735660004290
P,s,1735660004308
P,9,1735660004330
P,d,1735660004347
R,a,1735660004495
R,d,1735660004499
P,f,1735660004500
R,o,1735660004502
R,s,1735660004503
P,u,1735660004504
R,9,1735660004510
P,a,1735660004528
R,f,1735660004539
P,',1735660004583
R,u,1735660004589
P,d,1735660004640
P,s,1735660004642
R,',1735660004650
P,f,1735660004698
R,s,1735660004700
R,a,1735660004714
R,d,1735660004750
P,Key.shift,1735660004802
P,Key.enter,1735660004811
R,Key.shift,1735660004822
R,f,1735660004828
P,a,1735660004830
P,s,1735660004923
P,d,1735660004968
P,f,1735660004989
R,Key.enter,1735660004991
R,s,1735660004999
P,i,1735660005008
R,a,1735660005011
R,d,1735660005042
R,i,1735660005100
P,9,1735660005103
P,o,1735660005111
P,',1735660005115
P,a,1735660005137
R,f,1735660005140
P,s,1735660005198
R,o,1735660005248
P,u,1735660005249
R,',1735660005251
P,d,1735660005263
R,9,1735660005265
P,f,1735660005271
R,s,1735660005279
R,a,1735660005282
R,d,1735660005308
R,u,1735660005384
P,a,1735660005400
R,f,1735660005403
P,8,1735660005411
P,s,1735660005483
P,d,1735660005535
P,f,1735660005550
R,a,1735660005562
R,s,1735660005567
R,8,1735660005570
R,d,1735660005607
P,Key.enter,1735660005674
P,a,1735660005682
R,f,1735660005692
R,Key.space,1735660005750
P,Key.space,1735660005788
P,d,1735660005814
P,s,1735660005822
P,f,1735660005862
R,s,1735660005881
P,u,1735660005882
R,Key.enter,1735660005884
R,a,1735660005888
R,d,1735660005939
P,a,1735660006011
R,f,1735660006021
R,u,1735660006022
P,',1735660006023
P,o,1735660006075
P,d,1735660006107
P,s,1735660006109
P,u,1735660006142
R,',1735660006144
R,o,1735660006163
P,f,1735660006170
R,a,1735660006183
R,s,1735660006188
R,d,1735660006239
R,u,1735660006294
P,a,1735660006319
P,Key.enter,1735660006323
R,f,1735660006330
P,s,1735660006415
P,d,1735660006452
R,Key.enter,1735660006482
P,f,1735660006492
R,s,1735660006502
R,a,1735660006514
P,u,1735660006518
R,d,1735660006554
P,a,1735660006625
R,u,1735660006626
R,f,1735660006630
P,',1735660006641
P,o,1735660006683
P,u,1735660006731
R,',1735660006734
P,d,1735660006748
P,f,1735660006763
R,o,1735660006765
R,a,1735660006790
R,d,1735660006824
P,a,1735660006903
R,u,1735660006910
R,f,1735660006918
P,Key.shift,1735660006948
P,D,1735660007040
P,S,1735660007052
P,{,1735660007124
P,F,1735660007149
R,S,1735660007154
R,a,1735660007174
R,{,1735660007208
R,D,1735660007210
R,Key.shift,1735660007228
P,a,1735660007315
R,F,1735660007334
P,d,1735660007445
P,u,1735660007495
P,f,1735660007518
R,a,1735660007544
R,d,1735660007574
P,8,1735660007631
P,o,1735660007649
R,u,1735660007651
P,a,1735660007672
R,f,1735660007695
P,s,1735660007740
P,u,1735660007769
R,o,1735660007780
P,d,1735660007786
R,Key.space,1735660007811
P,f,1735660007833
R,s,1735660007835
R,a,1735660007839
P,Key.space,1735660007849
R,8,1735660007850
R,d,1735660007886
P,a,1735660007955
R,f,1735660007991
R,u,1735660007998
P,d,1735660008091
P,s,1735660008092
R,a,1735660008165
P,f,1735660008166
R,s,1735660008172
R,d,1735660008229
P,u,1735660008251
P,a,1735660008311
R,f,1735660008330
R,u,1735660008392
P,s,1735660008403
P,d,1735660008423
P,o,1735660008430
P,f,1735660008487
R,s,1735660008495
R,a,1735660008503
P,u,1735660008515
R,o,1735660008534
R,d,1735660008560
P,a,1735660008623
R,f,1735660008630
R,u,1735660008648
P,Key.shift,1735660008711
P,Key.enter,1735660008721
P,D,1735660008775
P,F,1735660008830
R,a,1735660008834
R,D,1735660008886
R,Key.shift,1735660008894
R,Key.enter,1735660008899
P,a,1735660008989
R,F,1735660008999
P,i,1735660009062
P,d,1735660009123
P,f,1735660009187
R,a,1735660009208
P,u,1735660009210
R,i,1735660009230
R,d,1735660009249
P,',1735660009335
P,a,1735660009342
R,f,1735660009358
R,u,1735660009359
P,o,1735660009383
P,d,1735660009468
R,o,1735660009482
R,',1735660009482
P,f,1735660009549
R,a,1735660009559
R,d,1735660009578
P,Key.shift,1735660009588
R,Key.space,1735660009630
P,A,1735660009685
R,f,1735660009711
P,Key.space,1735660009731
R,Key.shift,1735660009779
P,d,1735660009871
P,s,1735660009874
P,i,1735660009942
R,A,1735660009954
P,f,1735660009959
R,s,1735660009968
P,u,1735660010011
R,d,1735660010014
R,i,1735660010028
P,a,1735660010104
R,f,1735660010122
R,u,1735660010182
P,s,1735660010187
P,o,1735660010232
P,d,1735660010244
P,f,1735660010275
R,s,1735660010282
R,a,1735660010290
P,u,1735660010291
R,o,1735660010334
R,d,1735660010350
P,a,1735660010420
R,f,1735660010440
R,u,1735660010531
P,[,1735660010544
P,s,1735660010551
P,d,1735660010563
R,s,1735660010634
R,a,1735660010638
P,f,1735660010639
R,Key.space,1735660010671
R,d,1735660010682
R,[,1735660010702
P,u,1735660010714
P,a,1735660010781
R,f,1735660010803
P,m,1735660010858
R,u,1735660010874
P,s,1735660010903
P,d,1735660010923
R,a,1735660010983
P,f,1735660010984
R,m,1735660010987
R,s,1735660010992
R,d,1735660011022
P,u,1735660011029
P,a,1735660011123
R,f,1735660011135
P,Key.space,1735660011175
P,d,1735660011251
P,f,1735660011291
R,a,1735660011300
R,d,1735660011329
R,u,1735660011378
P,a,1735660011421
P,Key.enter,1735660011450
R,f,1735660011453
R,Key.space,1735660011478
P,s,1735660011571
P,d,1735660011595
R,Key.enter,1735660011648
P,Key.space,1735660011649
P,f,1735660011663
R,a,1735660011670
R,s,1735660011671
R,d,1735660011694
P,9,1735660011783
P,a,1735660011786
R,Key.space,1735660011788
R,f,1735660011806
P,s,1735660011859
P,u,1735660011871
P,d,1735660011891
R,9,1735660011929
R,u,1735660011979
R,a,1735660012009
P,f,1735660012014
R,s,1735660012027
R,d,1735660012046
P,a,1735660012164
R,f,1735660012207
P,s,1735660012223
P,d,1735660012336
R,a,1735660012388
P,f,1735660012403
R,s,1735660012475
R,d,1735660012516
R,f,1735660012554
