Press or Release,Key,Time
P,b,1735660005193
R,b,1735660005322
P,r,1735660005393
R,r,1735660005519
P,o,1735660005535
R,o,1735660005683
P,Key.space,1735660005752
R,Key.space,1735660005984
P,j,1735660006146
R,j,1735660006237
P,Key.backspace,1735660006727
R,Key.backspace,1735660006799
P,Key.backspace,1735660006884
R,Key.backspace,1735660006951
P,Key.backspace,1735660007031
R,Key.backspace,1735660007171
P,Key.backspace,1735660007244
R,Key.backspace,1735660007302
P,Key.backspace,1735660007466
R,Key.backspace,1735660007559
P,Key.backspace,1735660007615
R,Key.backspace,1735660007722
P,d,1735660008323
P,u,1735660008405
R,d,1735660008477
R,u,1735660008508
P,n,1735660008563
R,n,1735660008677
P,n,1735660008795
R,n,1735660008910
P,o,1735660009023
R,o,1735660009134
P,Key.space,1735660009204
R,Key.space,1735660009361
P,a,1735660009583
P,b,1735660009716
R,a,1735660009761
R,b,1735660009812
P,t,1735660009999
R,t,1735660010090
P,Key.space,1735660010163
R,Key.space,1735660010290
P,w,1735660010407
P,o,1735660010528
R,w,1735660010539
R,o,1735660010654
P,r,1735660010668
R,r,1735660010796
P,l,1735660010830
P,d,1735660010979
R,l,1735660010990
R,d,1735660011096
P,Key.space,1735660011105
R,Key.space,1735660011255
P,w,1735660011342
R,w,1735660011468
P,a,1735660011477
R,a,1735660011690
P,r,1735660011963
R,r,1735660012132
P,Key.space,1735660012926
R,Key.space,1735660013075
P,3,1735660013397
P,Key.space,1735660013515
R,3,1735660013527
R,Key.space,1735660013652
P,t,1735660013781
R,t,1735660013894
P,b,1735660013903
R,b,1735660013975
P,h,1735660014065
R,h,1735660014148
P,.,1735660014853
R,.,1735660014924
P,Key.space,1735660015348
R,Key.space,1735660015470
P,b,1735660016047
R,b,1735660016130
P,r,1735660016198
P,u,1735660016319
R,r,1735660016336
R,u,1735660016407
P,h,1735660016507
R,h,1735660016592
P,Key.space,1735660016682
R,Key.space,1735660016806
P,d,1735660016865
P,i,1735660016953
R,d,1735660016965
R,i,1735660017056
P,d,1735660017064
P,Key.space,1735660017143
R,d,1735660017164
R,Key.space,1735660017275
P,j,1735660018294
R,j,1735660018373
P,u,1735660018496
R,u,1735660018571
P,s,1735660018657
R,s,1735660018816
P,t,1735660019398
R,t,1735660019481
P,Key.space,1735660019611
R,Key.space,1735660019766
P,s,1735660020227
R,s,1735660020362
P,t,1735660020453
R,t,1735660020538
P,a,1735660020644
R,a,1735660020790
P,r,1735660020877
R,r,1735660020953
P,t,1735660021048
R,t,1735660021129
P,Key.space,1735660021377
R,Key.space,1735660021513
P,a,1735660021628
P,Key.space,1735660021743
R,a,1735660021759
R,Key.space,1735660021880
P,m,1735660022011
R,m,1735660022159
P,e,1735660022169
P,m,1735660022279
R,e,1735660022295
P,e,1735660022365
R,m,1735660022395
R,e,1735660022472
P,Key.space,1735660022614
R,Key.space,1735660022737
P,w,1735660023020
R,w,1735660023112
P,a,1735660023207
P,r,1735660023419
R,a,1735660023455
R,r,1735660023560
P,Key.shift,1735660024329
P,>,1735660024442
R,Key.shift,1735660024581
R,>,1735660024591
P,Key.backspace,1735660025435
R,Key.backspace,1735660025568
P,.,1735660026138
R,.,1735660026231
P,Key.enter,1735660026497
R,Key.enter,1735660026644
P,d,1735660028128
P,i,1735660028261
R,d,1735660028277
R,i,1735660028438
P,d,1735660028482
R,d,1735660028614
P,Key.space,1735660028641
R,Key.space,1735660028777
P,t,1735660030940
P,h,1735660031056
R,t,1735660031066
R,h,1735660031158
P,Key.space,1735660031314
R,Key.space,1735660031435
P,Key.backspace,1735660031769
R,Key.backspace,1735660031876
P,Key.backspace,1735660031936
P,e,1735660032022
R,Key.backspace,1735660032053
R,e,1735660032195
P,Key.backspace,1735660032474
R,Key.backspace,1735660032546
P,Key.backspace,1735660032648
R,Key.backspace,1735660032734
P,Key.shift,1735660033593
P,P,1735660033714
R,P,1735660033816
P,O,1735660033926
R,O,1735660033992
R,Key.shift,1735660034145
P,t,1735660034406
R,t,1735660034508
P,u,1735660034640
R,u,1735660034800
P,s,1735660034811
R,s,1735660034962
P,Key.backspace,1735660035445
R,Key.backspace,1735660035534
P,Key.backspace,1735660035603
R,Key.backspace,1735660035696
P,Key.backspace,1735660035942
R,Key.backspace,1735660036051
P,Key.shift,1735660036407
P,T,1735660036773
R,T,1735660036858
P,U,1735660037046
R,U,1735660037157
P,S,1735660037228
R,S,1735660037354
P,Key.space,1735660037633
R,Key.shift,1735660037660
R,Key.space,1735660037767
P,a,1735660037974
P,n,1735660038095
R,a,1735660038122
R,n,1735660038206
P,d,1735660038273
P,Key.space,1735660038383
R,d,1735660038461
R,Key.space,1735660038571
P,h,1735660039137
R,h,1735660039204
P,i,1735660039314
R,i,1735660039416
P,s,1735660039431
P,Key.space,1735660039541
R,s,1735660039571
R,Key.space,1735660039681
P,v,1735660041108
R,v,1735660041184
P,Key.shift,1735660041653
P,Key.backspace,1735660041967
R,Key.backspace,1735660042049
P,V,1735660042686
R,V,1735660042811
P,P,1735660042828
R,P,1735660042937
P,Key.space,1735660043037
R,Key.space,1735660043169
R,Key.shift,1735660043196
P,j,1735660043427
R,j,1735660043514
P,u,1735660043604
R,u,1735660043691
P,s,1735660043771
P,t,1735660043897
R,s,1735660043914
R,t,1735660043989
P,Key.space,1735660044015
R,Key.space,1735660044137
P,g,1735660044155
R,g,1735660044278
P,s,1735660044297
R,s,1735660044471
P,n,1735660044483
R,n,1735660044577
P,Key.backspace,1735660044814
R,Key.backspace,1735660044901
P,Key.backspace,1735660045001
R,Key.backspace,1735660045141
P,a,1735660045244
P,n,1735660045393
R,a,1735660045406
R,n,1735660045531
P,g,1735660045702
R,g,1735660045797
P,Key.space,1735660045895
R,Key.space,1735660046006
P,u,1735660046252
R,u,1735660046320
P,p,1735660046530
R,p,1735660046648
P,Key.space,1735660046794
R,Key.space,1735660046915
P,o,1735660047026
R,o,1735660047123
P,n,1735660047265
R,n,1735660047363
P,Key.space,1735660047442
R,Key.space,1735660047570
P,t,1735660047690
R,t,1735660047830
P,h,1735660047840
R,h,1735660047926
P,e,1735660047991
P,Key.space,1735660048087
R,e,1735660048159
R,Key.space,1735660048229
P,l,1735660048728
R,l,1735660048810
P,Key.backspace,1735660049119
R,Key.backspace,1735660049170
P,Key.backspace,1735660049284
R,Key.backspace,1735660049347
P,Key.backspace,1735660049659
R,Key.backspace,1735660049706
P,Key.backspace,1735660049856
R,Key.backspace,1735660049913
P,Key.backspace,1735660050050
R,Key.backspace,1735660050121
P,t,1735660061805
R,t,1735660061938
P,e,1735660062260
R,e,1735660062374
P,h,1735660062432
R,h,1735660062539
