Press or Release,Key,Time
P,Key.shift,1735660022485
P,T,1735660023107
R,Key.shift,1735660023267
R,T,1735660023299
P,r,1735660023411
R,r,1735660023587
P,m,1735660023940
R,m,1735660024035
P,p,1735660024147
R,p,1735660024291
P,Key.space,1735660024435
R,Key.space,1735660024531
P,Key.backspace,1735660025075
R,Key.backspace,1735660025139
P,Key.backspace,1735660025251
R,Key.backspace,1735660025316
P,Key.backspace,1735660025411
R,Key.backspace,1735660025476
P,u,1735660026483
R,u,1735660026563
P,m,1735660026915
R,m,1735660026995
P,p,1735660027187
R,p,1735660027283
P,Key.space,1735660027443
R,Key.space,1735660027524
P,i,1735660047587
R,i,1735660047700
P,s,1735660047732
R,s,1735660047876
P,Key.space,1735660047876
R,Key.space,1735660047955
P,j,1735660050020
R,j,1735660050163
P,u,1735660050292
R,u,1735660050403
P,d,1735660050547
R,d,1735660050691
P,g,1735660050835
R,g,1735660050980
P,i,1735660051012
R,i,1735660051108
P,n,1735660051205
R,n,1735660051331
P,g,1735660051379
R,g,1735660051540
P,Key.space,1735660051540
R,Key.space,1735660051588
P,b,1735660052020
R,b,1735660052211
P,o,1735660053315
R,o,1735660053428
P,t,1735660053571
R,t,1735660053747
P,h,1735660053860
R,h,1735660053971
P,Key.space,1735660054052
R,Key.space,1735660054131
P,Key.shift,1735660056435
P,U,1735660056627
R,Key.shift,1735660056724
R,U,1735660056739
P,Key.backspace,1735660057988
R,Key.backspace,1735660058067
P,Key.backspace,1735660058164
R,Key.backspace,1735660058275
P,Key.backspace,1735660058356
R,Key.backspace,1735660058452
P,Key.backspace,1735660058563
R,Key.backspace,1735660058627
P,Key.backspace,1735660058723
R,Key.backspace,1735660058803
P,Key.backspace,1735660059523
R,Key.backspace,1735660059620
P,a,1735660060515
R,a,1735660060675
P,b,1735660060900
R,b,1735660060996
P,o,1735660061123
P,u,1735660061267
R,o,1735660061300
R,u,1735660061364
P,t,1735660061476
R,t,1735660061604
P,Key.space,1735660061604
R,Key.space,1735660061651
P,Key.shift,1735660062293
P,T,1735660062452
R,Key.shift,1735660062500
P,h,1735660062612
R,T,1735660062627
R,h,1735660062707
P,i,1735660062852
R,i,1735660062963
P,r,1735660063013
R,r,1735660063107
P,d,1735660063364
R,d,1735660063476
P,Key.space,1735660063523
R,Key.space,1735660063587
P,Key.shift,1735660063909
P,W,1735660064019
R,Key.shift,1735660064084
R,W,1735660064131
P,o,1735660064340
R,o,1735660064470
P,r,1735660064548
R,r,1735660064676
P,l,1735660064771
R,l,1735660064835
P,d,1735660064948
R,d,1735660065060
P,Key.space,1735660065123
R,Key.space,1735660065187
P,w,1735660065491
R,w,1735660065573
P,a,1735660065784
R,a,1735660065860
P,r,1735660065861
R,r,1735660066004
P,Key.space,1735660066036
R,Key.space,1735660066132
P,b,1735660066197
R,b,1735660066325
P,e,1735660066420
R,e,1735660066564
P,t,1735660066644
R,t,1735660066712
P,w,1735660066788
R,w,1735660066937
P,e,1735660067092
R,e,1735660067204
P,e,1735660067284
R,e,1735660067411
P,n,1735660067924
R,n,1735660068052
P,Key.space,1735660068104
R,Key.space,1735660068164
P,Key.shift,1735660068404
P,U,1735660068626
R,Key.shift,1735660068709
R,U,1735660068724
P,k,1735660068916
R,k,1735660069028
P,r,1735660069123
R,r,1735660069332
P,a,1735660069363
R,a,1735660069524
P,i,1735660069587
R,i,1735660069605
P,i,1735660069812
R,i,1735660069955
P,n,1735660070019
R,n,1735660070163
P,e,1735660070244
R,e,1735660070340
P,Key.space,1735660070372
R,Key.space,1735660070468
P,a,1735660070548
R,a,1735660070708
P,n,1735660070708
R,n,1735660070804
P,d,1735660070820
R,d,1735660070900
P,Key.space,1735660070900
R,Key.space,1735660070964
P,Key.shift,1735660071140
P,R,1735660072371
R,Key.shift,1735660072532
R,R,1735660072547
P,u,1735660073012
R,u,1735660073108
P,s,1735660073188
R,s,1735660073268
P,s,1735660073379
R,s,1735660073491
P,i,1735660073523
R,i,1735660073636
P,a,1735660073684
R,a,1735660073804
P,Key.backspace,1735660076309
R,Key.backspace,1735660076404
P,Key.space,1735660078825
R,Key.space,1735660078964
P,c,1735660079620
R,c,1735660079780
P,o,1735660079780
P,u,1735660079940
R,o,1735660079971
R,u,1735660080020
P,n,1735660080148
R,n,1735660080260
P,t,1735660080324
R,t,1735660080436
P,r,1735660080564
R,r,1735660080660
P,y,1735660080708
R,y,1735660080820
P,.,1735660082132
R,.,1735660082212
P,Key.space,1735660082356
R,Key.space,1735660082436
P,Key.shift,1735660082644
P,B,1735660082756
R,Key.shift,1735660082820
R,B,1735660082884
P,o,1735660082948
R,o,1735660083060
P,t,1735660083188
P,h,1735660083252
R,t,1735660083300
