Press or Release,Key,Time
P,a,1735660003404
R,a,1735660003575
P,Key.backspace,1735660003881
R,Key.backspace,1735660003972
P,Key.shift,1735660004157
P,W,1735660004266
R,Key.shift,1735660004317
R,W,1735660004340
P,h,1735660004364
R,h,1735660004457
P,a,1735660004477
P,t,1735660004598
R,a,1735660004617
P,Key.space,1735660004688
R,t,1735660004717
R,Key.space,1735660004800
P,w,1735660004870
R,w,1735660004969
P,a,1735660004981
P,s,1735660005107
R,a,1735660005154
R,s,1735660005188
P,Key.space,1735660005191
R,Key.space,1735660005274
P,t,1735660005383
R,t,1735660005442
P,h,1735660005528
R,h,1735660005616
P,a,1735660005639
R,a,1735660005764
P,t,1735660005832
R,t,1735660005880
P,.,1735660009433
R,.,1735660009477
P,.,1735660009705
R,.,1735660009780
P,.,1735660009856
R,.,1735660009960
P,Key.space,1735660010592
R,Key.space,1735660010683
P,Key.shift,1735660010761
P,I,1735660010842
R,Key.shift,1735660010901
R,I,1735660010923
P,Key.backspace,1735660011856
R,Key.backspace,1735660011953
P,Key.shift,1735660012278
P,V,1735660012383
R,Key.shift,1735660012421
R,V,1735660012440
P,a,1735660012545
P,n,1735660012608
R,a,1735660012626
R,n,1735660012681
P,c,1735660012768
P,e,1735660012792
R,c,1735660012832
R,e,1735660012944
P,Key.space,1735660014422
R,Key.space,1735660014521
P,j,1735660016240
R,j,1735660016298
P,u,1735660016403
R,u,1735660016491
P,s,1735660016521
R,s,1735660016617
P,t,1735660016625
P,Key.space,1735660016734
R,t,1735660016740
R,Key.space,1735660016829
P,s,1735660017319
P,t,1735660017371
R,s,1735660017410
R,t,1735660017430
P,a,1735660017533
P,r,1735660017609
R,r,1735660017648
R,a,1735660017651
P,t,1735660017733
R,t,1735660017825
P,e,1735660017845
R,e,1735660017906
P,Key.space,1735660018105
R,Key.space,1735660018197
P,Key.backspace,1735660018535
R,Key.backspace,1735660018603
P,d,1735660018673
R,d,1735660018749
P,Key.space,1735660019113
R,Key.space,1735660019173
P,a,1735660019431
P,t,1735660019559
R,a,1735660019561
R,t,1735660019606
P,t,1735660019678
R,t,1735660019758
P,a,1735660019858
R,a,1735660019973
P,c,1735660020062
R,c,1735660020174
P,k,1735660020220
R,k,1735660020293
P,i,1735660020396
P,n,1735660020492
R,i,1735660020520
R,n,1735660020566
P,g,1735660020604
P,Key.space,1735660020653
R,g,1735660020667
R,Key.space,1735660020725
P,Key.shift,1735660022705
P,Z,1735660022879
R,Key.shift,1735660022901
R,Z,1735660023001
P,e,1735660023136
R,e,1735660023196
P,l,1735660023233
P,e,1735660023286
R,l,1735660023309
R,e,1735660023385
P,n,1735660023462
R,n,1735660023527
P,s,1735660023681
R,s,1735660023780
P,k,1735660023810
R,k,1735660023895
P,y,1735660024023
R,y,1735660024071
P,Key.space,1735660024580
R,Key.space,1735660024652
P,a,1735660024714
R,a,1735660024805
P,n,1735660024807
R,n,1735660024873
P,d,1735660024876
P,Key.space,1735660024942
R,d,1735660024952
R,Key.space,1735660025005
P,Key.shift,1735660028502
P,T,1735660028605
R,Key.shift,1735660028653
R,T,1735660028725
P,r,1735660028743
R,r,1735660028811
P,u,1735660028995
R,u,1735660029074
P,p,1735660029357
R,p,1735660029468
P,Key.backspace,1735660029700
R,Key.backspace,1735660029776
P,m,1735660030004
P,p,1735660030092
R,m,1735660030143
P,Key.space,1735660030194
R,p,1735660030235
R,Key.space,1735660030311
P,Key.shift,1735660030418
P,J,1735660030560
R,Key.shift,1735660030564
R,J,1735660030618
P,o,1735660030685
P,i,1735660030785
R,o,1735660030844
R,i,1735660030863
P,n,1735660030992
R,n,1735660031088
P,e,1735660031158
R,e,1735660031237
P,Key.backspace,1735660031383
R,Key.backspace,1735660031446
