Press or Release,Key,Time
P,j,1735660001659
P,h,1735660001685
R,j,1735660001760
P,g,1735660001763
R,h,1735660001800
P,f,1735660001833
R,g,1735660001900
P,g,1735660002064
R,f,1735660002067
P,w,1735660002154
R,g,1735660002167
P,u,1735660002233
R,w,1735660002367
P,e,1735660002399
P,y,1735660002563
R,u,1735660002587
R,e,1735660002635
P,w,1735660002648
R,y,1735660002708
P,u,1735660002717
P,i,1735660002730
R,w,1735660002785
P,r,1735660002793
P,e,1735660002924
R,r,1735660002931
R,u,1735660002938
P,w,1735660003004
P,u,1735660003056
P,r,1735660003106
R,e,1735660003121
R,w,1735660003123
R,i,1735660003172
R,u,1735660003179
P,y,1735660003185
P,o,1735660003301
R,y,1735660003316
R,r,1735660003370
P,w,1735660003400
P,e,1735660003421
P,i,1735660003433
R,i,1735660003492
R,o,1735660003496
P,u,1735660003508
P,r,1735660003557
R,w,1735660003573
R,e,1735660003604
R,u,1735660003642
P,o,1735660003676
P,i,1735660003701
R,r,1735660003749
R,o,1735660003756
R,i,1735660003797
P,w,1735660003821
P,u,1735660003879
P,p,1735660003924
R,u,1735660003927
R,w,1735660003960
R,p,1735660004112
P,u,1735660004138
P,p,1735660004229
R,u,1735660004260
P,w,1735660004261
P,o,1735660004319
P,t,1735660004358
R,o,1735660004378
R,w,1735660004407
R,p,1735660004417
P,k,1735660004567
P,n,1735660004574
R,t,1735660004582
R,n,1735660004706
P,t,1735660004768
R,k,1735660004773
P,n,1735660004857
R,t,1735660005008
R,n,1735660005033
P,Key.comma,1735660005054
P,t,1735660005174
R,Key.comma,1735660005255
R,t,1735660005295
P,m,1735660005425
P,n,1735660005469
R,n,1735660005557
P,b,1735660005686
R,m,1735660005690
P,f,1735660005715
R,b,1735660005871
R,f,1735660005890
P,b,1735660006046
R,b,1735660006103
P,v,1735660006263
P,m,1735660006283
P,b,1735660006319
R,m,1735660006339
R,b,1735660006431
P,b,1735660006543
R,b,1735660006674
R,v,1735660006735
P,a,1735660006969
P,u,1735660007130
R,u,1735660007187
P,h,1735660007190
R,a,1735660007279
R,h,1735660007349
P,i,1735660007353
P,u,1735660007375
P,a,1735660007441
R,i,1735660007509
R,u,1735660007517
R,a,1735660007652
P,y,1735660007814
R,y,1735660007973
P,u,1735660008007
P,i,1735660008035
R,i,1735660008139
P,t,1735660008142
P,e,1735660008151
P,r,1735660008163
R,u,1735660008200
R,t,1735660008236
R,e,1735660008263
R,r,1735660008324
P,t,1735660008359
P,e,1735660008475
R,t,1735660008477
P,r,1735660008478
R,e,1735660008588
R,r,1735660008607
P,p,1735660008788
P,e,1735660008982
R,p,1735660009008
P,i,1735660009088
P,p,1735660009121
R,i,1735660009169
R,e,1735660009218
P,o,1735660009221
P,w,1735660009321
R,o,1735660009339
P,i,1735660009352
R,p,1735660009363
