Press or Release,Key,Time
P,Key.cmd,1735660014405
P,v,1735660014583
R,Key.cmd,1735660014715
P,Key.shift,1735660027069
P,J,1735660028332
R,J,1735660028412
R,Key.shift,1735660028464
P,u,1735660028563
R,u,1735660028654
P,s,1735660028762
R,s,1735660028881
P,t,1735660028882
R,t,1735660028990
P,Key.space,1735660029149
R,Key.space,1735660029244
P,w,1735660029358
R,w,1735660029453
P,a,1735660029596
R,a,1735660029707
P,n,1735660029770
R,n,1735660029866
P,t,1735660029987
R,t,1735660030083
P,e,1735660030137
P,Key.backspace,1735660030457
R,e,1735660030458
R,Key.backspace,1735660030512
P,Key.backspace,1735660030601
R,Key.backspace,1735660030693
P,Key.backspace,1735660030768
R,Key.backspace,1735660030868
P,c,1735660030968
R,c,1735660031079
P,t,1735660031102
R,t,1735660031195
P,h,1735660031371
R,h,1735660031442
P,Key.backspace,1735660031722
R,Key.backspace,1735660031755
P,Key.backspace,1735660031855
R,Key.backspace,1735660031932
P,Key.backspace,1735660032023
R,Key.backspace,1735660032087
P,t,1735660032295
R,t,1735660032378
P,c,1735660032551
R,c,1735660032601
P,h,1735660032852
R,h,1735660032934
P,e,1735660033005
R,e,1735660033108
P,d,1735660033264
R,d,1735660033359
P,Key.space,1735660033413
R,Key.space,1735660033476
P,a,1735660033639
R,a,1735660033757
P,Key.space,1735660033777
R,Key.space,1735660033874
P,c,1735660035329
R,c,1735660035436
P,l,1735660035459
R,l,1735660035544
P,i,1735660035672
R,i,1735660035748
P,p,1735660035895
R,p,1735660036006
P,Key.space,1735660036069
R,Key.space,1735660036165
P,o,1735660036274
R,o,1735660036353
P,f,1735660036386
P,Key.space,1735660036463
R,f,1735660036488
R,Key.space,1735660036562
P,t,1735660036786
R,t,1735660036880
P,h,1735660036895
R,h,1735660036995
P,e,1735660037091
R,e,1735660037184
P,Key.space,1735660037215
R,Key.space,1735660037286
P,m,1735660037402
R,m,1735660037490
P,o,1735660037626
R,o,1735660037700
R,v,1735660037881
P,i,1735660037899
R,i,1735660037970
P,e,1735660038126
R,e,1735660038234
P,Key.space,1735660038283
R,Key.space,1735660038386
P,Key.shift,1735660039558
P,C,1735660039824
R,Key.shift,1735660039851
R,C,1735660039892
P,o,1735660040117
R,o,1735660040203
P,a,1735660040290
R,a,1735660040385
P,c,1735660040569
R,c,1735660040615
P,h,1735660040682
R,h,1735660040775
P,Key.comma,1735660041134
R,Key.comma,1735660041281
P,Key.space,1735660041286
R,Key.space,1735660041397
P,w,1735660041669
R,w,1735660041764
P,a,1735660041923
R,a,1735660042027
P,s,1735660042267
R,s,1735660042347
P,Key.space,1735660042444
R,Key.space,1735660042559
P,r,1735660042673
R,r,1735660042764
P,e,1735660043544
R,e,1735660043635
P,a,1735660043858
R,a,1735660043950
P,l,1735660044015
R,l,1735660044109
P,l,1735660044177
R,l,1735660044280
P,y,1735660044581
R,y,1735660044678
P,Key.space,1735660044746
R,Key.space,1735660044866
P,i,1735660045930
R,i,1735660046004
P,n,1735660046144
R,n,1735660046215
P,s,1735660046367
R,s,1735660046483
P,p,1735660046566
R,p,1735660046617
P,i,1735660046775
R,i,1735660047106
P,d,1735660047340
R,d,1735660047439
P,Key.space,1735660047527
R,Key.space,1735660047630
P,b,1735660047898
R,b,1735660047972
P,y,1735660048129
R,y,1735660048257
P,Key.space,1735660048303
R,Key.space,1735660048391
P,i,1735660048485
R,i,1735660048575
P,t,1735660048626
R,t,1735660048720
P,Key.comma,1735660048937
R,Key.comma,1735660049044
P,Key.backspace,1735660049554
R,Key.backspace,1735660049674
P,.,1735660050432
P,Key.space,1735660050592
R,.,1735660050604
R,Key.space,1735660050633
P,Key.shift,1735660050696
P,S,1735660050972
R,S,1735660051056
R,Key.shift,1735660051071
P,t,1735660051253
R,t,1735660051339
P,u,1735660051386
R,u,1735660051465
P,d,1735660051556
R,d,1735660051668
P,e,1735660051793
R,e,1735660051898
P,n,1735660051933
R,n,1735660052022
P,t,1735660052067
R,t,1735660052160
P,s,1735660052391
R,s,1735660052479
P,Key.space,1735660052503
R,Key.space,1735660052599
P,w,1735660052708
R,w,1735660052817
P,e,1735660052947
R,e,1735660053019
P,r,1735660053431
R,r,1735660053513
P,e,1735660053639
R,e,1735660053719
P,Key.space,1735660053807
R,Key.space,1735660053898
P,s,1735660054048
R,s,1735660054131
P,e,1735660054256
R,e,1735660054335
P,n,1735660054396
R,n,1735660054487
P,n,1735660054573
R,n,1735660054667
P,Key.backspace,1735660055048
R,Key.backspace,1735660055107
P,Key.backspace,1735660055206
R,Key.backspace,1735660055282
P,e,1735660055372
R,e,1735660055464
P,n,1735660055819
R,n,1735660055926
P,Key.space,1735660055985
R,Key.space,1735660056126
P,t,1735660065653
R,t,1735660065740
P,e,1735660065911
R,e,1735660066000
P,l,1735660066132
R,l,1735660066228
P,l,1735660066297
R,l,1735660066402
P,i,1735660066522
R,i,1735660066592
P,n,1735660066713
R,n,1735660066805
P,g,1735660066821
R,g,1735660066940
P,Key.space,1735660066987
R,Key.space,1735660067078
P,t,1735660067196
P,h,1735660067286
R,t,1735660067300
R,h,1735660067365
P,e,1735660067568
R,e,1735660067663
P,Key.space,1735660067704
R,Key.space,1735660067801
P,c,1735660068354
R,c,1735660068417
P,o,1735660068588
R,o,1735660068664
P,a,1735660068714
R,a,1735660068793
P,c,1735660068974
R,c,1735660069061
P,h,1735660069087
R,h,1735660069204
P,Key.space,1735660069210
R,Key.space,1735660069320
P,t,1735660069474
R,t,1735660069556
P,h,1735660069680
R,h,1735660069747
P,a,1735660069764
R,a,1735660069888
P,t,1735660069889
R,t,1735660069977
P,Key.space,1735660070060
R,Key.space,1735660070168
P,t,1735660070686
R,t,1735660070752
P,h,1735660070872
R,h,1735660070975
P,e,1735660071003
R,e,1735660071107
P,y,1735660071138
R,y,1735660071245
P,Key.space,1735660071261
R,Key.space,1735660071355
P,w,1735660071482
R,w,1735660071569
P,i,1735660071609
R,i,1735660071686
P,l,1735660071860
R,l,1735660071936
P,l,1735660071972
R,l,1735660072095
P,Key.space,1735660072125
R,Key.space,1735660072249
P,g,1735660072585
R,g,1735660072679
P,e,1735660072756
P,t,1735660072853
R,e,1735660072857
R,t,1735660072949
P,Key.space,1735660072989
R,Key.space,1735660073093
P,t,1735660073240
R,t,1735660073310
P,h,1735660073438
R,h,1735660073515
P,e,1735660073560
R,e,1735660073664
P,i,1735660073792
R,i,1735660073867
P,r,1735660073930
R,r,1735660074042
P,Key.space,1735660074062
R,Key.space,1735660074142
P,s,1735660074418
R,s,1735660074512
P,h,1735660074567
R,h,1735660074640
P,i,1735660074775
R,i,1735660074857
P,t,1735660074933
R,t,1735660075022
P,Key.space,1735660075065
R,Key.space,1735660075153
P,d,1735660075290
R,d,1735660075442
P,n,1735660075665
R,n,1735660075751
P,e,1735660075780
R,e,1735660075889
P,Key.space,1735660075907
R,Key.space,1735660076006
P,i,1735660081091
R,i,1735660081173
P,n,1735660081308
R,n,1735660081431
P,Key.space,1735660081466
R,Key.space,1735660081561
P,a,1735660082213
R,a,1735660082335
P,Key.space,1735660082376
R,Key.space,1735660082477
P,c,1735660082669
R,c,1735660083045
P,g,1735660083163
R,g,1735660083260
P,r,1735660083400
R,r,1735660083494
P,a,1735660083757
R,a,1735660083840
P,t,1735660084261
P,Key.space,1735660085281
R,t,1735660085283
R,Key.space,1735660085365
P,Key.backspace,1735660085781
R,Key.backspace,1735660085885
P,t,1735660085943
R,t,1735660086033
P,o,1735660086066
R,o,1735660086133
P,n,1735660086308
R,n,1735660086396
P,e,1735660086459
R,e,1735660086568
P,.,1735660086718
R,.,1735660086857
P,Key.space,1735660086888
R,Key.space,1735660086996
P,Key.shift,1735660087656
P,A,1735660087954
R,Key.shift,1735660088038
R,A,1735660088054
P,Key.space,1735660088160
R,Key.space,1735660088239
P,s,1735660088312
R,s,1735660088399
P,t,1735660088633
R,t,1735660088724
P,u,1735660089104
R,u,1735660089184
P,d,1735660089279
R,d,1735660089384
P,e,1735660089523
R,e,1735660089627
P,n,1735660089634
R,n,1735660089739
P,t,1735660089824
R,t,1735660089921
P,Key.space,1735660089966
R,Key.space,1735660090030
P,w,1735660090192
R,w,1735660090285
P,a,1735660090439
R,a,1735660090526
P,s,1735660090658
R,s,1735660090749
P,Key.space,1735660090761
R,Key.space,1735660090858
P,a,1735660091068
R,a,1735660091155
P,l,1735660091207
R,l,1735660091304
P,s,1735660091368
R,s,1735660091451
P,o,1735660091522
R,o,1735660091624
P,Key.space,1735660091695
R,Key.space,1735660091762
P,s,1735660092049
R,s,1735660092123
P,e,1735660092320
R,e,1735660092371
P,e,1735660092465
R,e,1735660092577
P,n,1735660092669
R,n,1735660092765
P,Key.space,1735660092804
R,Key.space,1735660092891
P,t,1735660092964
R,t,1735660093042
P,h,1735660093108
R,h,1735660093184
P,a,1735660093282
R,a,1735660093385
P,n,1735660093406
R,n,1735660093467
P,k,1735660093626
R,k,1735660093709
P,i,1735660093836
R,i,1735660093907
P,n,1735660094030
R,n,1735660094122
P,g,1735660094140
R,g,1735660094235
P,Key.space,1735660094256
R,Key.space,1735660094348
P,t,1735660094910
R,t,1735660094984
P,h,1735660095123
R,h,1735660095202
P,e,1735660095235
R,e,1735660095351
P,Key.space,1735660095362
R,Key.space,1735660095455
P,c,1735660095559
R,c,1735660095637
P,o,1735660095732
R,o,1735660095816
P,a,1735660095938
R,a,1735660096041
P,c,1735660096325
R,c,1735660096404
P,h,1735660096449
R,h,1735660096571
