Press or Release,Key,Time
P,f,1735660002524
P,Key.comma,1735660002563
R,f,1735660002622
R,Key.comma,1735660002831
P,a,1735660002878
P,g,1735660002910
R,a,1735660002918
P,Key.comma,1735660002936
P,.,1735660003028
R,g,1735660003040
R,Key.comma,1735660003066
R,.,1735660003098
P,s,1735660003233
P,Key.comma,1735660003282
P,.,1735660003364
R,s,1735660003392
P,b,1735660003412
R,.,1735660004217
R,b,1735660004218
P,r,1735660004223
P,/,1735660004249
R,Key.comma,1735660004258
P,s,1735660004290
P,h,1735660004306
R,s,1735660004324
P,l,1735660004326
R,r,1735660004347
R,/,1735660004366
R,l,1735660004393
P,r,1735660004397
R,h,1735660004403
P,w,1735660004406
R,w,1735660004412
P,h,1735660004418
P,s,1735660004430
P,/,1735660004440
P,l,1735660004447
R,s,1735660004455
R,r,1735660004457
R,/,1735660004457
R,l,1735660004457
R,h,1735660004458
P,w,1735660004459
P,r,1735660004467
P,;,1735660004477
P,l,1735660004529
R,;,1735660004544
P,h,1735660004549
R,r,1735660004600
R,w,1735660004601
P,w,1735660004725
R,l,1735660004749
P,r,1735660004753
R,h,1735660004773
P,;,1735660004865
P,h,1735660004921
R,w,1735660004976
R,r,1735660005009
R,;,1735660005056
P,k,1735660005069
P,.,1735660005106
R,h,1735660005215
P,w,1735660005216
P,r,1735660005234
R,.,1735660005239
P,m,1735660005240
R,k,1735660005264
R,m,1735660005269
P,Key.comma,1735660005271
R,w,1735660005316
R,Key.comma,1735660005322
P,s,1735660005337
R,r,1735660005517
P,k,1735660005518
R,s,1735660005523
P,.,1735660005576
R,.,1735660005648
P,r,1735660005670
P,s,1735660005711
R,k,1735660005724
P,h,1735660005822
R,r,1735660005843
R,s,1735660005868
P,l,1735660005913
P,k,1735660005949
P,w,1735660006025
R,h,1735660006039
P,r,1735660006073
R,w,1735660006086
R,l,1735660006087
P,s,1735660006128
P,h,1735660006181
R,k,1735660006185
R,r,1735660006284
R,h,1735660006344
P,k,1735660006352
P,l,1735660006380
P,m,1735660006444
R,l,1735660006520
R,m,1735660006584
R,k,1735660006617
R,s,1735660006726
P,x,1735660006760
P,b,1735660006768
R,x,1735660006828
P,k,1735660006856
P,l,1735660006869
P,m,1735660006937
R,b,1735660006992
R,l,1735660007028
R,m,1735660007060
R,k,1735660007096
P,k,1735660007318
P,b,1735660007329
P,l,1735660007337
R,b,1735660007397
P,s,1735660007445
P,r,1735660007505
R,l,1735660007545
R,k,1735660007568
P,h,1735660007637
R,r,1735660007677
R,s,1735660007705
P,l,1735660007751
P,k,1735660007790
R,l,1735660007958
P,s,1735660007987
R,k,1735660008046
R,h,1735660008058
P,k,1735660008207
P,l,1735660008222
P,m,1735660008257
P,b,1735660008330
R,s,1735660008336
R,l,1735660008357
R,m,1735660008429
R,k,1735660008465
R,b,1735660008474
P,s,1735660008512
P,r,1735660008568
P,k,1735660008608
P,m,1735660008629
P,h,1735660008685
P,.,1735660008729
R,r,1735660008736
R,s,1735660008788
R,m,1735660008808
R,k,1735660008816
R,.,1735660008820
P,s,1735660008881
R,h,1735660008935
P,r,1735660008938
P,k,1735660008989
P,m,1735660008998
P,.,1735660009053
P,h,1735660009065
R,r,1735660009072
R,k,1735660009227
R,m,1735660009238
R,s,1735660009261
R,.,1735660009262
P,s,1735660009263
R,h,1735660009293
P,.,1735660009399
P,m,1735660009435
P,k,1735660009449
P,h,1735660009477
R,s,1735660009512
R,k,1735660009584
R,m,1735660009592
R,h,1735660009652
R,.,1735660009656
P,r,1735660009671
P,.,1735660009716
P,h,1735660009766
P,m,1735660009773
P,k,1735660009799
R,r,1735660009838
R,k,1735660009898
R,m,1735660009915
R,.,1735660009934
R,h,1735660009958
P,Key.shift,1735660010388
P,Key.enter,1735660010586
R,Key.enter,1735660010701
P,Key.enter,1735660011070
R,Key.enter,1735660011185
P,F,1735660012182
R,F,1735660012293
