Press or Release,Key,Time
P,Key.shift,1735660001754
P,A,1735660001852
R,Key.shift,1735660001931
R,A,1735660001964
P,n,1735660002145
R,n,1735660002218
P,y,1735660002329
R,y,1735660002402
P,w,1735660002618
R,w,1735660002707
P,a,1735660002796
P,y,1735660002930
R,a,1735660002963
R,y,1735660003027
P,Key.comma,1735660003240
P,Key.space,1735660003324
R,Key.comma,1735660003358
R,Key.space,1735660003462
P,n,1735660003498
P,o,1735660003595
R,n,1735660003648
R,o,1735660003701
P,Key.space,1735660004038
R,Key.space,1735660004134
P,e,1735660004235
R,e,1735660004340
P,r,1735660004379
R,r,1735660004424
P,r,1735660004497
R,r,1735660004586
P,o,1735660004605
R,o,1735660004704
P,r,1735660004723
P,s,1735660004803
R,r,1735660004856
P,Key.space,1735660004875
R,s,1735660004914
R,Key.space,1735660004998
P,y,1735660005053
R,y,1735660005172
P,e,1735660005191
R,e,1735660005285
P,t,1735660005315
R,t,1735660005426
P,.,1735660005445
R,.,1735660005556
P,Key.space,1735660005877
R,Key.space,1735660005958
P,Key.shift,1735660006240
P,I,1735660006317
R,I,1735660006394
R,Key.shift,1735660006413
P,f,1735660006501
R,f,1735660006596
P,Key.space,1735660006615
R,Key.space,1735660006694
P,y,1735660006794
R,y,1735660006902
P,o,1735660006921
P,u,1735660007007
R,o,1735660007076
R,u,1735660007100
P,',1735660007298
R,',1735660007398
P,r,1735660007421
P,e,1735660007495
R,r,1735660007552
P,Key.space,1735660007599
R,e,1735660007620
R,Key.space,1735660007698
P,t,1735660007761
P,h,1735660007849
R,t,1735660007872
R,h,1735660007932
P,e,1735660007967
R,e,1735660008041
P,r,1735660008059
P,e,1735660008121
R,r,1735660008194
R,e,1735660008242
P,Key.comma,1735660008380
R,Key.comma,1735660008502
P,Key.space,1735660008533
R,Key.space,1735660008622
P,s,1735660008753
R,s,1735660008862
P,h,1735660008899
R,h,1735660009033
P,o,1735660009051
P,w,1735660009125
R,o,1735660009146
R,w,1735660009238
P,Key.space,1735660009273
R,Key.space,1735660009420
P,u,1735660009455
P,p,1735660009605
R,u,1735660009626
R,p,1735660009690
P,.,1735660009933
R,.,1735660010033
P,Key.space,1735660010162
R,Key.space,1735660010230
P,Key.shift,1735660010714
P,J,1735660010924
R,J,1735660011042
R,Key.shift,1735660011061
P,u,1735660011161
R,u,1735660011243
P,s,1735660011291
P,t,1735660011391
R,s,1735660011412
P,Key.space,1735660011493
R,t,1735660011514
R,Key.space,1735660011570
P,s,1735660011719
R,s,1735660011817
P,a,1735660011837
P,y,1735660011941
R,a,1735660011970
R,y,1735660012064
P,Key.space,1735660012083
R,Key.space,1735660012152
P,h,1735660012231
R,h,1735660012334
P,e,1735660012353
R,e,1735660012438
P,l,1735660012486
R,l,1735660012564
P,l,1735660012615
R,l,1735660012688
P,o,1735660012753
R,o,1735660012858
P,Key.space,1735660012877
R,Key.space,1735660012964
P,s,1735660013080
P,o,1735660013159
R,s,1735660013188
R,o,1735660013236
P,Key.space,1735660013261
R,Key.space,1735660013346
P,Key.shift,1735660013506
P,I,1735660013582
R,Key.shift,1735660013669
R,I,1735660013692
P,Key.space,1735660013711
R,Key.space,1735660013772
P,c,1735660013795
P,a,1735660013893
R,c,1735660013970
R,a,1735660014014
P,n,1735660014194
P,Key.space,1735660014296
R,n,1735660014316
R,Key.space,1735660014400
P,p,1735660014812
R,p,1735660014912
P,o,1735660015009
P,p,1735660015164
R,o,1735660015184
R,p,1735660015272
P,Key.space,1735660015712
R,Key.space,1735660015809
P,y,1735660015902
R,y,1735660016038
P,o,1735660016057
P,u,1735660016175
P,Key.space,1735660016252
R,o,1735660016280
R,u,1735660016334
R,Key.space,1735660016366
P,o,1735660016509
P,n,1735660016607
R,o,1735660016700
P,Key.space,1735660016733
R,n,1735660016774
R,Key.space,1735660016855
P,t,1735660016937
P,h,1735660017019
R,t,1735660017040
P,e,1735660017107
R,h,1735660017128
R,e,1735660017206
P,Key.space,1735660017225
R,Key.space,1735660017290
P,.,1735660018716
R,.,1735660018777
P,.,1735660018841
R,.,1735660018898
P,.,1735660018949
R,.,1735660019046
P,w,1735660019111
P,e,1735660019220
R,w,1735660019252
R,e,1735660019338
P,l,1735660019429
R,l,1735660019504
P,l,1735660019551
R,l,1735660019636
P,Key.comma,1735660019789
P,Key.space,1735660019904
R,Key.comma,1735660019924
R,Key.space,1735660019988
P,w,1735660020374
R,w,1735660020470
P,h,1735660020493
R,h,1735660020568
P,a,1735660020595
P,t,1735660020707
R,a,1735660020746
R,t,1735660020814
P,i,1735660020861
R,i,1735660020942
P,Key.backspace,1735660021366
R,Key.backspace,1735660021447
P,e,1735660021481
R,e,1735660021576
P,v,1735660021651
R,v,1735660021728
P,e,1735660021825
P,r,1735660021901
R,e,1735660021957
R,r,1735660021992
P,Key.space,1735660022031
P,i,1735660022108
R,Key.space,1735660022144
R,i,1735660022198
P,t,1735660022257
R,t,1735660022322
P,Key.space,1735660022341
R,Key.space,1735660022416
P,i,1735660022585
R,i,1735660022669
P,s,1735660022732
R,s,1735660022820
P,Key.space,1735660022841
R,Key.space,1735660022914
P,h,1735660022985
R,h,1735660023068
P,Key.backspace,1735660023424
R,Key.backspace,1735660023488
P,y,1735660023630
R,y,1735660023754
P,o,1735660023773
P,u,1735660023843
P,Key.space,1735660023904
R,u,1735660023972
R,o,1735660023992
R,Key.space,1735660024020
P,h,1735660024093
R,h,1735660024198
P,a,1735660024217
P,v,1735660024303
R,a,1735660024332
P,e,1735660024416
R,v,1735660024440
R,e,1735660024530
P,Key.space,1735660024549
R,Key.space,1735660024634
P,t,1735660024687
R,t,1735660024780
P,h,1735660024799
R,h,1735660024864
P,a,1735660024900
P,t,1735660024949
R,a,1735660025006
R,t,1735660025058
P,Key.space,1735660025077
R,Key.space,1735660025156
P,Key.shift,1735660025232
P,I,1735660025295
R,Key.shift,1735660025382
P,Key.space,1735660025401
R,I,1735660025422
R,Key.space,1735660025490
P,c,1735660025509
P,a,1735660025559
R,c,1735660025648
R,a,1735660025688
P,n,1735660025707
P,Key.space,1735660025747
R,n,1735660025802
R,Key.space,1735660025871
P,p,1735660026004
R,p,1735660026108
P,Key.backspace,1735660026522
R,Key.backspace,1735660026601
P,b,1735660026820
R,b,1735660026942
P,o,1735660027057
R,o,1735660027163
P,p,1735660027521
R,p,1735660027614
P,Key.space,1735660027649
R,Key.space,1735660027760
P,y,1735660027855
R,y,1735660027987
P,o,1735660028013
P,u,1735660028091
P,Key.space,1735660028151
R,o,1735660028196
R,u,1735660028216
R,Key.space,1735660028276
P,o,1735660028325
P,n,1735660028398
R,o,1735660028466
R,n,1735660028510
P,.,1735660028638
R,.,1735660028736
P,Key.space,1735660028849
R,Key.space,1735660028950
P,Key.shift,1735660028985
P,N,1735660029079
R,Key.shift,1735660029151
P,o,1735660029183
R,N,1735660029204
R,o,1735660029256
P,t,1735660029293
R,t,1735660029395
P,Key.space,1735660029413
R,Key.space,1735660029508
P,s,1735660029579
P,u,1735660029691
R,s,1735660029714
P,r,1735660029773
R,u,1735660029794
P,e,1735660029849
R,r,1735660029910
P,Key.space,1735660029947
R,e,1735660029968
R,Key.space,1735660030044
P,w,1735660030179
P,h,1735660030302
R,w,1735660030322
R,h,1735660030386
P,a,1735660030423
P,t,1735660030483
R,a,1735660030532
P,Key.space,1735660030579
R,t,1735660030608
R,Key.space,1735660030706
P,t,1735660030725
P,h,1735660030833
R,t,1735660030858
P,a,1735660030915
R,h,1735660030936
P,t,1735660030979
R,a,1735660031070
P,Key.space,1735660031089
R,t,1735660031110
P,i,1735660031150
R,Key.space,1735660031178
R,i,1735660031242
P,s,1735660031273
R,s,1735660031352
P,Key.comma,1735660031575
R,Key.comma,1735660031694
P,b,1735660031777
R,b,1735660031878
P,u,1735660031899
R,u,1735660031964
P,t,1735660031999
R,t,1735660032101
P,Key.backspace,1735660032676
R,Key.backspace,1735660032740
P,Key.backspace,1735660032801
R,Key.backspace,1735660032866
P,Key.backspace,1735660032917
R,Key.backspace,1735660032994
P,Key.space,1735660033079
R,Key.space,1735660033172
P,b,1735660033191
R,b,1735660033286
P,u,1735660033317
R,u,1735660033390
P,t,1735660033425
R,t,1735660033504
P,Key.space,1735660033531
R,Key.space,1735660033616
P,Key.shift,1735660033701
P,I,1735660033878
R,I,1735660033964
R,Key.shift,1735660033983
P,Key.space,1735660034043
R,Key.space,1735660034138
P,w,1735660034185
R,w,1735660034302
P,i,1735660034321
P,l,1735660034415
R,i,1735660034456
R,l,1735660034488
P,l,1735660034557
P,Key.space,1735660034617
R,l,1735660034654
R,Key.space,1735660034734
P,t,1735660034907
P,h,1735660034983
R,t,1735660035016
R,h,1735660035090
P,i,1735660035110
P,n,1735660035197
R,i,1735660035238
R,n,1735660035344
P,Key.space,1735660035455
R,Key.space,1735660035554
P,Key.backspace,1735660035930
R,Key.backspace,1735660036004
P,k,1735660036157
R,k,1735660036280
P,Key.space,1735660036299
P,o,1735660036391
R,Key.space,1735660036412
R,o,1735660036494
P,f,1735660036513
P,Key.space,1735660036589
R,f,1735660036610
R,Key.space,1735660036688
P,s,1735660036751
R,s,1735660036864
P,o,1735660036885
P,e,1735660037021
R,o,1735660037042
R,e,1735660037136
P,Key.backspace,1735660037562
R,Key.backspace,1735660037630
P,m,1735660037733
R,m,1735660037836
P,e,1735660037855
R,e,1735660037932
P,t,1735660038005
P,h,1735660038093
R,t,1735660038114
P,i,1735660038183
R,h,1735660038204
P,n,1735660038264
R,i,1735660038352
P,g,1735660038371
R,n,1735660038392
R,g,1735660038458
P,.,1735660038622
R,.,1735660038741
P,Key.space,1735660039154
R,Key.space,1735660039252
P,Key.space,1735660039347
R,Key.space,1735660039430
