Press or Release,Key,Time
P,Key.caps_lock,1735660015500
R,Key.caps_lock,1735660015689
P,O,1735660015704
R,O,1735660015799
P,Key.caps_lock,1735660015819
R,Key.caps_lock,1735660015959
P,n,1735660016059
R,n,1735660016139
P,e,1735660016219
R,e,1735660016374
P,Key.space,1735660016394
R,Key.space,1735660016459
P,o,1735660016874
R,o,1735660016954
P,f,1735660017049
R,f,1735660017180
P,Key.space,1735660017289
R,Key.space,1735660017385
P,t,1735660017639
R,t,1735660017719
P,h,1735660017854
R,h,1735660017929
P,e,1735660018024
R,e,1735660018169
P,Key.space,1735660018199
R,Key.space,1735660018264
P,m,1735660018459
R,m,1735660018539
P,o,1735660018739
R,o,1735660018839
P,s,1735660019004
R,s,1735660019144
P,t,1735660019224
R,t,1735660019319
P,Key.space,1735660019609
R,Key.space,1735660019689
P,Key.alt,1735660020649
R,Key.alt,1735660020754
P,Key.alt,1735660022274
R,Key.alt,1735660022283
P,s,1735660023129
R,s,1735660023259
P,h,1735660023839
R,h,1735660023914
P,o,1735660024859
R,o,1735660024939
P,c,1735660025019
R,c,1735660025144
P,k,1735660025159
R,k,1735660025224
P,i,1735660025319
R,i,1735660025399
P,n,1735660025544
R,n,1735660025639
P,g,1735660026009
R,g,1735660026179
P,Key.space,1735660026345
R,Key.space,1735660026439
P,l,1735660026634
R,l,1735660026815
P,i,1735660026854
R,i,1735660026938
P,v,1735660027129
R,v,1735660027224
P,e,1735660027274
R,e,1735660027419
P,Key.space,1735660027499
R,Key.space,1735660027579
P,Key.alt,1735660027759
R,Key.alt,1735660027874
P,Key.alt,1735660029279
R,Key.alt,1735660029283
P,Key.caps_lock,1735660030139
R,Key.caps_lock,1735660030299
P,T,1735660030559
R,T,1735660030619
P,Key.caps_lock,1735660030974
R,Key.caps_lock,1735660031144
P,Key.caps_lock,1735660032025
R,Key.caps_lock,1735660032169
P,V,1735660033899
R,V,1735660033994
P,Key.space,1735660034264
R,Key.space,1735660034314
P,Key.caps_lock,1735660034764
R,Key.caps_lock,1735660034889
P,m,1735660035039
R,m,1735660035099
P,o,1735660035239
R,o,1735660035319
P,m,1735660035499
R,m,1735660035579
P,e,1735660035689
R,e,1735660035839
P,n,1735660035899
R,n,1735660035994
P,t,1735660036184
R,t,1735660036279
P,s,1735660036409
R,s,1735660036559
P,Key.space,1735660036689
R,Key.space,1735660036694
P,e,1735660036923
R,e,1735660037064
P,v,1735660037114
R,v,1735660037209
P,e,1735660037259
R,e,1735660037404
P,r,1735660037515
R,r,1735660037659
P,.,1735660038424
R,.,1735660038519
P,Key.space,1735660038649
R,Key.space,1735660038759
P,Key.alt,1735660038824
R,Key.alt,1735660038899
P,Key.alt,1735660041305
R,Key.alt,1735660041309
P,y,1735660042524
R,y,1735660042584
P,o,1735660042919
R,o,1735660042999
P,u,1735660043159
R,u,1735660043229
P,Key.space,1735660043429
R,Key.space,1735660043514
P,c,1735660043879
R,c,1735660043944
P,a,1735660044009
R,a,1735660044159
P,n,1735660044279
R,n,1735660044359
P,Key.space,1735660044474
R,Key.space,1735660044569
P,f,1735660044699
R,f,1735660044794
P,e,1735660044904
R,e,1735660044985
P,e,1735660045064
R,e,1735660045144
P,l,1735660045339
R,l,1735660045419
P,Key.space,1735660045559
R,Key.space,1735660045659
P,t,1735660045719
R,t,1735660045849
P,h,1735660045914
R,h,1735660045994
P,e,1735660046104
R,e,1735660046219
P,Key.space,1735660046359
R,Key.space,1735660046459
P,t,1735660046634
R,t,1735660046749
P,e,1735660046879
R,e,1735660046984
P,n,1735660047159
R,n,1735660047239
P,s,1735660047385
R,s,1735660047489
P,i,1735660047624
R,i,1735660047704
P,o,1735660047804
R,o,1735660047925
P,n,1735660048059
R,n,1735660048139
P,Key.space,1735660048249
R,Key.space,1735660048344
P,s,1735660048409
R,s,1735660048554
P,h,1735660048634
R,h,1735660048714
P,i,1735660048954
R,i,1735660049019
P,f,1735660049274
R,f,1735660049385
P,t,1735660049519
R,t,1735660049594
P,s,1735660049719
R,s,1735660049834
P,Key.space,1735660049999
R,Key.space,1735660050074
P,Key.alt,1735660050204
R,Key.alt,1735660050304
P,Key.alt,1735660052619
R,Key.alt,1735660052624
P,i,1735660052999
R,i,1735660053099
P,n,1735660053279
R,n,1735660053369
P,s,1735660053659
R,s,1735660053809
P,t,1735660053899
R,t,1735660053959
P,a,1735660054024
R,a,1735660054139
P,n,1735660054264
R,n,1735660054359
P,t,1735660054554
R,t,1735660054619
P,l,1735660055129
R,l,1735660055194
P,y,1735660055419
R,y,1735660055499
P,Key.space,1735660055624
R,Key.space,1735660055704
P,i,1735660055864
R,i,1735660055944
P,n,1735660056099
R,n,1735660056154
P,Key.space,1735660056250
R,Key.space,1735660056344
P,t,1735660056539
R,t,1735660056599
P,h,1735660056714
R,h,1735660056809
P,e,1735660056839
R,e,1735660056969
P,Key.space,1735660057004
R,Key.space,1735660057079
P,r,1735660057129
R,r,1735660057244
P,o,1735660057384
R,o,1735660057469
P,o,1735660057544
R,o,1735660057650
P,m,1735660057769
R,m,1735660057864
P,.,1735660058009
R,.,1735660058104
P,Key.space,1735660058279
R,Key.space,1735660058359
P,Key.alt,1735660058424
R,Key.alt,1735660058514
P,Key.alt,1735660061411
R,Key.alt,1735660061414
P,Key.space,1735660062029
R,Key.space,1735660062339
P,s,1735660062644
R,s,1735660062944
P,t,1735660062954
R,t,1735660063259
P,i,1735660063259
R,i,1735660063579
P,l,1735660063584
R,l,1735660063584
P,l,1735660063585
R,l,1735660063779
P,Key.space,1735660063779
R,Key.space,1735660063869
P,u,1735660064189
R,u,1735660064264
P,n,1735660064409
R,n,1735660064504
P,b,1735660064745
R,b,1735660064839
P,e,1735660065050
R,e,1735660065194
