Press or Release,Key,Time
P,Key.caps_lock,1735660004226
R,Key.caps_lock,1735660004470
P,T,1735660004470
R,T,1735660004558
P,Key.caps_lock,1735660004609
P,h,1735660004735
R,Key.caps_lock,1735660004784
R,h,1735660004846
P,e,1735660005006
R,e,1735660005181
P,Key.space,1735660005182
R,Key.space,1735660005326
P,o,1735660005677
R,o,1735660005837
P,s,1735660005934
R,s,1735660006078
P,c,1735660006737
R,c,1735660006829
P,a,1735660006846
R,a,1735660007005
P,r,1735660007760
R,r,1735660007902
P,Key.space,1735660008813
R,Key.space,1735660008974
P,s,1735660009422
R,s,1735660009582
P,l,1735660010404
R,l,1735660010542
P,a,1735660010621
R,a,1735660010814
P,p,1735660011310
R,p,1735660011391
P,Key.space,1735660011614
R,Key.space,1735660011790
P,c,1735660011999
R,c,1735660012173
P,l,1735660012286
R,l,1735660012414
P,i,1735660012590
R,i,1735660012734
P,p,1735660012926
R,p,1735660013085
P,Key.space,1735660013966
R,Key.space,1735660014127
P,s,1735660014407
R,s,1735660014542
P,h,1735660014685
R,h,1735660014782
P,o,1735660015037
R,o,1735660015166
P,w,1735660015326
R,w,1735660015453
P,s,1735660015645
R,s,1735660015789
P,Key.space,1735660017069
R,Key.space,1735660017309
P,h,1735660017533
R,h,1735660017677
P,o,1735660017869
R,o,1735660018029
P,w,1735660018142
R,w,1735660018317
P,Key.space,1735660018430
R,Key.space,1735660018542
P,r,1735660020158
R,r,1735660020238
P,a,1735660020257
R,a,1735660020431
P,w,1735660020686
R,w,1735660020927
P,Key.space,1735660021422
R,Key.space,1735660021581
P,e,1735660022272
R,e,1735660022429
P,m,1735660022590
R,m,1735660022702
P,o,1735660022895
R,o,1735660023037
P,t,1735660024365
R,t,1735660024448
P,i,1735660024914
R,i,1735660024956
P,o,1735660025101
R,o,1735660025181
P,n,1735660025438
R,n,1735660025581
P,Key.space,1735660026272
R,Key.space,1735660026399
P,c,1735660026861
R,c,1735660026989
P,a,1735660027038
R,a,1735660027228
P,n,1735660027965
R,n,1735660028094
P,Key.space,1735660028237
R,Key.space,1735660028367
P,e,1735660028717
R,e,1735660028877
P,r,1735660028989
R,r,1735660029150
P,u,1735660029214
R,u,1735660029309
P,p,1735660029550
R,p,1735660029661
P,t,1735660030141
R,t,1735660030301
P,Key.space,1735660030894
R,Key.space,1735660031005
P,i,1735660031411
