Press or Release,Key,Time
P,Key.caps_lock,1735660004443
R,Key.caps_lock,1735660004578
P,G,1735660004784
R,G,1735660004861
P,Key.caps_lock,1735660004928
R,Key.caps_lock,1735660005017
P,o,1735660005236
R,o,1735660005309
P,o,1735660005378
R,o,1735660005496
P,d,1735660005639
R,d,1735660005747
P,Key.space,1735660005817
R,Key.space,1735660005906
P,m,1735660007017
R,m,1735660007091
P,o,1735660007282
R,o,1735660007358
P,r,1735660008166
R,r,1735660008276
P,n,1735660008540
R,n,1735660008608
P,i,1735660008757
R,i,1735660008848
P,n,1735660009107
R,n,1735660009186
P,g,1735660009874
R,g,1735660009976
P,Key.space,1735660010107
R,Key.space,1735660010199
P,e,1735660011019
R,e,1735660011107
P,v,1735660011777
R,v,1735660011857
P,e,1735660011982
R,e,1735660012075
P,r,1735660012354
R,r,1735660012409
P,y,1735660012677
R,y,1735660012767
P,Key.space,1735660012906
R,Key.space,1735660013045
P,o,1735660013268
R,o,1735660013337
P,n,1735660013617
R,n,1735660013696
P,e,1735660014079
R,e,1735660014176
P,Key.space,1735660014277
R,Key.space,1735660014371
P,i,1735660015580
R,i,1735660015648
P,Key.space,1735660015877
R,Key.space,1735660015978
P,Key.backspace,1735660017078
R,Key.backspace,1735660017201
P,a,1735660017520
R,a,1735660017636
P,Key.backspace,1735660018806
R,Key.backspace,1735660018817
P,Key.space,1735660019159
R,Key.space,1735660019280
P,a,1735660019827
R,a,1735660019959
P,m,1735660020239
R,m,1735660020317
P,Key.space,1735660020450
R,Key.space,1735660020567
P,w,1735660021158
R,w,1735660021227
P,a,1735660021412
R,a,1735660021527
P,r,1735660021797
R,r,1735660021876
P,Key.backspace,1735660022528
R,Key.backspace,1735660022617
P,t,1735660023017
R,t,1735660023098
P,c,1735660023398
R,c,1735660023517
P,h,1735660023729
R,h,1735660023800
P,Key.space,1735660024008
R,Key.space,1735660024089
P,t,1735660025156
R,t,1735660025208
P,h,1735660025348
R,h,1735660025438
P,e,1735660025618
R,e,1735660025728
P,Key.space,1735660025811
R,Key.space,1735660025898
P,c,1735660028828
R,c,1735660028919
P,l,1735660029606
R,l,1735660029668
P,i,1735660029851
