Press or Release,Key,Time
P,;,1735660002076
R,;,1735660002278
P,;,1735660002505
P,l,1735660002681
P,k,1735660002692
R,;,1735660002721
R,l,1735660002728
R,k,1735660002840
P,a,1735660002950
P,s,1735660002993
P,d,1735660003057
R,a,1735660003080
P,f,1735660003182
R,s,1735660003202
R,d,1735660003273
P,;,1735660003295
R,f,1735660003314
P,k,1735660003361
R,;,1735660003453
P,j,1735660003526
P,Key.space,1735660003541
R,k,1735660003575
R,j,1735660003620
R,Key.space,1735660003692
P,a,1735660003759
P,s,1735660003813
P,d,1735660003848
R,a,1735660003889
P,f,1735660003930
R,s,1735660003962
P,;,1735660004039
R,d,1735660004043
R,f,1735660004063
P,k,1735660004132
P,l,1735660004142
R,l,1735660004241
R,;,1735660004241
P,j,1735660004272
P,Key.space,1735660004299
R,k,1735660004334
R,j,1735660004377
R,Key.space,1735660004442
P,a,1735660004486
P,s,1735660004511
P,d,1735660004567
R,a,1735660004637
P,f,1735660004680
P,;,1735660004683
R,s,1735660004695
R,d,1735660004787
R,f,1735660004831
P,l,1735660004841
P,k,1735660004844
R,;,1735660004923
R,l,1735660004967
P,j,1735660005002
P,Key.space,1735660005035
R,k,1735660005080
R,j,1735660005115
R,Key.space,1735660005195
P,a,1735660005261
P,s,1735660005277
P,d,1735660005374
P,f,1735660005453
R,a,1735660005465
R,s,1735660005497
R,d,1735660005556
P,;,1735660005573
R,f,1735660005606
P,k,1735660005657
R,;,1735660005710
P,j,1735660005799
P,Key.space,1735660005800
R,k,1735660005863
R,j,1735660005880
R,Key.space,1735660005952
P,a,1735660006018
P,s,1735660006120
P,d,1735660006153
P,f,1735660006234
R,a,1735660006265
R,s,1735660006283
P,;,1735660006346
R,d,1735660006348
R,f,1735660006372
P,k,1735660006427
R,;,1735660006528
P,j,1735660006585
P,Key.space,1735660006603
R,j,1735660006653
R,k,1735660006653
R,Key.space,1735660006745
P,a,1735660006804
P,s,1735660006848
P,d,1735660006936
P,f,1735660007021
R,a,1735660007037
R,s,1735660007143
P,;,1735660007144
R,f,1735660007170
R,d,1735660007177
P,k,1735660007261
R,;,1735660007358
P,Key.space,1735660007398
R,k,1735660007465
R,Key.space,1735660007548
P,a,1735660007628
P,s,1735660007656
P,d,1735660007710
R,a,1735660007772
P,f,1735660007805
R,s,1735660007884
P,;,1735660007937
R,d,1735660007944
R,f,1735660007954
P,k,1735660008017
R,;,1735660008129
P,Key.space,1735660008189
P,j,1735660008191
R,k,1735660008249
R,j,1735660008274
R,Key.space,1735660008338
P,a,1735660008440
P,s,1735660008443
P,d,1735660008511
R,a,1735660008557
P,f,1735660008635
R,s,1735660008680
R,d,1735660008744
R,f,1735660008769
P,;,1735660008795
P,k,1735660008839
R,;,1735660008959
P,j,1735660008969
P,Key.space,1735660009023
R,k,1735660009068
R,j,1735660009075
R,Key.space,1735660009149
P,a,1735660009222
P,s,1735660009277
P,d,1735660009331
R,a,1735660009419
P,f,1735660009456
R,s,1735660009499
R,d,1735660009569
R,f,1735660009595
P,;,1735660009596
P,l,1735660009707
P,k,1735660009726
R,;,1735660009823
P,j,1735660009831
P,Key.space,1735660009846
R,l,1735660009850
R,k,1735660009920
R,j,1735660009930
R,Key.space,1735660010006
P,a,1735660010077
P,s,1735660010118
P,d,1735660010182
P,f,1735660010296
R,a,1735660010298
R,s,1735660010365
R,d,1735660010411
R,f,1735660010429
P,;,1735660010507
P,k,1735660010611
P,l,1735660010618
R,;,1735660010674
R,l,1735660010743
P,j,1735660010771
P,Key.space,1735660010803
R,k,1735660010851
R,j,1735660010862
R,Key.space,1735660010918
P,a,1735660011044
P,s,1735660011152
P,d,1735660011178
P,f,1735660011257
R,a,1735660011276
R,s,1735660011324
R,d,1735660011348
R,f,1735660011384
P,;,1735660011454
P,k,1735660011599
R,;,1735660011658
P,j,1735660011719
P,Key.space,1735660011766
R,k,1735660011791
R,j,1735660011809
R,Key.space,1735660011894
P,a,1735660012004
P,s,1735660012130
P,d,1735660012168
R,s,1735660012336
P,f,1735660012343
R,a,1735660012382
R,d,1735660012388
R,f,1735660012420
P,;,1735660012466
P,k,1735660012653
R,;,1735660012701
P,j,1735660012814
P,Key.space,1735660012816
R,j,1735660012870
R,k,1735660012873
R,Key.space,1735660012962
P,a,1735660013054
P,s,1735660013146
P,d,1735660013194
R,a,1735660013263
P,f,1735660013290
R,s,1735660013337
R,d,1735660013401
R,f,1735660013425
P,;,1735660013427
P,k,1735660013613
R,;,1735660013705
P,j,1735660013770
P,Key.space,1735660013777
R,k,1735660013817
R,j,1735660013853
R,Key.space,1735660013937
P,a,1735660014004
P,s,1735660014103
P,d,1735660014114
P,f,1735660014267
R,a,1735660014274
R,s,1735660014302
R,d,1735660014358
R,f,1735660014446
P,;,1735660014455
P,l,1735660014551
P,k,1735660014554
R,;,1735660014630
R,l,1735660014691
P,j,1735660014713
P,Key.space,1735660014715
R,k,1735660014766
R,j,1735660014782
R,Key.space,1735660014845
P,a,1735660014965
P,s,1735660015028
P,d,1735660015108
P,f,1735660015204
R,a,1735660015215
R,s,1735660015274
R,d,1735660015321
R,f,1735660015343
P,;,1735660015353
P,l,1735660015496
P,k,1735660015524
R,;,1735660015575
R,l,1735660015676
P,j,1735660015704
P,Key.space,1735660015736
R,k,1735660015763
R,j,1735660015786
R,Key.space,1735660015882
P,a,1735660015950
P,s,1735660016047
P,d,1735660016074
R,a,1735660016215
R,s,1735660016270
P,f,1735660016273
R,d,1735660016314
P,;,1735660016364
R,f,1735660016381
P,l,1735660016487
P,k,1735660016494
R,;,1735660016584
R,l,1735660016618
P,Key.space,1735660016651
P,j,1735660016654
R,k,1735660016698
R,j,1735660016714
R,Key.space,1735660016798
P,a,1735660016834
P,s,1735660016953
P,d,1735660016956
R,a,1735660017022
P,f,1735660017023
R,s,1735660017051
R,d,1735660017119
R,f,1735660017174
P,;,1735660017207
P,k,1735660017367
P,l,1735660017384
R,;,1735660017439
R,l,1735660017514
P,j,1735660017564
P,Key.space,1735660017574
R,k,1735660017610
R,j,1735660017626
R,Key.space,1735660017719
P,a,1735660017747
P,s,1735660017826
P,d,1735660017858
R,a,1735660017909
P,f,1735660017913
R,s,1735660017973
P,;,1735660018024
R,d,1735660018036
R,f,1735660018069
P,l,1735660018177
P,k,1735660018206
R,;,1735660018292
R,l,1735660018321
P,j,1735660018337
P,Key.space,1735660018396
R,k,1735660018402
R,j,1735660018433
R,Key.space,1735660018501
P,a,1735660018573
P,s,1735660018619
P,d,1735660018696
P,f,1735660018788
R,a,1735660018799
R,s,1735660018855
R,d,1735660018904
R,f,1735660018939
P,;,1735660018978
P,k,1735660019070
R,;,1735660019158
P,Key.space,1735660019198
R,k,1735660019261
R,Key.space,1735660019365
P,a,1735660019423
P,s,1735660019509
P,d,1735660019537
P,f,1735660019625
R,a,1735660019634
R,s,1735660019669
R,d,1735660019749
R,f,1735660019776
P,;,1735660019842
P,k,1735660019933
R,;,1735660020050
P,Key.space,1735660020065
R,k,1735660020145
R,Key.space,1735660020217
P,a,1735660020283
P,s,1735660020339
P,d,1735660020395
P,f,1735660020475
R,a,1735660020486
R,s,1735660020538
R,d,1735660020622
R,f,1735660020644
