Press or Release,Key,Time
P,i,1735660005554
R,i,1735660005634
P,t,1735660005778
R,t,1735660005843
P,Key.space,1735660005954
R,Key.space,1735660006028
P,w,1735660006050
R,w,1735660006130
P,a,1735660006228
P,s,1735660006339
R,a,1735660006370
P,Key.space,1735660006450
R,s,1735660006482
R,Key.space,1735660006531
P,v,1735660007954
R,v,1735660008035
P,r,1735660008098
R,r,1735660008226
P,Key.backspace,1735660008578
R,Key.backspace,1735660008691
P,e,1735660008694
P,r,1735660008813
R,e,1735660008834
R,r,1735660008915
P,y,1735660009842
R,y,1735660009905
P,Key.space,1735660010050
R,Key.space,1735660010129
P,i,1735660010913
R,i,1735660010993
P,n,1735660011073
R,n,1735660011160
P,s,1735660011256
R,s,1735660011362
P,p,1735660011858
R,p,1735660011922
P,i,1735660012146
R,i,1735660012225
P,r,1735660012275
R,r,1735660012370
P,i,1735660012579
R,i,1735660012658
P,g,1735660012953
R,g,1735660013025
P,Key.space,1735660013218
R,Key.space,1735660013284
P,Key.backspace,1735660014196
R,Key.backspace,1735660014258
P,Key.backspace,1735660014353
R,Key.backspace,1735660014419
P,n,1735660015537
R,n,1735660015601
P,g,1735660015745
R,g,1735660015812
P,Key.space,1735660015921
R,Key.space,1735660016001
P,f,1735660018563
R,f,1735660018674
P,o,1735660018707
R,o,1735660018786
P,r,1735660018817
R,r,1735660018898
P,Key.space,1735660018913
R,Key.space,1735660018994
P,a,1735660020114
R,a,1735660020225
P,l,1735660020275
R,l,1735660020337
P,l,1735660020421
R,l,1735660020497
P,Key.space,1735660020611
R,Key.space,1735660020690
P,e,1735660021778
R,e,1735660021951
P,s,1735660021986
R,s,1735660022114
P,p,1735660022434
R,p,1735660022497
P,i,1735660022643
R,i,1735660022723
P,c,1735660022994
R,c,1735660023090
P,a,1735660023217
R,a,1735660023347
P,l,1735660023505
R,l,1735660023570
P,l,1735660023636
R,l,1735660023729
P,y,1735660023862
R,y,1735660023938
P,Key.space,1735660024066
R,Key.space,1735660024147
P,Key.space,1735660029570
R,Key.space,1735660029682
P,t,1735660044133
R,t,1735660044194
P,o,1735660044395
R,o,1735660044434
P,Key.space,1735660044533
R,Key.space,1735660044627
P,t,1735660044838
R,t,1735660044899
P,h,1735660045010
P,e,1735660045028
R,h,1735660045074
R,e,1735660045122
P,Key.space,1735660045203
R,Key.space,1735660045272
P,s,1735660045395
R,s,1735660045474
P,t,1735660045843
R,t,1735660045923
P,u,1735660046135
R,u,1735660046194
P,d,1735660046260
R,d,1735660046373
P,e,1735660046594
R,e,1735660046712
P,n,1735660046805
R,n,1735660046887
P,t,1735660047045
R,t,1735660047122
P,Key.space,1735660047266
R,Key.space,1735660047347
P,w,1735660047988
R,w,1735660048098
P,h,1735660048163
R,h,1735660048259
P,o,1735660048355
R,o,1735660048435
P,Key.space,1735660048580
R,Key.space,1735660048658
P,a,1735660048818
R,a,1735660048948
P,r,1735660049570
R,r,1735660049698
P,e,1735660049778
R,e,1735660049891
P,Key.space,1735660049906
R,Key.space,1735660049986
P,i,1735660051075
R,i,1735660051140
P,n,1735660051234
R,n,1735660051300
P,Key.space,1735660051411
R,Key.space,1735660051474
P,y,1735660051634
R,y,1735660051699
P,o,1735660051891
R,o,1735660052005
P,u,1735660052051
R,u,1735660052131
P,n,1735660052259
R,n,1735660052354
P,g,1735660052627
R,g,1735660052707
P,Key.space,1735660052836
R,Key.space,1735660052914
P,a,1735660053154
R,a,1735660053267
P,g,1735660053411
R,g,1735660053491
P,e,1735660053510
R,e,1735660053604
P,Key.space,1735660053650
R,Key.space,1735660053715
P,a,1735660054520
R,a,1735660054626
P,l,1735660054706
R,l,1735660054772
P,l,1735660054853
R,l,1735660054915
P,Key.space,1735660055010
R,Key.space,1735660055092
P,a,1735660055602
R,a,1735660055731
P,r,1735660055811
R,r,1735660055938
P,e,1735660055970
R,e,1735660056082
P,Key.space,1735660056146
R,Key.space,1735660056226
P,f,1735660056434
R,f,1735660056563
P,a,1735660056578
R,a,1735660056710
P,c,1735660056982
R,c,1735660057092
P,i,1735660057219
R,i,1735660057300
P,n,1735660057428
R,n,1735660057459
P,g,1735660057587
R,g,1735660057666
P,Key.space,1735660057779
R,Key.space,1735660057859
P,t,1735660057988
R,t,1735660058051
P,h,1735660058149
R,h,1735660058226
P,e,1735660058243
P,Key.space,1735660058323
R,e,1735660058355
R,Key.space,1735660058386
P,i,1735660059026
R,i,1735660059122
P,n,1735660059186
R,n,1735660059282
P,s,1735660059475
R,s,1735660059590
P,e,1735660059749
R,e,1735660059870
P,c,1735660059995
R,c,1735660060100
P,u,1735660060322
R,u,1735660060404
P,r,1735660060500
R,r,1735660060614
P,i,1735660060735
R,i,1735660060820
P,t,1735660060978
R,t,1735660061058
P,e,1735660061202
R,e,1735660061299
P,Key.backspace,1735660061621
R,Key.backspace,1735660061714
P,i,1735660061906
R,i,1735660061987
P,e,1735660062001
R,e,1735660062114
