Press or Release,Key,Time
P,g,1735660003298
R,g,1735660003433
P,o,1735660003553
R,o,1735660003626
P,o,1735660003713
R,o,1735660003803
P,d,1735660003884
R,d,1735660004009
P,F3,1735660120130
P,Key.space,1735660144080
R,Key.space,1735660144142
P,a,1735660144303
R,a,1735660144463
P,n,1735660144527
R,n,1735660144607
P,d,1735660144798
R,d,1735660144909
P,Key.space,1735660144966
R,Key.space,1735660145070
P,t,1735660145246
R,t,1735660145327
P,h,1735660145447
R,h,1735660145535
P,a,1735660145623
R,a,1735660145743
P,t,1735660146255
R,t,1735660146335
P,Key.space,1735660146519
R,Key.space,1735660146591
P,s,1735660147591
R,s,1735660147719
P,p,1735660147775
R,p,1735660147894
P,e,1735660148295
R,e,1735660148399
P,e,1735660148487
R,e,1735660148574
P,c,1735660148991
R,c,1735660149119
P,h,1735660149207
R,h,1735660149287
P,Key.space,1735660149423
R,Key.space,1735660149510
P,r,1735660149711
R,r,1735660149793
P,e,1735660149911
R,e,1735660149983
P,a,1735660150127
R,a,1735660150231
P,l,1735660150543
R,l,1735660150606
P,l,1735660150711
R,l,1735660150790
P,y,1735660150998
R,y,1735660151062
P,Key.space,1735660151199
R,Key.space,1735660151287
P,m,1735660151406
R,m,1735660151495
P,a,1735660151575
R,a,1735660151719
P,d,1735660152566
R,d,1735660152703
P,e,1735660152799
R,e,1735660152951
P,Key.space,1735660154255
R,Key.space,1735660154343
P,t,1735660154503
R,t,1735660154577
P,h,1735660154687
R,h,1735660154801
P,a,1735660154873
R,a,1735660154991
P,t,1735660155030
R,t,1735660155113
P,Key.space,1735660170503
R,Key.space,1735660170566
P,m,1735660170959
R,m,1735660171087
P,e,1735660171238
R,e,1735660171391
P,Key.space,1735660171478
R,Key.space,1735660171607
P,r,1735660184119
R,r,1735660184206
P,e,1735660184334
R,e,1735660184406
P,f,1735660184550
R,f,1735660184622
P,l,1735660185047
R,l,1735660185166
P,e,1735660185334
R,e,1735660185486
P,c,1735660185662
R,c,1735660185814
P,t,1735660185886
R,t,1735660185974
P,Key.space,1735660186224
R,Key.space,1735660186302
P,o,1735660188486
R,o,1735660188616
P,n,1735660188728
R,n,1735660188806
P,Key.space,1735660188950
R,Key.space,1735660189038
P,h,1735660189214
R,h,1735660189286
P,o,1735660189662
R,o,1735660189734
P,e,1735660190062
R,e,1735660190134
P,Key.backspace,1735660191150
R,Key.backspace,1735660191302
P,w,1735660191710
R,w,1735660191846
P,Key.space,1735660197910
R,Key.space,1735660198054
P,o,1735660198526
R,o,1735660198614
P,f,1735660198974
R,f,1735660199110
P,t,1735660199190
R,t,1735660199294
P,e,1735660199398
R,e,1735660199558
P,n,1735660199654
R,n,1735660199735
P,Key.space,1735660200958
R,Key.space,1735660201054
P,w,1735660202150
R,w,1735660202280
P,e,1735660202406
R,e,1735660202494
P,Key.space,1735660203710
R,Key.space,1735660203814
P,h,1735660219734
R,h,1735660219814
P,o,1735660219990
R,o,1735660220071
P,l,1735660220199
R,l,1735660220287
P,d,1735660221509
R,d,1735660221646
P,Key.space,1735660221765
R,Key.space,1735660221879
P,o,1735660222806
R,o,1735660222943
P,u,1735660223245
R,u,1735660223341
P,r,1735660223566
R,r,1735660223645
P,s,1735660225397
R,s,1735660225509
P,e,1735660225605
R,e,1735660225685
P,l,1735660226198
R,l,1735660226270
P,v,1735660226558
R,v,1735660226637
P,e,1735660226821
R,e,1735660226893
P,s,1735660227166
R,s,1735660227301
P,Key.space,1735660229022
R,Key.space,1735660229174
P,b,1735660230870
R,b,1735660230998
P,a,1735660231079
R,a,1735660231213
P,c,1735660231518
R,c,1735660231669
P,k,1735660231725
R,k,1735660231805
P,Key.space,1735660232637
R,Key.space,1735660232750
P,o,1735660233118
R,o,1735660233253
P,f,1735660233399
R,f,1735660233533
P,Key.space,1735660233677
R,Key.space,1735660233765
