Press or Release,Key,Time
P,v,1735660004429
R,v,1735660004526
P,e,1735660004560
R,e,1735660004725
P,Key.space,1735660004774
R,Key.space,1735660004915
P,t,1735660004976
R,t,1735660005114
P,o,1735660005171
R,o,1735660005294
P,Key.space,1735660005413
R,Key.space,1735660005541
P,s,1735660005589
R,s,1735660005726
P,Key.backspace,1735660006193
R,Key.backspace,1735660007091
P,Key.shift,1735660007245
P,H,1735660007377
R,Key.shift,1735660007524
R,H,1735660007525
P,e,1735660007693
R,e,1735660007847
P,y,1735660007906
R,y,1735660008025
P,Key.space,1735660008102
R,Key.space,1735660008231
P,Key.shift,1735660008437
P,E,1735660008671
R,E,1735660008808
R,Key.shift,1735660008818
P,v,1735660008948
R,v,1735660009046
P,e,1735660009070
R,e,1735660009217
P,r,1735660009355
R,r,1735660009463
P,y,1735660009550
R,y,1735660009629
P,o,1735660009874
R,o,1735660010002
P,n,1735660010128
R,n,1735660010220
P,e,1735660010280
R,e,1735660010373
P,Key.comma,1735660010712
R,Key.comma,1735660010767
P,Key.enter,1735660010979
R,Key.enter,1735660011072
P,Key.shift,1735660011412
P,L,1735660011612
R,L,1735660011727
R,Key.shift,1735660011747
P,o,1735660011850
R,o,1735660011935
P,v,1735660012202
R,v,1735660012298
P,e,1735660012317
R,e,1735660012487
P,Key.space,1735660012553
R,Key.space,1735660012688
P,t,1735660012723
R,t,1735660012872
P,o,1735660012888
R,o,1735660013008
P,Key.space,1735660013284
R,Key.space,1735660013417
P,c,1735660013475
R,c,1735660013595
P,a,1735660013735
R,a,1735660013934
P,n,1735660013986
R,n,1735660014061
P,t,1735660014291
R,t,1735660014379
P,a,1735660014435
R,a,1735660014572
P,c,1735660014735
R,c,1735660014838
P,t,1735660014907
R,t,1735660015040
P,Key.space,1735660015125
R,Key.space,1735660015253
P,y,1735660015402
R,y,1735660015484
P,o,1735660015606
P,u,1735660015796
R,o,1735660015798
R,u,1735660015934
P,Key.space,1735660015972
R,Key.space,1735660016119
P,a,1735660016138
P,g,1735660016319
R,a,1735660016331
R,g,1735660016424
P,a,1735660016484
R,a,1735660016625
P,i,1735660016641
R,i,1735660016847
P,n,1735660016992
R,n,1735660017133
P,Key.space,1735660017243
R,Key.space,1735660017371
P,a,1735660017387
P,b,1735660017541
R,a,1735660017557
R,b,1735660017653
P,o,1735660017784
R,o,1735660017935
P,u,1735660018033
