Press or Release,Key,Time
P,Key.space,1735660002924
R,Key.space,1735660003084
P,h,1735660003214
R,h,1735660003309
P,e,1735660003889
R,e,1735660003989
P,Key.space,1735660004159
R,Key.space,1735660004284
P,i,1735660005264
R,i,1735660005304
P,s,1735660005594
R,s,1735660005694
P,Key.space,1735660005994
R,Key.space,1735660006104
P,v,1735660006334
R,v,1735660006364
P,e,1735660006574
R,e,1735660006659
P,r,1735660006784
R,r,1735660006874
P,y,1735660007574
R,y,1735660007659
P,Key.space,1735660007859
R,Key.space,1735660007949
P,n,1735660012344
R,n,1735660012444
P,i,1735660012563
R,i,1735660012653
P,c,1735660012944
R,c,1735660012974
P,e,1735660013134
R,e,1735660013219
P,Key.space,1735660013403
R,Key.space,1735660013503
P,s,1735660015199
R,s,1735660015303
P,o,1735660015644
R,o,1735660015668
P,u,1735660015823
R,u,1735660015904
P,l,1735660016094
R,l,1735660016243
P,Key.space,1735660016403
R,Key.space,1735660016498
P,h,1735660018078
R,h,1735660018168
P,e,1735660018388
R,e,1735660018463
P,Key.space,1735660018633
R,Key.space,1735660018733
P,s,1735660018898
R,s,1735660019013
P,Key.backspace,1735660021213
R,Key.backspace,1735660021328
P,l,1735660022459
R,l,1735660022549
P,i,1735660022698
R,i,1735660022778
P,s,1735660023018
R,s,1735660023108
P,t,1735660023513
R,t,1735660023613
P,e,1735660023768
R,e,1735660023853
P,n,1735660024243
R,n,1735660024328
P,Key.space,1735660024508
R,Key.space,1735660024613
P,v,1735660024764
R,v,1735660024894
P,e,1735660025048
R,e,1735660025148
P,r,1735660025293
R,r,1735660025418
P,y,1735660025778
R,y,1735660025788
P,Key.space,1735660025804
R,Key.space,1735660025903
P,w,1735660026158
R,w,1735660026208
P,e,1735660026563
R,e,1735660026694
P,l,1735660027063
R,l,1735660027144
P,l,1735660027243
R,l,1735660027338
P,Key.space,1735660027493
R,Key.space,1735660027588
P,h,1735660028203
R,h,1735660028283
P,e,1735660028558
R,e,1735660028648
P,Key.space,1735660028829
R,Key.space,1735660028928
P,i,1735660029138
R,i,1735660029253
P,s,1735660029498
R,s,1735660029589
P,Key.space,1735660029768
