Press or Release,Key,Time
P,Key.shift,1735660005318
P,T,1735660005544
R,Key.shift,1735660005616
R,T,1735660005628
P,h,1735660005773
P,e,1735660005858
R,h,1735660005877
R,e,1735660005980
P,Key.space,1735660006065
R,Key.space,1735660006154
P,s,1735660006865
R,s,1735660006969
P,c,1735660007103
R,c,1735660007196
P,e,1735660007295
R,e,1735660007466
P,n,1735660008759
R,n,1735660008877
P,e,1735660008937
P,Key.space,1735660009030
R,e,1735660009053
R,Key.space,1735660009153
P,i,1735660009407
R,i,1735660009490
P,s,1735660009555
R,s,1735660009682
P,Key.space,1735660009706
R,Key.space,1735660009841
P,v,1735660010012
P,e,1735660010088
R,v,1735660010100
R,e,1735660010210
P,r,1735660010321
P,y,1735660010358
R,r,1735660010417
R,y,1735660010451
P,Key.space,1735660010597
R,Key.space,1735660010723
P,e,1735660010818
R,e,1735660010938
P,m,1735660010946
R,m,1735660011041
P,o,1735660011185
R,o,1735660011263
P,t,1735660013116
R,t,1735660013216
P,i,1735660013272
R,i,1735660013343
P,o,1735660013456
R,o,1735660013525
P,n,1735660013655
R,n,1735660013738
P,a,1735660013977
R,a,1735660014107
P,l,1735660014141
R,l,1735660014227
P,Key.space,1735660014378
R,Key.space,1735660014478
P,a,1735660014961
R,a,1735660015100
P,n,1735660015107
R,n,1735660015221
P,d,1735660015322
P,Key.space,1735660015369
R,d,1735660015381
R,Key.space,1735660015480
P,s,1735660016894
R,s,1735660017004
P,Key.backspace,1735660017501
R,Key.backspace,1735660017610
P,v,1735660018634
R,v,1735660018739
P,e,1735660018800
R,e,1735660018914
P,r,1735660019015
R,r,1735660019139
P,y,1735660019183
R,y,1735660019286
P,Key.space,1735660019411
R,Key.space,1735660019534
P,s,1735660019891
R,s,1735660020002
P,e,1735660020098
R,e,1735660020175
P,n,1735660020247
R,n,1735660020358
P,s,1735660020620
R,s,1735660020754
P,t,1735660020948
R,t,1735660021052
P,i,1735660021126
R,i,1735660021217
P,t,1735660021389
R,t,1735660021485
P,v,1735660022196
R,v,1735660022294
P,e,1735660022405
P,Key.space,1735660022511
R,e,1735660022535
R,Key.space,1735660022615
P,t,1735660023125
R,t,1735660023238
P,o,1735660023281
R,o,1735660023372
P,Key.space,1735660023443
R,Key.space,1735660023544
P,m,1735660023594
R,m,1735660023683
P,e,1735660023966
R,e,1735660024081
P,.,1735660024373
R,.,1735660024463
P,Key.space,1735660024623
R,Key.space,1735660024694
P,t,1735660025061
R,t,1735660025148
P,h,1735660025298
R,h,1735660025386
P,e,1735660025517
P,Key.space,1735660025650
R,e,1735660025661
R,Key.space,1735660025741
P,s,1735660025947
R,s,1735660026076
P,t,1735660026127
R,t,1735660026212
P,u,1735660026455
R,u,1735660026539
P,d,1735660026730
R,d,1735660026829
P,e,1735660026929
P,n,1735660027014
R,e,1735660027039
R,n,1735660027113
P,t,1735660027288
R,t,1735660027373
P,Key.space,1735660027404
R,Key.space,1735660027508
P,a,1735660027655
R,a,1735660027832
P,n,1735660027869
R,n,1735660027956
P,d,1735660027963
P,Key.space,1735660028089
R,d,1735660028108
R,Key.space,1735660028184
P,t,1735660028391
R,t,1735660028463
P,e,1735660028507
R,e,1735660028597
P,a,1735660028696
R,a,1735660028837
P,c,1735660028937
R,c,1735660029038
P,h,1735660029072
R,h,1735660029159
P,e,1735660029211
R,e,1735660029314
P,r,1735660029441
R,r,1735660029510
P,Key.space,1735660029540
R,Key.space,1735660029646
P,b,1735660032291
R,b,1735660032368
P,o,1735660032573
R,o,1735660032666
P,n,1735660032816
R,n,1735660032918
P,d,1735660033211
R,d,1735660033298
P,Key.space,1735660033350
R,Key.space,1735660033457
P,l,1735660034097
R,l,1735660034183
P,o,1735660034344
R,o,1735660034420
P,o,1735660034508
R,o,1735660034584
P,k,1735660034700
R,k,1735660034783
P,Key.space,1735660034914
R,Key.space,1735660035014
P,v,1735660035164
R,v,1735660035266
P,e,1735660035481
R,e,1735660035589
P,r,1735660035711
P,y,1735660035759
R,r,1735660035801
R,y,1735660035846
