Press or Release,Key,Time
P,Key.shift,1735660001998
P,B,1735660002873
R,B,1735660002961
R,Key.shift,1735660003034
P,Key.backspace,1735660003904
R,Key.backspace,1735660003992
P,Key.shift,1735660004925
P,V,1735660005077
R,Key.shift,1735660005138
R,V,1735660005189
P,e,1735660005262
R,e,1735660005343
P,y,1735660005419
P,r,1735660005434
R,y,1735660005457
R,r,1735660005567
P,Key.backspace,1735660006550
R,Key.backspace,1735660006737
P,r,1735660006768
R,r,1735660006853
P,Key.backspace,1735660007004
R,Key.backspace,1735660007072
P,Key.backspace,1735660007133
R,Key.backspace,1735660007196
P,r,1735660007330
R,r,1735660007432
P,u,1735660007513
R,u,1735660007598
P,Key.backspace,1735660007869
R,Key.backspace,1735660007948
P,y,1735660008090
R,y,1735660008183
P,Key.space,1735660008328
R,Key.space,1735660008404
P,f,1735660008409
P,u,1735660008503
R,f,1735660008509
R,u,1735660008580
P,n,1735660008647
R,n,1735660008760
P,n,1735660009390
R,n,1735660009490
P,y,1735660009608
R,y,1735660009702
P,Key.space,1735660009723
R,Key.space,1735660009782
P,m,1735660009868
R,m,1735660009954
P,o,1735660009983
R,o,1735660010060
P,m,1735660010084
P,e,1735660010177
R,m,1735660010200
R,e,1735660010269
P,n,1735660010312
R,n,1735660010392
P,t,1735660010399
R,t,1735660010502
P,Key.space,1735660010508
R,Key.space,1735660010585
P,o,1735660010716
P,f,1735660010784
R,o,1735660010789
R,f,1735660010874
P,Key.space,1735660010886
R,Key.space,1735660010967
P,t,1735660010987
R,t,1735660011079
P,h,1735660011085
P,e,1735660011160
R,h,1735660011174
R,e,1735660011276
P,Key.space,1735660011287
R,Key.space,1735660011364
P,Key.backspace,1735660017148
R,Key.backspace,1735660017164
P,Key.backspace,1735660017250
R,Key.backspace,1735660017308
P,Key.backspace,1735660017387
R,Key.backspace,1735660017449
P,Key.backspace,1735660017515
R,Key.backspace,1735660017575
P,Key.backspace,1735660017655
R,Key.backspace,1735660017716
P,Key.backspace,1735660017786
R,Key.backspace,1735660017869
P,f,1735660018006
R,f,1735660018122
P,Key.backspace,1735660018246
R,Key.backspace,1735660018298
P,Key.backspace,1735660018364
R,Key.backspace,1735660018440
P,f,1735660018449
R,f,1735660018550
P,o,1735660018560
P,r,1735660018655
R,o,1735660018659
R,r,1735660018752
P,Key.space,1735660018763
R,Key.space,1735660018865
P,t,1735660018890
P,h,1735660018963
R,t,1735660019000
R,h,1735660019043
P,e,1735660019043
P,Key.space,1735660019167
R,e,1735660019183
R,Key.space,1735660019232
P,f,1735660030673
R,f,1735660030712
P,Key.backspace,1735660030956
R,Key.backspace,1735660031107
P,Key.backspace,1735660031374
R,Key.backspace,1735660031469
P,Key.backspace,1735660031495
R,Key.backspace,1735660031587
P,Key.backspace,1735660031660
R,Key.backspace,1735660031732
P,Key.backspace,1735660031798
R,Key.backspace,1735660031868
P,Key.backspace,1735660031933
R,Key.backspace,1735660032158
P,Key.backspace,1735660032255
R,Key.backspace,1735660032288
P,Key.backspace,1735660032339
R,Key.backspace,1735660032400
P,Key.backspace,1735660032484
R,Key.backspace,1735660032576
P,a,1735660032669
R,a,1735660032800
P,t,1735660032869
R,t,1735660032954
P,Key.space,1735660032973
