Press or Release,Key,Time
P,Key.shift,1735660002840
P,T,1735660002962
R,Key.shift,1735660002995
R,T,1735660003071
P,h,1735660003076
P,i,1735660003120
R,h,1735660003175
R,i,1735660003195
P,s,1735660003224
P,Key.space,1735660003280
R,s,1735660003294
P,i,1735660003325
R,Key.space,1735660003376
R,i,1735660003413
P,s,1735660003420
R,s,1735660003488
P,Key.space,1735660003541
R,Key.space,1735660003601
P,Key.space,1735660003736
P,a,1735660003738
R,Key.space,1735660003764
R,a,1735660003845
P,Key.backspace,1735660004533
R,Key.backspace,1735660004592
P,Key.backspace,1735660004662
R,Key.backspace,1735660004699
P,Key.backspace,1735660004771
R,Key.backspace,1735660004810
P,Key.backspace,1735660004873
R,Key.backspace,1735660004922
P,Key.backspace,1735660004986
R,Key.backspace,1735660005017
P,Key.backspace,1735660005078
R,Key.backspace,1735660005122
P,Key.backspace,1735660005195
R,Key.backspace,1735660005230
P,Key.backspace,1735660005306
R,Key.backspace,1735660005348
P,Key.backspace,1735660005540
R,Key.backspace,1735660005608
P,Key.backspace,1735660005706
R,Key.backspace,1735660005782
P,Key.shift,1735660005852
P,C,1735660005957
R,Key.shift,1735660006026
P,o,1735660006080
R,C,1735660006095
R,o,1735660006139
P,c,1735660006324
R,c,1735660006465
P,Key.backspace,1735660006835
R,Key.backspace,1735660006886
P,a,1735660007007
R,a,1735660007128
P,c,1735660007165
R,c,1735660007269
P,h,1735660007296
R,h,1735660007374
P,Key.space,1735660007424
R,Key.space,1735660007490
P,Key.shift,1735660007758
P,C,1735660007827
R,Key.shift,1735660007858
R,C,1735660007927
P,a,1735660007989
P,r,1735660008100
R,a,1735660008114
R,r,1735660008182
P,t,1735660008365
R,t,1735660008463
P,e,1735660008567
P,r,1735660008654
R,e,1735660008693
R,r,1735660008717
P,Key.space,1735660008811
R,Key.space,1735660008930
P,d,1735660009029
R,d,1735660009071
P,i,1735660010352
R,i,1735660010434
P,d,1735660010480
R,d,1735660010545
P,Key.space,1735660010585
R,Key.space,1735660010651
P,s,1735660010761
R,s,1735660010853
P,o,1735660010863
P,m,1735660010953
R,o,1735660011008
P,e,1735660011032
R,m,1735660011054
R,e,1735660011088
P,t,1735660011171
R,t,1735660011240
P,h,1735660011253
R,h,1735660011340
P,i,1735660011352
P,n,1735660011469
P,g,1735660011512
R,i,1735660011513
R,n,1735660011553
R,g,1735660011576
P,Key.space,1735660011604
R,Key.space,1735660011681
P,w,1735660011913
R,w,1735660011963
P,Key.backspace,1735660012300
R,Key.backspace,1735660012350
P,r,1735660012385
R,r,1735660012471
P,i,1735660012520
R,i,1735660012571
P,g,1735660012624
R,g,1735660012666
P,h,1735660012733
R,h,1735660012796
P,t,1735660012826
R,t,1735660012885
P,Key.space,1735660012930
R,Key.space,1735660012993
P,t,1735660013042
R,t,1735660013108
P,o,1735660013120
R,o,1735660013193
P,Key.space,1735660013202
R,Key.space,1735660013261
P,i,1735660013451
P,n,1735660013511
R,i,1735660013583
R,n,1735660013623
P,s,1735660013696
R,s,1735660013762
P,i,1735660014243
R,i,1735660014335
P,Key.backspace,1735660014600
R,Key.backspace,1735660014649
P,p,1735660014791
R,p,1735660014880
P,i,1735660015006
R,i,1735660015090
P,r,1735660015143
P,e,1735660015220
R,r,1735660015264
R,e,1735660015305
P,Key.space,1735660015317
P,t,1735660015406
R,Key.space,1735660015419
P,h,1735660015489
R,t,1735660015497
R,h,1735660015594
P,e,1735660015635
R,e,1735660015722
P,s,1735660015799
P,e,1735660015889
R,s,1735660015932
R,e,1735660015972
P,Key.space,1735660015984
R,Key.space,1735660016093
P,s,1735660016132
R,s,1735660016211
P,t,1735660016311
R,t,1735660016410
P,u,1735660016418
R,u,1735660016489
P,d,1735660016536
R,d,1735660016589
P,e,1735660016666
R,e,1735660016771
P,n,1735660016776
R,n,1735660016865
P,t,1735660016882
P,s,1735660017034
R,t,1735660017045
R,s,1735660017076
P,Key.space,1735660017095
R,Key.space,1735660017193
P,t,1735660017198
R,t,1735660017279
P,o,1735660017314
P,Key.space,1735660017374
R,o,1735660017391
R,Key.space,1735660017453
P,s,1735660017549
R,s,1735660017637
P,t,1735660017809
R,t,1735660017909
P,u,1735660017966
R,u,1735660018058
P,d,1735660018082
R,d,1735660018183
P,y,1735660018212
R,y,1735660018295
P,Key.space,1735660018393
R,Key.space,1735660018501
P,a,1735660018528
R,a,1735660018632
P,n,1735660018644
P,d,1735660018696
R,n,1735660018700
R,d,1735660018770
P,Key.space,1735660018792
R,Key.space,1735660018864
P,m,1735660019804
R,m,1735660019887
P,a,1735660019921
P,k,1735660020008
R,a,1735660020013
R,k,1735660020078
P,e,1735660020118
R,e,1735660020179
P,Key.space,1735660020199
R,Key.space,1735660020274
P,t,1735660020325
P,h,1735660020405
R,t,1735660020408
R,h,1735660020470
P,e,1735660020519
R,e,1735660020594
P,e,1735660020623
R,e,1735660020657
P,Key.backspace,1735660021287
R,Key.backspace,1735660021339
P,m,1735660021492
R,m,1735660021575
P,e,1735660021576
R,e,1735660021651
P,s,1735660021779
R,s,1735660021888
P,Key.backspace,1735660022414
R,Key.backspace,1735660022467
P,Key.backspace,1735660022848
R,Key.backspace,1735660022912
P,s,1735660022987
R,s,1735660023088
P,e,1735660023110
R,e,1735660023216
P,l,1735660023238
R,l,1735660023307
P,v,1735660023363
R,v,1735660023476
P,e,1735660023598
P,s,1735660023678
R,e,1735660023745
R,s,1735660023784
P,Key.space,1735660023786
R,Key.space,1735660023889
P,b,1735660024008
R,b,1735660024062
P,e,1735660024173
R,e,1735660024241
P,t,1735660024437
R,t,1735660024537
P,t,1735660024849
R,t,1735660024950
P,e,1735660025054
P,r,1735660025132
R,e,1735660025169
R,r,1735660025211
P,Key.space,1735660025343
R,Key.space,1735660025471
P,c,1735660026397
R,c,1735660026490
P,i,1735660026517
R,i,1735660026581
P,t,1735660026662
R,t,1735660026727
P,i,1735660026756
R,i,1735660026832
P,z,1735660026966
R,z,1735660027058
P,e,1735660027174
P,r,1735660027282
R,e,1735660027304
R,r,1735660027385
P,Key.backspace,1735660027890
R,Key.backspace,1735660027938
P,n,1735660028092
R,n,1735660028167
P,s,1735660028202
R,s,1735660028280
P,.,1735660028307
R,.,1735660028397
P,Key.space,1735660028421
R,Key.space,1735660028475
P,Key.space,1735660028543
P,Key.shift,1735660028600
R,Key.space,1735660028609
P,T,1735660028713
R,Key.shift,1735660028736
R,T,1735660028781
P,h,1735660028786
R,h,1735660028859
P,e,1735660028862
R,e,1735660028954
P,Key.space,1735660028976
R,Key.space,1735660029036
P,s,1735660029398
R,s,1735660029469
P,t,1735660029604
R,t,1735660029661
P,u,1735660029678
