Press or Release,Key,Time
P,Key.ctrl,1735660007617
P,v,1735660007775
R,Key.ctrl,1735660007906
R,v,1735660007919
P,i,1735660013008
R,i,1735660013105
P,t,1735660013248
R,t,1735660013328
P,Key.space,1735660013473
P,w,1735660013552
R,Key.space,1735660013567
R,w,1735660013666
P,a,1735660013775
P,s,1735660013840
R,a,1735660013887
R,s,1735660014014
P,Key.space,1735660014112
R,Key.space,1735660014207
P,h,1735660014575
R,h,1735660014672
P,e,1735660014692
R,e,1735660014784
P,l,1735660014913
R,l,1735660014999
P,p,1735660015119
R,p,1735660015218
P,f,1735660015313
R,f,1735660015408
P,u,1735660015554
R,u,1735660015631
P,l,1735660015808
R,l,1735660015904
P,Key.space,1735660016033
R,Key.space,1735660016112
P,h,1735660016740
R,h,1735660016816
P,o,1735660016976
R,o,1735660017056
P,w,1735660017104
R,w,1735660017200
P,Key.space,1735660017248
R,Key.space,1735660017327
P,t,1735660017888
R,t,1735660017968
P,o,1735660018240
R,o,1735660018336
P,Key.space,1735660018480
R,Key.space,1735660018560
P,o,1735660018865
R,o,1735660018944
P,v,1735660019120
P,e,1735660019200
R,v,1735660019216
P,r,1735660019281
R,e,1735660019343
R,r,1735660019424
P,c,1735660020288
R,c,1735660020432
P,o,1735660020496
R,o,1735660020560
P,m,1735660020702
R,m,1735660020798
P,e,1735660020815
R,e,1735660020912
P,Key.space,1735660020960
R,Key.space,1735660021039
P,i,1735660021775
R,i,1735660021856
P,n,1735660021951
R,n,1735660022032
P,s,1735660022144
R,s,1735660022239
P,e,1735660022464
R,e,1735660022577
P,c,1735660023620
R,c,1735660023727
P,u,1735660023791
R,u,1735660023887
P,r,1735660023983
R,r,1735660024079
P,i,1735660024479
R,i,1735660024576
P,t,1735660025375
R,t,1735660025458
P,y,1735660025567
R,y,1735660025649
P,Key.space,1735660025791
R,Key.space,1735660025855
P,a,1735660058001
R,a,1735660058144
P,n,1735660058272
P,d,1735660058321
R,n,1735660058351
R,d,1735660058448
P,Key.space,1735660058479
R,Key.space,1735660058561
P,g,1735660059280
R,g,1735660059359
P,i,1735660059599
R,i,1735660059696
P,v,1735660059823
R,v,1735660059919
P,i,1735660060064
R,i,1735660060159
P,n,1735660060287
R,n,1735660060384
P,g,1735660060543
R,g,1735660060623
P,Key.space,1735660060769
R,Key.space,1735660060847
P,p,1735660061600
R,p,1735660061680
P,o,1735660061794
R,o,1735660061872
P,s,1735660061954
R,s,1735660062049
P,i,1735660063520
R,i,1735660063600
P,t,1735660063760
R,t,1735660063858
P,i,1735660064000
R,i,1735660064096
P,v,1735660064241
R,v,1735660064336
P,e,1735660064432
R,e,1735660064528
P,Key.space,1735660064546
R,Key.space,1735660064624
P,Key.backspace,1735660065424
R,Key.backspace,1735660065520
P,Key.backspace,1735660065824
R,Key.backspace,1735660065923
P,i,1735660066992
R,i,1735660067088
P,t,1735660067168
R,t,1735660067265
P,y,1735660067360
R,y,1735660067442
P,Key.space,1735660067584
R,Key.space,1735660067685
P,t,1735660068896
R,t,1735660068992
P,o,1735660069200
R,o,1735660069281
P,Key.space,1735660069440
R,Key.space,1735660069536
P,a,1735660069664
R,a,1735660069744
P,l,1735660069744
R,l,1735660069810
P,l,1735660069905
R,l,1735660069970
P,Key.space,1735660070096
R,Key.space,1735660070161
P,o,1735660070849
R,o,1735660070945
P,t,1735660071233
R,t,1735660071316
P,h,1735660071442
R,h,1735660071538
P,e,1735660071569
P,r,1735660071664
R,e,1735660071712
R,r,1735660071823
P,Key.space,1735660072079
R,Key.space,1735660072160
P,s,1735660072719
R,s,1735660072865
P,t,1735660073009
R,t,1735660073089
P,u,1735660073264
R,u,1735660073361
P,d,1735660073521
R,d,1735660073616
P,e,1735660073745
R,e,1735660073856
P,n,1735660073936
R,n,1735660074016
P,t,1735660074193
R,t,1735660074289
P,s,1735660074289
R,s,1735660074384
P,Key.space,1735660074448
R,Key.space,1735660074513
P,h,1735660096562
R,h,1735660096640
P,o,1735660096784
R,o,1735660096868
P,w,1735660096960
R,w,1735660097040
P,Key.space,1735660097088
R,Key.space,1735660097168
P,t,1735660098513
R,t,1735660098576
P,o,1735660098785
R,o,1735660098880
P,Key.space,1735660099009
R,Key.space,1735660099103
P,f,1735660099248
R,f,1735660099359
P,i,1735660099488
R,i,1735660099567
P,g,1735660100032
R,g,1735660100111
P,h,1735660100211
R,h,1735660100273
P,t,1735660100401
R,t,1735660100496
P,Key.space,1735660100626
R,Key.space,1735660100722
P,w,1735660101280
R,w,1735660101360
P,i,1735660101489
R,i,1735660101600
P,t,1735660101731
R,t,1735660101808
P,h,1735660101920
R,h,1735660102000
P,Key.space,1735660102129
R,Key.space,1735660102209
P,a,1735660102353
R,a,1735660102448
P,l,1735660102688
R,l,1735660102755
P,l,1735660102832
R,l,1735660102897
P,Key.space,1735660103065
R,Key.space,1735660103121
P,t,1735660103794
R,t,1735660103856
P,h,1735660103984
R,h,1735660104064
P,i,1735660104161
R,i,1735660104241
P,s,1735660104290
R,s,1735660104369
P,Key.space,1735660104433
R,Key.space,1735660104513
P,a,1735660105089
R,a,1735660105200
P,n,1735660105232
R,n,1735660105314
P,d,1735660105568
R,d,1735660105664
P,Key.space,1735660105858
R,Key.space,1735660105936
P,h,1735660107280
R,h,1735660107363
P,o,1735660107473
R,o,1735660107569
P,w,1735660107633
R,w,1735660107713
P,Key.space,1735660107764
R,Key.space,1735660107826
P,t,1735660111792
R,t,1735660111872
P,h,1735660111970
R,h,1735660112064
P,e,1735660112064
R,e,1735660112128
P,y,1735660112160
R,y,1735660112240
P,Key.space,1735660112384
R,Key.space,1735660112464
P,w,1735660112930
R,w,1735660113025
P,e,1735660113296
R,e,1735660113408
P,Key.backspace,1735660114929
R,Key.backspace,1735660115024
P,h,1735660115344
R,h,1735660115425
P,e,1735660115440
P,r,1735660115570
R,e,1735660115600
R,r,1735660115680
P,e,1735660116305
R,e,1735660116416
P,Key.space,1735660117057
R,Key.space,1735660117152
P,b,1735660117824
R,b,1735660117909
P,r,1735660117968
R,r,1735660118065
P,a,1735660118112
R,a,1735660118240
P,v,1735660118400
R,v,1735660118496
P,e,1735660118497
R,e,1735660118592
P,Key.space,1735660118642
R,Key.space,1735660118705
P,e,1735660119139
R,e,1735660119232
P,n,1735660119424
R,n,1735660119504
P,o,1735660119904
R,o,1735660120000
P,u,1735660120336
R,u,1735660120416
P,g,1735660120594
R,g,1735660120674
P,h,1735660120784
R,h,1735660120866
P,Key.space,1735660120982
R,Key.space,1735660121040
P,a,1735660133168
R,a,1735660133280
P,l,1735660133681
R,l,1735660133760
P,l,1735660133825
R,l,1735660133904
P,Key.space,1735660134048
R,Key.space,1735660134129
P,a,1735660134384
R,a,1735660134499
P,r,1735660134576
R,r,1735660134704
P,e,1735660134752
R,e,1735660134865
P,Key.space,1735660134993
R,Key.space,1735660135073
P,Key.space,1735660170721
R,Key.space,1735660170784
P,h,1735660170977
R,h,1735660171073
P,a,1735660171089
R,a,1735660171186
P,b,1735660171217
R,b,1735660171297
P,e,1735660171298
R,e,1735660171395
P,Key.backspace,1735660171841
R,Key.backspace,1735660172002
P,Key.backspace,1735660172193
R,Key.backspace,1735660172274
P,Key.backspace,1735660172528
R,Key.backspace,1735660172625
P,Key.backspace,1735660172721
R,Key.backspace,1735660172802
P,Key.backspace,1735660172900
R,Key.backspace,1735660172962
P,Key.backspace,1735660198017
R,Key.backspace,1735660198098
P,b,1735660203569
R,b,1735660203665
P,e,1735660204116
R,e,1735660204210
P,h,1735660204963
R,h,1735660205041
P,a,1735660205057
R,a,1735660205171
P,v,1735660206065
R,v,1735660206145
P,e,1735660206146
R,e,1735660206243
P,Key.space,1735660206291
R,Key.space,1735660206353
P,t,1735660207762
R,t,1735660207857
P,o,1735660208066
R,o,1735660208163
P,Key.space,1735660208290
R,Key.space,1735660208370
P,Key.backspace,1735660211265
R,Key.backspace,1735660211409
P,Key.space,1735660221761
R,Key.space,1735660221873
P,f,1735660222801
R,f,1735660222914
P,o,1735660223091
R,o,1735660223175
P,r,1735660223203
R,r,1735660223298
P,Key.space,1735660223345
R,Key.space,1735660223426
P,Key.space,1735660223538
R,Key.space,1735660223603
P,Key.backspace,1735660225873
R,Key.backspace,1735660226001
P,Key.right,1735660228658
R,Key.right,1735660228753
P,Key.right,1735660228850
R,Key.right,1735660228962
P,Key.backspace,1735660229538
R,Key.backspace,1735660229666
