Press or Release,Key,Time
P,Key.shift,1735660002946
P,H,1735660003040
R,Key.shift,1735660003073
R,h,1735660003089
P,e,1735660003229
R,e,1735660003286
P,l,1735660003913
R,l,1735660003975
P,l,1735660004045
R,l,1735660004103
P,o,1735660004188
R,o,1735660004280
P,w,1735660004298
R,w,1735660004378
P,Key.space,1735660004432
R,Key.space,1735660004502
P,w,1735660004595
R,w,1735660004684
P,Key.backspace,1735660004996
R,Key.backspace,1735660005054
P,Key.backspace,1735660005142
R,Key.backspace,1735660005166
P,Key.backspace,1735660005251
R,Key.backspace,1735660005314
P,Key.space,1735660005417
R,Key.space,1735660005520
P,w,1735660005553
R,w,1735660005642
P,o,1735660005662
R,o,1735660005740
P,r,1735660005760
R,r,1735660005876
P,l,1735660005901
R,l,1735660006006
P,d,1735660006037
R,d,1735660006118
P,.,1735660006432
R,.,1735660006515
P,Key.space,1735660006595
R,Key.space,1735660006634
P,Key.space,1735660006747
R,Key.space,1735660006824
P,Key.shift,1735660006880
P,I,1735660006933
R,Key.shift,1735660006996
R,i,1735660007002
P,s,1735660009491
R,s,1735660009560
P,Key.space,1735660009668
R,Key.space,1735660009723
P,w,1735660010057
R,w,1735660010156
P,a,1735660010277
P,s,1735660010317
R,a,1735660010363
R,s,1735660010424
P,m,1735660010547
R,m,1735660010666
P,Key.space,1735660010668
R,Key.space,1735660010764
P,w,1735660010943
R,w,1735660011018
P,o,1735660011021
R,o,1735660011105
P,r,1735660011131
R,r,1735660011197
P,k,1735660011224
R,k,1735660011293
P,i,1735660011377
P,n,1735660011472
R,i,1735660011505
R,n,1735660011530
P,g,1735660011534
R,g,1735660011593
P,Key.space,1735660011757
R,Key.space,1735660011837
P,p,1735660012126
R,p,1735660012227
P,r,1735660012241
R,r,1735660012315
P,o,1735660012377
R,o,1735660012474
P,p,1735660012584
R,p,1735660012685
P,e,1735660012714
P,r,1735660012786
R,e,1735660012839
R,r,1735660012866
P,l,1735660012933
R,l,1735660012996
P,y,1735660013097
R,y,1735660013163
P,Key.shift,1735660013383
P,?,1735660013496
R,?,1735660013557
R,Key.shift,1735660013607
P,Key.space,1735660013690
R,Key.space,1735660013744
P,Key.space,1735660013836
R,Key.space,1735660013882
P,Key.shift,1735660014595
P,H,1735660014717
R,Key.shift,1735660014736
R,h,1735660014802
P,o,1735660014847
P,w,1735660014902
R,o,1735660014920
R,w,1735660014976
P,Key.space,1735660015058
R,Key.space,1735660015126
P,d,1735660015146
R,d,1735660015220
P,o,1735660015251
R,o,1735660015329
P,Key.shift,1735660015470
P,I,1735660015588
R,Key.shift,1735660015620
R,i,1735660015688
P,Key.backspace,1735660016089
R,Key.backspace,1735660016148
P,Key.backspace,1735660016221
P,Key.space,1735660016280
R,Key.backspace,1735660016285
R,Key.space,1735660016320
P,Key.shift,1735660016442
R,Key.shift,1735660016496
P,Key.backspace,1735660016840
R,Key.backspace,1735660016891
P,o,1735660017225
R,o,1735660017312
P,Key.space,1735660017402
R,Key.space,1735660017463
P,Key.shift,1735660017528
P,I,1735660017614
R,Key.shift,1735660017652
R,i,1735660017670
P,Key.space,1735660017731
R,Key.space,1735660017829
P,k,1735660017899
P,n,1735660017956
P,o,1735660018036
R,k,1735660018039
R,n,1735660018101
R,o,1735660018128
P,w,1735660018144
R,w,1735660018218
P,Key.space,1735660018254
R,Key.space,1735660018337
P,t,1735660018374
P,h,1735660018465
R,t,1735660018471
R,h,1735660018517
P,e,1735660018562
R,e,1735660018637
P,Key.space,1735660018683
R,Key.space,1735660018736
P,d,1735660018861
P,a,1735660018947
R,d,1735660018953
P,t,1735660019055
R,a,1735660019065
P,a,1735660019149
R,t,1735660019193
P,Key.space,1735660019219
R,a,1735660019254
P,i,1735660019329
R,Key.space,1735660019346
R,i,1735660019418
P,s,1735660019453
R,s,1735660019506
P,Key.space,1735660019531
R,Key.space,1735660019608
P,c,1735660019627
P,a,1735660019735
R,c,1735660019773
R,a,1735660019868
P,p,1735660019869
