Press or Release,Key,Time
P,Key.shift,1735660005816
P,T,1735660006190
R,Key.shift,1735660006303
R,T,1735660006368
P,r,1735660007567
R,r,1735660007671
P,u,1735660007703
R,u,1735660007782
P,m,1735660008088
R,m,1735660008183
P,p,1735660008358
R,p,1735660008415
P,Key.space,1735660008671
R,Key.space,1735660008766
P,n,1735660009175
R,n,1735660009263
P,d,1735660009423
P,Key.space,1735660009502
R,d,1735660009543
R,Key.space,1735660009575
P,Key.backspace,1735660010967
R,Key.backspace,1735660011047
P,Key.backspace,1735660011134
R,Key.backspace,1735660011230
P,Key.backspace,1735660011944
R,Key.backspace,1735660012063
P,a,1735660012669
R,a,1735660012770
P,n,1735660012775
R,n,1735660012855
P,d,1735660013070
R,d,1735660013143
P,Key.space,1735660013366
R,Key.space,1735660013456
P,Key.shift,1735660014256
R,Key.shift,1735660014353
P,v,1735660014359
R,v,1735660014430
P,a,1735660014951
R,a,1735660015054
P,l,1735660015096
R,l,1735660015182
P,a,1735660015302
R,a,1735660015423
P,n,1735660015782
R,n,1735660015889
P,v,1735660016024
R,v,1735660016110
P,e,1735660016190
R,e,1735660016279
P,Key.space,1735660016319
R,Key.space,1735660016401
P,c,1735660016567
R,c,1735660016639
P,l,1735660017022
R,l,1735660017094
P,a,1735660017167
R,a,1735660017273
P,s,1735660017439
R,s,1735660017536
P,h,1735660017630
R,h,1735660017687
P,e,1735660017815
R,e,1735660017908
P,d,1735660018031
R,d,1735660018120
P,Key.space,1735660018143
R,Key.space,1735660018242
P,t,1735660018407
R,t,1735660018471
P,Key.backspace,1735660019057
R,Key.backspace,1735660019136
P,w,1735660020047
R,w,1735660020119
P,i,1735660020183
R,i,1735660020271
P,t,1735660020439
R,t,1735660020511
P,h,1735660020639
R,h,1735660020711
P,Key.space,1735660020856
R,Key.space,1735660020935
P,Key.shift,1735660021352
P,Z,1735660021639
R,Key.shift,1735660021696
R,Z,1735660021787
P,e,1735660022202
R,e,1735660022314
P,l,1735660022392
R,l,1735660022472
P,e,1735660022584
R,e,1735660022680
P,s,1735660023968
R,s,1735660024072
P,k,1735660024074
R,k,1735660024176
P,y,1735660024344
R,y,1735660024400
P,y,1735660024511
R,y,1735660024647
P,Key.space,1735660024830
R,Key.space,1735660024911
P,a,1735660026191
R,a,1735660026287
P,t,1735660026289
R,t,1735660026367
P,Key.space,1735660026665
R,Key.space,1735660026743
P,t,1735660027895
R,t,1735660027967
P,h,1735660028111
R,h,1735660028119
P,h,1735660028135
R,h,1735660028150
P,Key.backspace,1735660028616
R,Key.backspace,1735660028695
P,e,1735660028879
R,e,1735660028975
P,n,1735660028999
R,n,1735660029071
P,s,1735660029215
R,s,1735660029295
P,e,1735660029439
R,e,1735660029545
P,Key.space,1735660029574
R,Key.space,1735660029655
P,Key.shift,1735660030490
P,O,1735660030603
R,Key.shift,1735660030659
R,O,1735660030695
P,v,1735660030895
R,v,1735660030967
P,a,1735660031272
R,a,1735660031367
P,l,1735660031463
R,l,1735660031544
P,Key.space,1735660032143
R,Key.space,1735660032226
P,o,1735660032536
R,o,1735660032610
P,f,1735660032871
