Press or Release,Key,Time
P,a,1751519112750
P,h,1751519112936
P,v,1751519112939
R,a,1751519112956
R,v,1751519113103
P,b,1751519113108
R,h,1751519113133
P,a,1751519113139
P,h,1751519113277
R,b,1751519113297
R,a,1751519113299
P,v,1751519113302
R,h,1751519113371
R,v,1751519113444
P,a,1751519113476
P,b,1751519113512
P,v,1751519113632
P,p,1751519113635
R,a,1751519113677
P,u,1751519113765
R,p,1751519113778
R,v,1751519113823
P,a,1751519113852
P,p,1751519113864
R,u,1751519113873
P,v,1751519114006
R,a,1751519114037
P,u,1751519114038
R,p,1751519114047
R,u,1751519114135
P,p,1751519114146
R,v,1751519114181
P,a,1751519114213
R,p,1751519114311
P,v,1751519114365
R,a,1751519114389
P,p,1751519114391
R,v,1751519114515
P,a,1751519114551
R,p,1751519114553
P,u,1751519114553
R,u,1751519114648
P,p,1751519114660
P,v,1751519114682
R,a,1751519114710
R,v,1751519114800
R,p,1751519114824
P,a,1751519114859
R,b,1751519114862
P,u,1751519114873
P,b,1751519114876
R,u,1751519114940
P,p,1751519114956
P,v,1751519114983
R,a,1751519115004
P,j,1751519115104
R,p,1751519115106
R,v,1751519115139
P,a,1751519115149
R,j,1751519115189
P,p,1751519115195
P,v,1751519115311
R,p,1751519115338
R,a,1751519115338
P,u,1751519115389
R,u,1751519115447
R,v,1751519115462
P,p,1751519115508
P,a,1751519115510
R,p,1751519115614
P,v,1751519115648
R,a,1751519115668
P,u,1751519115680
R,u,1751519115761
P,p,1751519115771
R,v,1751519115775
P,a,1751519115819
P,v,1751519115938
R,a,1751519115943
R,p,1751519115952
P,p,1751519116034
R,v,1751519116166
R,b,1751519116184
P,b,1751519116232
R,p,1751519116255
P,a,1751519116316
P,v,1751519116400
R,b,1751519116431
R,a,1751519116471
R,v,1751519116548
P,Key.enter,1751519116661
R,Key.enter,1751519116778
P,a,1751519119671
P,v,1751519119814
R,a,1751519119838
R,v,1751519119943
P,a,1751519120021
P,h,1751519120070
P,v,1751519120123
R,h,1751519120126
P,b,1751519120167
R,a,1751519120171
P,o,1751519120219
R,v,1751519120234
R,o,1751519120244
P,a,1751519120322
P,v,1751519120399
R,a,1751519120444
R,v,1751519120516
P,p,1751519120570
P,a,1751519120608
P,v,1751519120681
R,a,1751519120754
R,b,1751519120774
R,v,1751519120798
R,p,1751519120834
P,Key.cmd,1751519122263
P,c,1751519122531
R,Key.cmd,1751519122564
R,c,1751519122636
P,Key.cmd,1751519123128
P,v,1751519123223
R,Key.cmd,1751519123310
R,v,1751519123311
P,v,1751519123508
R,v,1751519123604
P,Key.space,1751519124252
R,Key.space,1751519124437
P,h,1751519124614
P,v,1751519124725
P,b,1751519124727
R,h,1751519124745
P,o,1751519124746
R,v,1751519124836
P,a,1751519124868
R,o,1751519124876
P,v,1751519124997
R,a,1751519125023
R,v,1751519125139
P,a,1751519125222
P,v,1751519125319
R,a,1751519125369
R,v,1751519125450
R,b,1751519125589
P,a,1751519125635
P,v,1751519125674
R,a,1751519125719
P,o,1751519125743
P,b,1751519125762
R,b,1751519125789
R,v,1751519125841
P,b,1751519125903
R,o,1751519125911
P,a,1751519125960
R,b,1751519125989
P,v,1751519126110
R,a,1751519126129
R,v,1751519126259
P,a,1751519126334
P,v,1751519126478
R,a,1751519126491
R,v,1751519126596
P,b,1751519126613
P,p,1751519126620
P,a,1751519126709
R,b,1751519126713
R,a,1751519126856
P,v,1751519126857
P,b,1751519126875
R,b,1751519127014
R,v,1751519127014
R,p,1751519127131
P,a,1751519129030
P,v,1751519129224
R,a,1751519129268
P,h,1751519129271
P,b,1751519129357
R,h,1751519129364
R,v,1751519129392
P,a,1751519129484
P,v,1751519129574
R,b,1751519129620
R,a,1751519129631
P,b,1751519129693
R,v,1751519129712
P,a,1751519129834
P,v,1751519129950
R,a,1751519129973
P,o,1751519129974
R,v,1751519130060
R,o,1751519130109
P,a,1751519130170
P,v,1751519130258
R,b,1751519130265
P,o,1751519130268
R,a,1751519130306
R,v,1751519130377
P,b,1751519130431
R,o,1751519130446
P,a,1751519130478
P,v,1751519130568
P,o,1751519130571
R,b,1751519130587
R,a,1751519130619
R,v,1751519130698
R,o,1751519130766
P,b,1751519130773
P,a,1751519130819
R,b,1751519130832
P,o,1751519130876
P,v,1751519130924
R,a,1751519130989
P,b,1751519131060
R,o,1751519131064
R,v,1751519131114
P,o,1751519131193
P,a,1751519131198
R,b,1751519131235
P,b,1751519131293
P,v,1751519131306
R,a,1751519131341
R,o,1751519131384
R,v,1751519131437
P,o,1751519131477
R,b,1751519131505
P,a,1751519131557
P,b,1751519131651
P,v,1751519131657
R,o,1751519131670
R,a,1751519131695
P,o,1751519131823
R,v,1751519131837
P,a,1751519131910
R,o,1751519131943
P,v,1751519132048
R,a,1751519132092
R,b,1751519132099
P,o,1751519132108
R,v,1751519132185
P,b,1751519132279
P,a,1751519132299
R,o,1751519132313
P,v,1751519132421
P,o,1751519132439
R,a,1751519132457
R,b,1751519132458
P,b,1751519132521
R,v,1751519132608
R,o,1751519132611
P,a,1751519132642
P,o,1751519132734
P,v,1751519132790
R,a,1751519132832
R,o,1751519132941
R,v,1751519132972
P,o,1751519132992
P,a,1751519133050
R,b,1751519133053
P,v,1751519133181
R,a,1751519133217
P,b,1751519133233
R,o,1751519133235
R,b,1751519133365
R,v,1751519133365
P,o,1751519133368
P,a,1751519133434
R,o,1751519133488
P,v,1751519133609
R,a,1751519133656
P,b,1751519133780
R,v,1751519133782
P,a,1751519133856
R,b,1751519133960
P,v,1751519133984
R,a,1751519134025
P,p,1751519134041
R,v,1751519134096
P,b,1751519134124
R,b,1751519134170
P,a,1751519134179
P,v,1751519134308
P,b,1751519134346
R,a,1751519134356
R,p,1751519134368
R,v,1751519134492
P,p,1751519134511
P,a,1751519134549
R,b,1751519134553
R,p,1751519134694
P,v,1751519134695
P,b,1751519134698
R,a,1751519134734
P,p,1751519134791
R,b,1751519134810
R,v,1751519134845
P,a,1751519134894
R,p,1751519134949
P,v,1751519135033
R,a,1751519135069
R,v,1751519135245
P,9,1751519135281
R,9,1751519135393
P,a,1751519135493
P,8,1751519135627
P,v,1751519135633
R,a,1751519135704
R,v,1751519135822
R,8,1751519135853
P,a,1751519135896
P,p,1751519135961
P,v,1751519136039
R,a,1751519136098
R,p,1751519136182
R,v,1751519136182
