Press or Release,Key,Time
P,k,1735660004197
R,k,1735660004326
P,Key.backspace,1735660005476
R,Key.backspace,1735660005548
P,l,1735660006098
P,i,1735660006228
R,l,1735660006276
R,i,1735660006358
P,k,1735660006475
R,k,1735660006590
P,e,1735660006660
R,e,1735660006829
P,Key.space,1735660007140
R,Key.space,1735660007333
P,t,1735660007991
R,t,1735660008114
P,w,1735660008276
R,w,1735660008412
P,Key.backspace,1735660008764
R,Key.backspace,1735660008842
P,Key.backspace,1735660008923
R,Key.backspace,1735660009016
P,Key.backspace,1735660009078
R,Key.backspace,1735660009156
P,s,1735660009534
R,s,1735660009666
P,w,1735660010070
R,w,1735660010284
P,Key.backspace,1735660010827
R,Key.backspace,1735660010883
P,Key.backspace,1735660010957
R,Key.backspace,1735660011036
P,Key.space,1735660011246
R,Key.space,1735660011421
P,s,1735660012134
R,s,1735660012228
P,w,1735660012350
R,w,1735660012500
P,e,1735660012636
R,e,1735660012709
P,e,1735660012796
R,e,1735660012879
P,t,1735660012942
R,t,1735660013060
P,Key.space,1735660013211
R,Key.space,1735660013323
P,w,1735660013780
P,h,1735660013885
R,w,1735660013891
R,h,1735660013996
P,a,1735660014028
R,a,1735660014182
P,t,1735660014220
R,t,1735660014357
P,Key.space,1735660014484
R,Key.space,1735660014636
P,h,1735660014679
R,h,1735660014841
P,a,1735660014941
R,a,1735660015132
P,p,1735660015346
R,p,1735660015436
P,p,1735660015484
R,p,1735660015591
P,e,1735660016258
R,e,1735660016388
P,Key.backspace,1735660017620
R,Key.backspace,1735660017683
P,e,1735660018292
R,e,1735660018430
P,n,1735660018484
P,i,1735660018571
R,n,1735660018618
R,i,1735660018694
P,n,1735660018803
R,n,1735660018870
P,g,1735660018923
R,g,1735660019070
P,Key.space,1735660019212
R,Key.space,1735660019356
P,s,1735660019811
R,s,1735660019942
P,w,1735660020042
P,u,1735660020212
R,w,1735660020218
R,u,1735660020309
P,n,1735660020477
R,n,1735660020574
P,Insert,1735660020918
R,Insert,1735660020979
P,Key.backspace,1735660021564
R,Key.backspace,1735660021620
P,Key.backspace,1735660021724
R,Key.backspace,1735660021780
P,u,1735660022692
R,u,1735660022780
P,n,1735660022918
R,n,1735660022998
P,s,1735660023102
R,s,1735660023283
P,w,1735660023532
R,w,1735660023708
P,Key.backspace,1735660024107
R,Key.backspace,1735660024173
P,Key.backspace,1735660024269
R,Key.backspace,1735660024332
P,Key.backspace,1735660024427
R,Key.backspace,1735660024492
P,Key.backspace,1735660024604
R,Key.backspace,1735660024660
P,Key.backspace,1735660024774
R,Key.backspace,1735660024838
P,Key.backspace,1735660024926
R,Key.backspace,1735660024972
P,s,1735660025580
R,s,1735660025716
P,u,1735660026132
R,u,1735660026222
P,n,1735660026332
R,n,1735660026438
P,s,1735660026522
R,s,1735660026732
P,e,1735660026835
R,e,1735660027021
P,t,1735660027090
R,t,1735660027267
P,s,1735660027620
R,s,1735660027780
P,Key.space,1735660027834
R,Key.space,1735660028066
P,g,1735660028620
R,g,1735660028767
P,e,1735660028892
R,e,1735660028995
P,t,1735660029077
R,t,1735660029204
P,Key.space,1735660029285
R,Key.space,1735660029445
P,m,1735660029454
R,m,1735660029556
P,u,1735660029644
R,u,1735660029746
P,c,1735660029820
R,c,1735660029982
P,h,1735660029982
R,h,1735660030093
P,Key.space,1735660030260
R,Key.space,1735660030494
P,b,1735660030572
R,b,1735660030692
P,e,1735660030883
R,e,1735660030990
P,t,1735660031102
R,t,1735660031166
P,t,1735660031245
R,t,1735660031332
P,e,1735660031453
P,r,1735660031558
R,e,1735660031614
R,r,1735660031684
P,Key.space,1735660031788
R,Key.space,1735660031926
P,t,1735660032212
R,t,1735660032332
P,h,1735660032349
R,h,1735660032467
P,a,1735660032549
R,a,1735660032716
P,n,1735660032731
R,n,1735660032845
P,Key.space,1735660032925
P,t,1735660033116
R,Key.space,1735660033142
R,t,1735660033244
P,h,1735660033262
P,i,1735660033355
R,h,1735660033403
R,i,1735660033515
P,s,1735660033596
R,s,1735660034027
P,Key.space,1735660034186
R,Key.space,1735660034347
P,e,1735660034643
R,e,1735660034854
P,x,1735660035738
R,x,1735660035980
P,p,1735660036053
R,p,1735660036181
