Press or Release,Key,Time
P,i,1735660003855
R,i,1735660004023
P,Key.space,1735660004173
R,Key.space,1735660004367
P,l,1735660004407
R,l,1735660004575
P,i,1735660004615
R,i,1735660004751
P,k,1735660004830
R,k,1735660004967
P,e,1735660005045
P,Key.space,1735660005175
R,e,1735660005215
R,Key.space,1735660005335
P,t,1735660005461
P,h,1735660005535
R,t,1735660005615
R,h,1735660005743
P,e,1735660005847
P,Key.space,1735660005895
R,e,1735660006023
R,Key.space,1735660006071
P,n,1735660007246
R,n,1735660007415
P,a,1735660007447
R,a,1735660007622
P,t,1735660008373
R,t,1735660008535
P,u,1735660008631
R,u,1735660008815
P,r,1735660009062
R,r,1735660009223
P,e,1735660009303
R,e,1735660009463
P,Key.space,1735660009486
R,Key.space,1735660009671
P,i,1735660010575
R,i,1735660010726
P,Key.space,1735660010775
P,l,1735660010911
R,Key.space,1735660011007
R,l,1735660011037
P,i,1735660011134
R,i,1735660011255
P,k,1735660011343
R,k,1735660011479
P,e,1735660011486
P,Key.space,1735660011623
R,e,1735660011645
R,Key.space,1735660011783
P,t,1735660011951
R,t,1735660012087
P,h,1735660012159
R,h,1735660012303
P,e,1735660012439
R,e,1735660012591
P,Key.space,1735660012631
R,Key.space,1735660012807
P,p,1735660013311
R,p,1735660013463
P,l,1735660013983
R,l,1735660014133
P,a,1735660014199
R,a,1735660014334
P,c,1735660014566
R,c,1735660014710
P,e,1735660014725
R,e,1735660014895
P,.,1735660015847
R,.,1735660016006
P,Key.space,1735660016687
R,Key.space,1735660016879
P,s,1735660017053
R,s,1735660017246
P,o,1735660017286
R,o,1735660017454
P,Key.space,1735660017478
R,Key.space,1735660017662
P,g,1735660018006
R,g,1735660018189
P,o,1735660018246
R,o,1735660018334
P,o,1735660018406
R,o,1735660018534
P,d,1735660018614
R,d,1735660018798
P,Key.space,1735660018822
R,Key.space,1735660018998
P,p,1735660020294
R,p,1735660020478
P,l,1735660020614
R,l,1735660020760
P,a,1735660020869
R,a,1735660021062
P,c,1735660021286
R,c,1735660021446
P,e,1735660021534
R,e,1735660021701
P,Key.space,1735660021934
R,Key.space,1735660022126
P,n,1735660023997
R,n,1735660024182
P,a,1735660024205
R,a,1735660024366
P,t,1735660024830
R,t,1735660024974
P,u,1735660025006
R,u,1735660025190
P,r,1735660025358
R,r,1735660025566
P,e,1735660026454
R,e,1735660026662
P,Key.space,1735660026925
R,Key.space,1735660027102
P,i,1735660027357
R,i,1735660027542
P,s,1735660027678
R,s,1735660027870
P,Key.space,1735660027966
