Press or Release,Key,Time
P,y,1735660003327
R,y,1735660003424
P,t,1735660003464
R,t,1735660003529
P,y,1735660003529
P,a,1735660003544
R,y,1735660003692
R,a,1735660003720
P,f,1735660003737
P,y,1735660003824
R,f,1735660003836
P,a,1735660003891
P,t,1735660004006
R,y,1735660004010
R,a,1735660004116
R,t,1735660004123
P,y,1735660004133
P,t,1735660004251
R,y,1735660004254
P,a,1735660004262
R,a,1735660004478
P,v,1735660004500
R,v,1735660004545
R,t,1735660004581
P,Key.space,1735660004766
P,a,1735660005008
P,t,1735660005107
R,a,1735660005157
R,t,1735660005179
R,Key.space,1735660005207
P,u,1735660005215
R,u,1735660005302
P,Key.space,1735660005303
P,a,1735660005310
R,Key.space,1735660005388
R,a,1735660005461
P,u,1735660009580
P,i,1735660009606
R,i,1735660009681
R,u,1735660009765
P,h,1735660009833
P,a,1735660009856
R,h,1735660009910
R,a,1735660009976
P,h,1735660010041
P,a,1735660010174
P,j,1735660010212
R,h,1735660010220
R,j,1735660010341
R,a,1735660010394
P,j,1735660010533
P,a,1735660010580
R,j,1735660010636
R,a,1735660010774
P,a,1735660010968
R,a,1735660011146
P,h,1735660011199
P,i,1735660011373
R,h,1735660011378
P,o,1735660011432
P,a,1735660011443
P,f,1735660011514
R,a,1735660011537
R,o,1735660011582
R,i,1735660011589
R,f,1735660011750
P,i,1735660011758
P,o,1735660011762
P,a,1735660011773
R,o,1735660011863
R,i,1735660011873
P,h,1735660011902
R,a,1735660011965
R,h,1735660012001
P,o,1735660012037
P,i,1735660012050
P,a,1735660012144
R,i,1735660012228
R,o,1735660012252
R,a,1735660012348
P,Key.space,1735660012610
R,Key.space,1735660012791
P,a,1735660012830
P,k,1735660012840
P,j,1735660012844
R,j,1735660013049
R,k,1735660013049
P,f,1735660013098
R,a,1735660013143
P,j,1735660013300
R,f,1735660013306
P,a,1735660013320
P,h,1735660013374
R,j,1735660013391
P,f,1735660013513
R,a,1735660013561
R,h,1735660013594
P,o,1735660013596
P,i,1735660013631
R,f,1735660013698
R,i,1735660013700
P,h,1735660013714
R,o,1735660013730
P,a,1735660013745
P,f,1735660013883
P,o,1735660013894
R,h,1735660013897
P,i,1735660013899
R,a,1735660013939
P,h,1735660014045
R,i,1735660014065
R,o,1735660014073
R,f,1735660014111
P,a,1735660014124
P,o,1735660014238
R,h,1735660014263
P,i,1735660014267
P,f,1735660014299
R,a,1735660014383
P,h,1735660014418
R,i,1735660014466
P,a,1735660014601
R,f,1735660014625
P,i,1735660014701
R,h,1735660014720
R,o,1735660014806
R,i,1735660014824
P,f,1735660014843
R,a,1735660014875
R,f,1735660015028
P,a,1735660015036
R,a,1735660015202
P,b,1735660015230
R,b,1735660015384
P,i,1735660015546
P,u,1735660015550
P,e,1735660015645
R,i,1735660015665
R,u,1735660015709
P,f,1735660015721
P,t,1735660015747
R,t,1735660015813
R,f,1735660015820
