Press or Release,Key,Time
P,p,1735660009988
R,p,1735660010038
P,r,1735660010435
R,r,1735660010513
P,e,1735660010627
R,e,1735660010692
P,s,1735660011077
R,s,1735660011193
P,i,1735660011308
R,i,1735660011373
P,d,1735660011667
R,d,1735660011732
P,e,1735660011853
R,e,1735660011913
P,n,1735660012453
R,n,1735660012542
P,t,1735660012732
R,t,1735660012812
P,Key.space,1735660012994
R,Key.space,1735660013047
P,t,1735660013827
R,t,1735660013899
P,r,1735660014007
R,r,1735660014068
P,u,1735660014594
R,u,1735660014654
P,p,1735660015077
R,p,1735660015151
P,Key.backspace,1735660017033
R,Key.backspace,1735660017109
P,m,1735660017507
R,m,1735660017590
P,p,1735660017757
R,p,1735660017813
P,Key.comma,1735660023197
R,Key.comma,1735660023267
P,Key.space,1735660023412
R,Key.space,1735660023483
P,u,1735660024214
R,u,1735660024308
P,k,1735660024433
R,k,1735660024507
P,r,1735660024734
R,r,1735660024814
P,a,1735660025048
R,a,1735660025192
P,i,1735660025267
R,i,1735660025327
P,n,1735660025507
R,n,1735660025589
P,Key.space,1735660025692
R,Key.space,1735660025752
P,p,1735660025995
R,p,1735660026063
P,r,1735660026487
R,r,1735660026568
P,e,1735660026687
R,e,1735660026752
P,s,1735660027232
P,i,1735660027347
R,s,1735660027393
R,i,1735660027400
P,d,1735660027728
R,d,1735660027792
P,e,1735660027913
R,e,1735660027972
P,n,1735660028452
R,n,1735660028548
P,t,1735660028732
R,t,1735660028792
P,Key.space,1735660029012
R,Key.space,1735660029154
P,z,1735660033888
R,z,1735660034007
P,e,1735660034012
R,e,1735660034082
P,l,1735660034668
R,l,1735660034727
P,e,1735660035033
R,e,1735660035089
P,n,1735660035573
R,n,1735660035684
P,s,1735660036013
R,s,1735660036089
P,k,1735660036658
R,k,1735660036729
P,y,1735660036996
R,y,1735660037052
P,y,1735660037119
R,y,1735660037188
P,Key.space,1735660037494
R,Key.space,1735660037568
P,a,1735660043529
P,n,1735660043607
R,a,1735660043667
R,n,1735660043676
P,d,1735660043913
R,d,1735660043968
P,Key.space,1735660044148
R,Key.space,1735660044227
P,v,1735660044458
R,v,1735660044528
P,i,1735660045008
R,i,1735660045067
P,s,1735660045327
R,s,1735660045407
P,e,1735660045512
R,e,1735660045592
P,Key.space,1735660045737
R,Key.space,1735660045797
P,Key.backspace,1735660046417
R,Key.backspace,1735660046487
P,Key.backspace,1735660047288
R,Key.backspace,1735660047347
P,Key.backspace,1735660048332
R,Key.backspace,1735660048392
P,c,1735660048833
R,c,1735660048907
P,e,1735660049037
R,e,1735660049112
P,Key.space,1735660049308
R,Key.space,1735660049372
P,p,1735660049697
R,p,1735660049775
P,r,1735660050103
R,r,1735660050167
P,e,1735660050297
R,e,1735660050338
P,s,1735660050427
R,s,1735660050487
P,i,1735660051056
R,i,1735660051132
P,d,1735660051387
R,d,1735660051452
P,e,1735660051537
R,e,1735660051607
P,n,1735660052089
R,n,1735660052157
P,t,1735660052352
R,t,1735660052417
P,Key.space,1735660052567
R,Key.space,1735660052627
P,v,1735660057913
R,v,1735660057987
P,a,1735660058127
R,a,1735660058237
P,n,1735660058487
R,n,1735660058554
P,c,1735660058753
R,c,1735660058847
P,e,1735660058972
R,e,1735660059038
P,Key.space,1735660059221
R,Key.space,1735660059332
P,h,1735660066775
P,a,1735660066857
R,h,1735660066869
R,a,1735660066987
P,d,1735660067892
R,d,1735660067952
P,Key.space,1735660068127
R,Key.space,1735660068184
P,a,1735660068252
R,a,1735660068387
P,Key.space,1735660069528
R,Key.space,1735660069593
P,t,1735660070381
R,t,1735660070452
P,e,1735660070607
R,e,1735660070671
P,n,1735660071162
R,n,1735660071228
P,s,1735660071512
R,s,1735660071589
P,e,1735660071703
R,e,1735660071767
P,Key.space,1735660071928
R,Key.space,1735660072007
P,e,1735660072214
R,e,1735660072292
P,x,1735660072433
R,x,1735660072497
P,c,1735660072650
R,c,1735660072727
P,h,1735660073137
R,h,1735660073206
P,a,1735660073292
R,a,1735660073433
P,n,1735660073433
R,n,1735660073511
P,g,1735660074187
R,g,1735660074267
P,e,1735660074412
R,e,1735660074472
P,Key.space,1735660075452
R,Key.space,1735660075566
P,a,1735660082217
R,a,1735660082347
P,b,1735660082347
R,b,1735660082412
P,o,1735660083153
R,o,1735660083226
P,u,1735660083393
