Press or Release,Key,Time
P,s,1735660003234
R,s,1735660003393
P,t,1735660003520
R,t,1735660003600
P,u,1735660003871
R,u,1735660003967
P,d,1735660004048
R,d,1735660004176
P,e,1735660004288
R,e,1735660004400
P,n,1735660005871
R,n,1735660005970
P,t,1735660008975
R,t,1735660009074
P,s,1735660009076
R,s,1735660009200
P,Key.space,1735660009280
R,Key.space,1735660009359
P,w,1735660009567
R,w,1735660009679
P,a,1735660009792
P,s,1735660009936
R,a,1735660009968
R,s,1735660010098
P,Key.space,1735660010224
R,Key.space,1735660010304
P,Key.backspace,1735660011072
R,Key.backspace,1735660011184
P,Key.backspace,1735660011440
R,Key.backspace,1735660011536
P,Key.backspace,1735660013696
R,Key.backspace,1735660015056
P,c,1735660015986
R,c,1735660016144
P,o,1735660016304
R,o,1735660016400
P,a,1735660016416
R,a,1735660016561
P,c,1735660016673
R,c,1735660016832
P,h,1735660016849
R,h,1735660016944
P,Key.space,1735660017073
R,Key.space,1735660017183
P,f,1735660018145
R,f,1735660018271
P,e,1735660018400
R,e,1735660018513
P,a,1735660018688
R,a,1735660018785
P,Key.backspace,1735660019488
R,Key.backspace,1735660019650
P,e,1735660019823
R,e,1735660019935
P,l,1735660020095
R,l,1735660020192
P,Key.space,1735660020306
R,Key.space,1735660020383
P,p,1735660020609
R,p,1735660020704
P,r,1735660020816
R,r,1735660020895
P,o,1735660020943
R,o,1735660021039
P,d,1735660021265
R,d,1735660021363
P,u,1735660021520
P,c,1735660021584
R,u,1735660021601
R,c,1735660021713
P,Key.backspace,1735660022626
R,Key.backspace,1735660022687
P,Key.backspace,1735660022784
R,Key.backspace,1735660022864
P,Key.backspace,1735660023680
R,Key.backspace,1735660023794
P,u,1735660025631
R,u,1735660025714
P,d,1735660025744
R,d,1735660025938
P,Key.space,1735660025983
R,Key.space,1735660026080
P,b,1735660026451
R,b,1735660026545
P,e,1735660026881
R,e,1735660026994
P,c,1735660027249
R,c,1735660027392
P,a,1735660027439
R,a,1735660027600
P,u,1735660027807
R,u,1735660027903
P,s,1735660027935
R,s,1735660028064
P,e,1735660028377
R,e,1735660028480
P,Key.space,1735660028705
R,Key.space,1735660028799
P,o,1735660029394
P,f,1735660029472
R,o,1735660029488
R,f,1735660029616
P,Key.space,1735660029648
R,Key.space,1735660029743
P,t,1735660029935
R,t,1735660030016
P,h,1735660030128
R,h,1735660030223
P,Key.backspace,1735660030582
R,Key.backspace,1735660030673
P,Key.backspace,1735660031167
R,Key.backspace,1735660031265
P,h,1735660032031
R,h,1735660032115
P,i,1735660032223
R,i,1735660032320
P,s,1735660032370
R,s,1735660032479
P,Key.space,1735660032511
R,Key.space,1735660032594
P,s,1735660033152
R,s,1735660033264
P,t,1735660033553
R,t,1735660033632
P,u,1735660033825
R,u,1735660033920
P,d,1735660033985
R,d,1735660034144
P,e,1735660034272
R,e,1735660034368
P,n,1735660034417
R,n,1735660034515
P,t,1735660034721
R,t,1735660034816
P,s,1735660035023
R,s,1735660035154
P,Key.space,1735660035216
R,Key.space,1735660035312
P,h,1735660036450
R,h,1735660036527
P,o,1735660036710
R,o,1735660036801
P,w,1735660036896
R,w,1735660037007
P,Key.space,1735660037104
R,Key.space,1735660037200
P,g,1735660041600
R,g,1735660041682
P,e,1735660041682
R,e,1735660041777
P,t,1735660041835
R,t,1735660041921
P,Key.space,1735660042082
R,Key.space,1735660042160
P,m,1735660042611
R,m,1735660042705
P,o,1735660042883
R,o,1735660042976
P,t,1735660043184
R,t,1735660043264
P,i,1735660043490
R,i,1735660043568
P,v,1735660043745
R,v,1735660043858
P,a,1735660043905
R,a,1735660044016
P,t,1735660044096
R,t,1735660044192
P,e,1735660044224
R,e,1735660044306
P,d,1735660044416
R,d,1735660044544
P,Key.space,1735660044643
R,Key.space,1735660044723
P,t,1735660045683
R,t,1735660045776
P,o,1735660045968
R,o,1735660046064
P,Key.space,1735660046208
R,Key.space,1735660046304
P,s,1735660046497
R,s,1735660046656
P,h,1735660047184
R,h,1735660047265
P,i,1735660047361
R,i,1735660047458
P,n,1735660047568
P,e,1735660047618
R,n,1735660047632
R,e,1735660047730
P,Key.space,1735660047856
R,Key.space,1735660047955
P,o,1735660048128
R,o,1735660048226
P,n,1735660048304
R,n,1735660048416
P,e,1735660048432
R,e,1735660048513
P,Key.backspace,1735660049072
R,Key.backspace,1735660049184
P,Key.space,1735660049313
R,Key.space,1735660049392
P,t,1735660049569
R,t,1735660049632
P,e,1735660049664
P,h,1735660049745
P,r,1735660049826
R,h,1735660049840
R,e,1735660049858
R,r,1735660049936
P,e,1735660050002
R,e,1735660050112
P,Key.backspace,1735660050912
R,Key.backspace,1735660050960
P,Key.backspace,1735660051047
R,Key.backspace,1735660051121
P,Key.backspace,1735660051203
R,Key.backspace,1735660051264
P,Key.backspace,1735660051400
R,Key.backspace,1735660051442
P,h,1735660052448
R,h,1735660052528
P,e,1735660052528
P,r,1735660052656
R,e,1735660052690
R,r,1735660052784
P,e,1735660053008
R,e,1735660053075
P,Key.space,1735660053648
R,Key.space,1735660053744
P,o,1735660054832
R,o,1735660054928
P,w,1735660055200
R,w,1735660055344
P,n,1735660055410
R,n,1735660055504
P,Key.space,1735660055632
R,Key.space,1735660055713
P,w,1735660055969
R,w,1735660056080
P,h,1735660056368
R,h,1735660056464
P,i,1735660056576
R,i,1735660056690
P,t,1735660057009
R,t,1735660057088
P,h,1735660057266
R,h,1735660057344
P,Key.backspace,1735660057807
R,Key.backspace,1735660057904
P,Key.backspace,1735660058465
R,Key.backspace,1735660058544
P,Key.backspace,1735660058849
R,Key.backspace,1735660058977
P,Key.backspace,1735660059376
R,Key.backspace,1735660059456
P,i,1735660060480
R,i,1735660060560
P,t,1735660060736
R,t,1735660060816
P,h,1735660060928
R,h,1735660061008
P,o,1735660061489
P,p,1735660061491
R,o,1735660061568
R,p,1735660061569
P,Key.backspace,1735660062209
R,Key.backspace,1735660062401
P,u,1735660063173
R,u,1735660063248
P,t,1735660063424
R,t,1735660063504
P,Key.space,1735660063648
R,Key.space,1735660063728
P,a,1735660063826
P,n,1735660063872
R,a,1735660063932
R,n,1735660063936
P,y,1735660064129
R,y,1735660064209
P,o,1735660064592
R,o,1735660064688
P,n,1735660064771
R,n,1735660064864
P,s,1735660065536
R,s,1735660065680
P,Key.backspace,1735660066145
R,Key.backspace,1735660066280
P,e,1735660066288
R,e,1735660066384
P,s,1735660066514
R,s,1735660066675
P,Key.space,1735660066769
R,Key.space,1735660066833
P,Key.backspace,1735660067825
R,Key.backspace,1735660067922
P,Key.backspace,1735660068018
R,Key.backspace,1735660068115
P,Key.space,1735660068223
R,Key.space,1735660068320
P,h,1735660069137
R,h,1735660069217
P,e,1735660069265
R,e,1735660069361
P,l,1735660069536
R,l,1735660069617
P,p,1735660069760
R,p,1735660069872
P,s,1735660069921
R,s,1735660070080
P,Key.space,1735660070434
R,Key.space,1735660070577
P,Key.backspace,1735660071282
R,Key.backspace,1735660071391
P,Key.backspace,1735660071506
R,Key.backspace,1735660071568
P,Key.space,1735660071795
R,Key.space,1735660071937
P,a,1735660089472
R,a,1735660089634
P,n,1735660089728
P,d,1735660089760
R,n,1735660089808
R,d,1735660089904
P,Key.space,1735660089954
R,Key.space,1735660090032
P,h,1735660091776
R,h,1735660091857
P,e,1735660091904
R,e,1735660092001
P,Key.space,1735660092064
R,Key.space,1735660092144
P,l,1735660092642
R,l,1735660092737
P,e,1735660092737
R,e,1735660092832
P,a,1735660092928
R,a,1735660093136
P,c,1735660093137
R,c,1735660093330
P,e,1735660093553
R,e,1735660093649
P,Key.space,1735660093840
R,Key.space,1735660093938
P,Key.backspace,1735660095266
R,Key.backspace,1735660095361
P,Key.backspace,1735660095456
R,Key.backspace,1735660095536
P,Key.backspace,1735660096016
R,Key.backspace,1735660096166
P,v,1735660096561
P,e,1735660096769
R,v,1735660096786
R,e,1735660096930
P,Key.space,1735660097024
R,Key.space,1735660097139
P,t,1735660097953
R,t,1735660098033
P,h,1735660098162
R,h,1735660098257
P,e,1735660098257
P,r,1735660098419
R,e,1735660098449
R,r,1735660098592
P,Key.backspace,1735660099008
R,Key.backspace,1735660099154
P,m,1735660099520
R,m,1735660099584
P,Key.space,1735660099712
R,Key.space,1735660099793
P,t,1735660100274
R,t,1735660100338
P,o,1735660100528
R,o,1735660100625
P,Key.space,1735660100757
R,Key.space,1735660100848
P,s,1735660101008
R,s,1735660101153
P,h,1735660101203
R,h,1735660101280
P,i,1735660101440
R,i,1735660101536
P,n,1735660101634
R,n,1735660101714
P,e,1735660101760
R,e,1735660101874
P,Key.space,1735660101874
R,Key.space,1735660101969
P,o,1735660102144
R,o,1735660102240
P,n,1735660102336
R,n,1735660102433
P,Key.space,1735660102625
R,Key.space,1735660102720
P,t,1735660103026
R,t,1735660103105
P,h,1735660103216
P,e,1735660103297
R,h,1735660103312
P,r,1735660103425
R,e,1735660103472
R,r,1735660103554
P,e,1735660104548
R,e,1735660104641
P,Key.space,1735660104738
R,Key.space,1735660104836
P,o,1735660105058
R,o,1735660105170
P,w,1735660105280
R,w,1735660105441
P,n,1735660105444
R,n,1735660105537
P,Key.space,1735660111810
R,Key.space,1735660111959
P,w,1735660112722
R,w,1735660112833
P,h,1735660113040
R,h,1735660113120
P,i,1735660113234
R,i,1735660113329
P,c,1735660113330
P,h,1735660113474
R,c,1735660113490
R,h,1735660113569
P,Key.space,1735660113714
R,Key.space,1735660113792
P,w,1735660114018
R,w,1735660114160
P,a,1735660114242
P,s,1735660114352
R,a,1735660114402
R,s,1735660114528
P,Key.space,1735660114598
R,Key.space,1735660114673
P,g,1735660115489
R,g,1735660115569
P,o,1735660115746
R,o,1735660115826
P,o,1735660115889
R,o,1735660116000
P,d,1735660116051
R,d,1735660116209
P,Key.space,1735660116272
R,Key.space,1735660116352
