Press or Release,Key,Time
P,c,1735660004752
R,c,1735660004894
P,h,1735660004995
R,h,1735660005080
P,i,1735660005333
R,i,1735660005425
P,Key.backspace,1735660008494
R,Key.backspace,1735660008551
P,Key.backspace,1735660008639
R,Key.backspace,1735660008695
P,Key.backspace,1735660008875
R,Key.backspace,1735660008925
P,Key.shift,1735660009761
P,C,1735660010364
R,C,1735660010450
R,Key.shift,1735660010711
P,h,1735660011165
R,h,1735660011263
P,r,1735660011722
R,r,1735660011829
P,i,1735660011915
R,i,1735660012023
P,s,1735660012201
R,s,1735660012311
P,Key.space,1735660012327
R,Key.space,1735660012420
P,r,1735660012828
R,r,1735660012935
P,o,1735660013049
R,o,1735660013096
P,c,1735660013365
R,c,1735660013464
P,k,1735660013658
R,k,1735660013730
P,Key.space,1735660013864
R,Key.space,1735660013907
P,w,1735660014772
R,w,1735660014868
P,a,1735660014990
R,a,1735660015089
P,s,1735660015205
R,s,1735660015298
P,Key.space,1735660015314
R,Key.space,1735660015371
P,p,1735660019903
R,p,1735660019965
P,r,1735660020451
R,r,1735660020512
P,e,1735660020637
R,e,1735660020676
P,s,1735660020802
R,s,1735660020902
P,i,1735660021071
R,i,1735660021150
P,Key.backspace,1735660022080
R,Key.backspace,1735660022145
P,e,1735660022470
R,e,1735660022600
P,n,1735660022667
R,n,1735660022736
P,t,1735660022929
R,t,1735660023020
P,i,1735660023199
R,i,1735660023273
P,n,1735660023419
R,n,1735660023486
P,g,1735660023704
R,g,1735660023794
P,Key.space,1735660023840
R,Key.space,1735660023918
P,a,1735660024937
R,a,1735660025064
P,w,1735660025170
R,w,1735660025236
P,a,1735660025372
R,a,1735660025499
P,r,1735660025804
R,r,1735660025884
P,s,1735660026472
R,s,1735660026544
P,Key.space,1735660026608
R,Key.space,1735660026654
P,Key.backspace,1735660027429
R,Key.backspace,1735660027488
P,Key.backspace,1735660027567
R,Key.backspace,1735660027612
P,d,1735660029054
R,d,1735660029106
P,s,1735660029231
R,s,1735660029324
P,Key.space,1735660029395
R,Key.space,1735660029434
P,a,1735660033291
R,a,1735660033516
P,n,1735660033608
R,n,1735660033701
P,d,1735660033766
R,d,1735660033883
P,Key.space,1735660033897
R,Key.space,1735660033988
P,t,1735660034337
R,t,1735660034422
P,e,1735660034533
P,h,1735660034642
R,e,1735660034661
R,h,1735660034732
P,Key.space,1735660034892
R,Key.space,1735660034961
P,Key.backspace,1735660035921
R,Key.backspace,1735660035990
P,Key.backspace,1735660036050
R,Key.backspace,1735660036138
P,Key.backspace,1735660036737
R,Key.backspace,1735660036811
P,h,1735660037320
R,h,1735660037419
P,e,1735660037499
R,e,1735660037602
P,n,1735660037738
R,n,1735660037815
P,Key.space,1735660037914
R,Key.space,1735660037998
P,h,1735660038580
R,h,1735660038662
P,e,1735660038812
R,e,1735660038914
P,Key.space,1735660038975
R,Key.space,1735660039071
P,m,1735660039377
R,m,1735660039464
P,a,1735660039484
R,a,1735660039618
P,d,1735660040098
R,d,1735660040167
P,e,1735660040251
R,e,1735660040342
P,Key.space,1735660040417
R,Key.space,1735660040499
P,a,1735660041255
R,a,1735660041377
P,Key.space,1735660041384
R,Key.space,1735660041471
P,j,1735660041973
R,j,1735660042045
P,o,1735660042350
R,o,1735660042411
P,k,1735660042558
R,k,1735660042612
P,e,1735660042710
R,e,1735660042790
P,Key.space,1735660042833
R,Key.space,1735660042901
P,a,1735660044200
R,a,1735660044320
P,b,1735660045034
R,b,1735660045128
P,o,1735660045380
R,o,1735660045488
P,u,1735660045625
R,u,1735660045713
P,t,1735660046294
R,t,1735660046361
P,Key.space,1735660046501
R,Key.space,1735660046574
P,w,1735660048255
R,w,1735660048374
P,i,1735660048488
R,i,1735660048551
P,l,1735660048861
R,l,1735660048923
