Press or Release,Key,Time
P,T,1735660002835
R,T,1735660002958
P,H,1735660003067
R,H,1735660003172
P,E,1735660003290
R,E,1735660003419
P,Key.space,1735660003524
R,Key.space,1735660003626
P,T,1735660003772
R,T,1735660003881
P,R,1735660004338
R,R,1735660004442
P,U,1735660004748
R,U,1735660004838
P,M,1735660005178
R,M,1735660005267
P,P,1735660005418
R,P,1735660005499
P,Key.space,1735660005699
R,Key.space,1735660005803
P,O,1735660006034
R,O,1735660006146
P,F,1735660006475
R,F,1735660006539
P,F,1735660006659
R,F,1735660006714
P,I,1735660006859
R,I,1735660006956
P,C,1735660007121
R,C,1735660007212
P,E,1735660007421
R,E,1735660007506
P,Key.space,1735660008282
R,Key.space,1735660008371
P,M,1735660008761
R,M,1735660008854
P,E,1735660009017
R,E,1735660009089
P,E,1735660009194
R,E,1735660009274
P,T,1735660009468
R,T,1735660009564
P,I,1735660009739
R,I,1735660009835
P,N,1735660010002
R,N,1735660010089
P,G,1735660010299
R,G,1735660010405
P,Key.space,1735660010531
R,Key.space,1735660010627
P,I,1735660010907
R,I,1735660010969
P,Key.space,1735660011169
R,Key.space,1735660011251
P,S,1735660011411
R,S,1735660011538
P,J,1735660011773
R,J,1735660011889
P,O,1735660012002
R,O,1735660012116
P,I,1735660012222
R,I,1735660012278
P,N,1735660012448
R,N,1735660012540
P,E,1735660012695
R,E,1735660012782
P,D,1735660012922
R,D,1735660013057
P,Key.space,1735660013586
R,Key.space,1735660013707
P,O,1735660014139
R,O,1735660014210
P,N,1735660014445
R,N,1735660014501
P,Key.space,1735660014653
R,Key.space,1735660014731
P,V,1735660015435
R,V,1735660015515
P,A,1735660015713
R,A,1735660015865
P,N,1735660015946
R,N,1735660016026
P,S,1735660016179
R,S,1735660016283
P,Y,1735660016442
R,Y,1735660016513
P,Key.space,1735660016723
R,Key.space,1735660016802
P,A,1735660016964
R,A,1735660017092
P,N,1735660017240
R,N,1735660017307
P,D,1735660017578
R,D,1735660017680
P,Key.space,1735660017837
R,Key.space,1735660017948
P,X,1735660018764
R,X,1735660018766
P,Key.backspace,1735660019122
R,Key.backspace,1735660019187
P,Z,1735660019462
R,Z,1735660019548
P,E,1735660019701
R,E,1735660019815
P,E,1735660019956
R,E,1735660020025
P,L,1735660020625
R,L,1735660020724
P,A,1735660020974
R,A,1735660021083
P,N,1735660021274
R,N,1735660021379
P,X,1735660021522
R,X,1735660021610
P,Y,1735660021881
R,Y,1735660021955
P,.,1735660024019
R,.,1735660024097
P,Key.space,1735660024299
R,Key.space,1735660024396
P,T,1735660025522
R,T,1735660025642
P,H,1735660026467
R,H,1735660026554
P,E,1735660026729
R,E,1735660026849
P,Key.space,1735660027001
R,Key.space,1735660027082
P,O,1735660027389
R,O,1735660027457
P,Key.backspace,1735660027977
R,Key.backspace,1735660028041
P,M,1735660028371
R,M,1735660028476
P,E,1735660028801
R,E,1735660028882
P,E,1735660028982
R,E,1735660029065
P,T,1735660029219
R,T,1735660029298
P,I,1735660029483
R,I,1735660029558
P,N,1735660029738
R,N,1735660029810
P,G,1735660030057
R,G,1735660030162
P,Key.space,1735660030242
R,Key.space,1735660030323
P,I,1735660030514
R,I,1735660030561
P,S,1735660030755
R,S,1735660030889
P,Key.space,1735660030965
R,Key.space,1735660031017
P,O,1735660032483
R,O,1735660032570
P,B,1735660032857
R,B,1735660032938
P,E,1735660033090
R,E,1735660033206
P,D,1735660033364
R,D,1735660033492
P,I,1735660033598
R,I,1735660033689
P,E,1735660033826
R,E,1735660033938
P,N,1735660034041
R,N,1735660034139
P,T,1735660034259
R,T,1735660034358
P,Key.space,1735660034523
R,Key.space,1735660034595
P,T,1735660035540
R,T,1735660035633
P,O,1735660035762
R,O,1735660035858
P,Key.space,1735660036099
R,Key.space,1735660036203
P,C,1735660036770
R,C,1735660036873
P,L,1735660037009
R,L,1735660037098
P,A,1735660037275
R,A,1735660037394
P,R,1735660037626
R,R,1735660037747
P,I,1735660037930
R,I,1735660037978
P,F,1735660038283
R,F,1735660038403
P,Y,1735660038490
R,Y,1735660038564
P,Key.space,1735660038794
R,Key.space,1735660038873
P,T,1735660039011
R,T,1735660039124
P,O,1735660039283
R,O,1735660039353
P,Key.space,1735660039571
R,Key.space,1735660039633
P,E,1735660040379
R,E,1735660040467
P,X,1735660040890
R,X,1735660040970
P,T,1735660041178
R,T,1735660041283
P,R,1735660041378
R,R,1735660041467
P,A,1735660041658
R,A,1735660041819
P,C,1735660041897
R,C,1735660041985
P,R,1735660042211
R,R,1735660042322
P,Key.backspace,1735660043083
R,Key.backspace,1735660043146
P,T,1735660043330
R,T,1735660043447
P,Key.space,1735660043644
R,Key.space,1735660043723
P,G,1735660045034
R,G,1735660045195
P,O,1735660045299
R,O,1735660045395
P,V,1735660045715
R,V,1735660045778
P,E,1735660045954
R,E,1735660046131
P,R,1735660046139
R,R,1735660046251
P,N,1735660046418
R,N,1735660046490
P,M,1735660046633
R,M,1735660046715
P,E,1735660046850
R,E,1735660046950
P,N,1735660047114
R,N,1735660047186
P,T,1735660047315
R,T,1735660047403
P,Key.space,1735660047579
R,Key.space,1735660047650
P,W,1735660047809
R,W,1735660047955
P,O,1735660048102
R,O,1735660048169
P,R,1735660048283
R,R,1735660048388
P,L,1735660048571
R,L,1735660048669
P,Key.backspace,1735660049058
R,Key.backspace,1735660049128
P,K,1735660049389
R,K,1735660049450
P,Key.space,1735660049803
R,Key.space,1735660049892
P,S,1735660050294
R,S,1735660050446
P,Key.backspace,1735660051034
R,Key.backspace,1735660051101
P,I,1735660051430
R,I,1735660051509
P,S,1735660051699
R,S,1735660051826
P,Key.space,1735660051890
R,Key.space,1735660051967
P,A,1735660052131
R,A,1735660052316
P,Key.space,1735660052467
R,Key.space,1735660052538
P,D,1735660053227
R,D,1735660053357
P,I,1735660053626
R,I,1735660053718
P,S,1735660053885
R,S,1735660054026
P,T,1735660054979
R,T,1735660055083
P,R,1735660055218
R,R,1735660055294
P,I,1735660055532
R,I,1735660055635
P,B,1735660055825
R,B,1735660055917
P,U,1735660056396
R,U,1735660056458
P,T,1735660056660
R,T,1735660056731
P,E,1735660056891
R,E,1735660056983
P,Key.space,1735660057091
R,Key.space,1735660057170
P,O,1735660057548
R,O,1735660057550
P,N,1735660057601
R,N,1735660057702
P,Key.space,1735660058057
R,Key.space,1735660058124
P,A,1735660058280
R,A,1735660058481
P,Key.space,1735660058568
R,Key.space,1735660058655
P,T,1735660064381
R,T,1735660064466
P,H,1735660064545
R,H,1735660064636
P,I,1735660064737
R,I,1735660064818
P,D,1735660064964
R,D,1735660065026
P,Key.backspace,1735660065590
R,Key.backspace,1735660065657
P,S,1735660065873
R,S,1735660065996
P,Key.space,1735660066132
R,Key.space,1735660066220
P,W,1735660066390
R,W,1735660066501
P,O,1735660066783
R,O,1735660066906
P,R,1735660067075
R,R,1735660067155
P,L,1735660067363
R,L,1735660067466
P,D,1735660067651
R,D,1735660067723
P,.,1735660068829
R,.,1735660068885
