Press or Release,Key,Time
P,Key.shift,1735660019428
P,I,1735660019562
R,Key.shift,1735660019643
R,I,1735660019663
P,n,1735660019789
R,n,1735660019868
P,Key.space,1735660019974
R,Key.space,1735660020058
P,d,1735660020128
R,d,1735660020230
P,i,1735660020255
R,i,1735660020334
P,p,1735660020654
R,p,1735660020723
P,o,1735660020846
R,o,1735660020915
P,l,1735660021037
R,l,1735660021111
P,m,1735660021380
R,m,1735660021444
P,a,1735660021536
R,a,1735660021643
P,c,1735660021748
R,c,1735660021826
P,y,1735660021956
R,y,1735660022029
P,Key.space,1735660022227
R,Key.space,1735660022286
P,Key.comma,1735660024043
R,Key.comma,1735660024107
P,Key.space,1735660024212
R,Key.space,1735660024284
P,r,1735660024376
R,r,1735660024455
P,e,1735660024540
R,e,1735660024624
P,s,1735660024726
R,s,1735660024828
P,p,1735660024839
R,p,1735660024935
P,e,1735660024981
R,e,1735660025084
P,c,1735660025165
R,c,1735660025241
P,t,1735660025345
R,t,1735660025420
P,Key.space,1735660025603
R,Key.space,1735660025691
P,i,1735660026134
R,i,1735660026217
P,s,1735660026283
P,Key.space,1735660026361
R,s,1735660026374
R,Key.space,1735660026440
P,n,1735660026529
R,n,1735660026592
P,o,1735660026689
R,o,1735660026773
P,t,1735660026899
R,t,1735660026977
P,Key.space,1735660027098
R,Key.space,1735660027165
P,a,1735660027249
R,a,1735660027351
P,Key.space,1735660027366
R,Key.space,1735660027438
P,l,1735660028010
R,l,1735660028131
P,u,1735660028239
R,u,1735660028321
P,x,1735660028840
R,x,1735660028925
P,u,1735660029067
R,u,1735660029147
P,r,1735660029312
R,r,1735660029417
P,y,1735660029566
R,y,1735660029651
P,Key.space,1735660030637
R,Key.space,1735660030730
P,Key.comma,1735660031631
R,Key.comma,1735660031694
P,Key.space,1735660031813
R,Key.space,1735660031875
P,i,1735660032013
R,i,1735660032082
P,t,1735660032200
R,t,1735660032282
P,s,1735660032332
R,s,1735660032415
P,Key.space,1735660032455
R,Key.space,1735660032543
P,a,1735660032709
R,a,1735660032804
P,Key.backspace,1735660033207
R,Key.backspace,1735660033295
P,t,1735660033551
R,t,1735660033628
P,h,1735660033723
R,h,1735660033802
P,e,1735660033826
R,e,1735660033915
P,Key.space,1735660033929
R,Key.space,1735660033999
P,c,1735660034118
R,c,1735660034194
P,u,1735660034327
R,u,1735660034403
P,r,1735660034493
R,r,1735660034579
P,r,1735660034630
R,r,1735660034719
P,e,1735660034819
R,e,1735660034914
P,n,1735660034931
R,n,1735660035015
P,c,1735660035119
R,c,1735660035187
P,y,1735660035323
R,y,1735660035397
P,Key.space,1735660035540
R,Key.space,1735660035623
P,t,1735660036488
R,t,1735660036563
P,h,1735660036667
P,a,1735660036762
R,h,1735660036768
P,t,1735660036864
R,a,1735660036865
R,t,1735660036939
P,Key.space,1735660037075
R,Key.space,1735660037149
P,s,1735660037198
R,s,1735660037306
P,u,1735660037404
R,u,1735660037494
P,s,1735660037577
R,s,1735660037676
P,t,1735660037744
R,t,1735660037822
P,a,1735660037951
R,a,1735660038047
P,i,1735660038223
R,i,1735660038282
P,n,1735660038654
R,n,1735660038725
P,Key.space,1735660039303
R,Key.space,1735660039363
P,t,1735660039661
R,t,1735660039745
P,r,1735660039842
R,r,1735660039928
P,i,1735660040207
R,i,1735660040282
P,Key.backspace,1735660040730
R,Key.backspace,1735660040816
P,u,1735660040983
R,u,1735660041067
P,s,1735660041163
P,t,1735660041254
R,s,1735660041258
R,t,1735660041332
P,.,1735660043797
R,.,1735660043866
P,Key.space,1735660044016
R,Key.space,1735660044080
P,Key.shift,1735660044243
P,R,1735660044313
R,Key.shift,1735660044356
R,R,1735660044407
P,e,1735660044499
R,e,1735660044582
P,s,1735660044732
R,s,1735660044835
