Press or Release,Key,Time
P,Key.shift,1735660004408
P,H,1735660004588
R,H,1735660004682
R,Key.shift,1735660004687
P,e,1735660005048
R,e,1735660005147
P,a,1735660005339
R,a,1735660005506
P,t,1735660005593
R,t,1735660005674
P,e,1735660005814
R,e,1735660005925
P,d,1735660006041
R,d,1735660006132
P,Key.space,1735660006182
R,Key.space,1735660006262
P,Key.shift,1735660006715
P,A,1735660006909
R,Key.shift,1735660007048
R,A,1735660007066
P,r,1735660007418
R,r,1735660007528
P,g,1735660007833
R,g,1735660007940
P,u,1735660008074
R,u,1735660008196
P,m,1735660008322
R,m,1735660008415
P,e,1735660008432
R,e,1735660008545
P,n,1735660008560
R,n,1735660008648
P,t,1735660008808
R,t,1735660008881
P,Key.space,1735660008924
R,Key.space,1735660009015
P,Key.shift,1735660009218
P,L,1735660009489
R,L,1735660009535
R,Key.shift,1735660009898
P,Key.backspace,1735660010021
R,Key.backspace,1735660010134
P,Key.shift,1735660010196
P,A,1735660010291
R,A,1735660010463
R,Key.shift,1735660010468
P,l,1735660010471
R,l,1735660010569
P,e,1735660011360
R,e,1735660011459
P,r,1735660011578
R,r,1735660011682
P,t,1735660011684
R,t,1735660011754
P,Key.shift,1735660012062
P,!,1735660012265
R,!,1735660012373
P,!,1735660012462
R,!,1735660012571
P,!,1735660012665
R,!,1735660012788
R,Key.shift,1735660012841
P,Key.space,1735660013124
R,Key.space,1735660013220
P,Key.shift,1735660014083
P,U,1735660015363
R,U,1735660015459
R,Key.shift,1735660015660
P,s,1735660016051
R,s,1735660016146
P,Key.backspace,1735660017076
R,Key.backspace,1735660017196
P,.,1735660017642
R,.,1735660017717
P,Key.shift,1735660017880
P,S,1735660018089
R,S,1735660018218
R,Key.shift,1735660018300
P,Key.space,1735660019085
R,Key.space,1735660019177
P,Key.shift,1735660019504
R,Key.shift,1735660019741
P,p,1735660019992
R,p,1735660020105
P,r,1735660020142
R,r,1735660020233
P,e,1735660020392
R,e,1735660020484
P,s,1735660020685
R,s,1735660020786
P,i,1735660020987
R,i,1735660021099
P,d,1735660021117
R,d,1735660021209
P,e,1735660021335
R,e,1735660021440
P,n,1735660021448
R,n,1735660021522
P,t,1735660021786
R,t,1735660021902
P,Key.space,1735660021930
R,Key.space,1735660022029
P,a,1735660022141
R,a,1735660022285
P,n,1735660022404
R,n,1735660022468
P,d,1735660022573
R,d,1735660022691
P,Key.space,1735660022693
R,Key.space,1735660022770
P,Key.shift,1735660023025
P,V,1735660023354
R,V,1735660023431
R,Key.shift,1735660023923
P,Key.shift,1735660024377
P,P,1735660025064
R,P,1735660025163
R,Key.shift,1735660025248
P,Key.space,1735660025419
R,Key.space,1735660025507
P,Key.shift,1735660025773
R,Key.shift,1735660026083
P,a,1735660027329
R,a,1735660027413
P,h,1735660027441
R,h,1735660027508
P,Key.backspace,1735660027797
R,Key.backspace,1735660027909
P,Key.backspace,1735660028008
R,Key.backspace,1735660028097
P,h,1735660028525
R,h,1735660028614
P,a,1735660028662
R,a,1735660028773
P,v,1735660028790
R,v,1735660028873
P,e,1735660028927
P,Key.space,1735660029043
R,e,1735660029058
R,Key.space,1735660029125
P,a,1735660029262
R,a,1735660029368
P,n,1735660029372
R,n,1735660029462
P,Key.space,1735660029611
R,Key.space,1735660029708
P,h,1735660031395
R,h,1735660031480
P,e,1735660031566
R,e,1735660031656
P,a,1735660031902
R,a,1735660032024
P,t,1735660032098
R,t,1735660032190
P,e,1735660032246
R,e,1735660032330
P,d,1735660032447
R,d,1735660032540
P,Key.space,1735660032552
R,Key.space,1735660032662
P,a,1735660032770
R,a,1735660032893
P,r,1735660032927
R,r,1735660033004
P,g,1735660033205
R,g,1735660033300
P,u,1735660033431
R,u,1735660033525
P,m,1735660034012
R,m,1735660034098
P,e,1735660034155
R,e,1735660034248
P,n,1735660034283
R,n,1735660034368
P,t,1735660034516
R,t,1735660034611
P,Key.space,1735660034646
R,Key.space,1735660034735
P,w,1735660034921
R,w,1735660035042
P,i,1735660035066
R,i,1735660035187
P,t,1735660035303
R,t,1735660035392
P,h,1735660035473
P,Key.space,1735660035557
R,h,1735660035573
R,Key.space,1735660035656
