Press or Release,Key,Time
P,Key.shift,1735660006299
P,W,1735660006720
R,Key.shift,1735660006811
R,W,1735660006845
P,i,1735660006929
R,i,1735660007011
P,s,1735660007038
R,s,1735660007174
P,h,1735660007197
R,h,1735660007258
P,Key.space,1735660008121
R,Key.space,1735660008211
P,m,1735660008319
R,m,1735660008380
P,o,1735660008467
P,r,1735660008550
R,o,1735660008579
P,e,1735660008679
P,Key.space,1735660008699
R,r,1735660008712
R,e,1735660008768
R,Key.space,1735660008801
P,p,1735660008869
R,p,1735660008936
P,e,1735660009096
P,o,1735660009208
R,e,1735660009219
R,o,1735660009265
P,p,1735660009353
R,p,1735660009409
P,l,1735660009509
R,l,1735660009579
P,e,1735660009627
R,e,1735660009729
P,AudioVolumeMute,1735660010126
R,AudioVolumeMute,1735660010132
P,AudioVolumeMute,1735660016570
R,AudioVolumeMute,1735660016571
P,Key.space,1735660016884
R,Key.space,1735660017032
P,s,1735660019663
R,s,1735660019753
P,t,1735660019811
R,t,1735660019911
P,o,1735660019964
R,o,1735660020011
P,o,1735660020081
P,d,1735660020159
R,o,1735660020172
P,Key.space,1735660020247
R,d,1735660020260
P,u,1735660020342
R,Key.space,1735660020360
R,u,1735660020424
P,p,1735660020525
R,p,1735660020597
P,Key.space,1735660020644
P,f,1735660020741
R,Key.space,1735660020750
R,f,1735660020811
P,o,1735660020837
R,o,1735660020903
P,r,1735660020937
R,r,1735660021008
P,Key.space,1735660021018
P,t,1735660021132
R,Key.space,1735660021152
R,t,1735660021213
P,h,1735660021219
R,h,1735660021274
P,e,1735660021311
P,i,1735660021411
R,e,1735660021433
R,i,1735660021480
P,r,1735660021502
R,r,1735660021612
P,Key.space,1735660021628
R,Key.space,1735660021727
P,v,1735660021817
R,v,1735660021928
P,Key.backspace,1735660022294
R,Key.backspace,1735660022404
P,w,1735660022594
R,w,1735660022707
P,i,1735660022738
R,i,1735660022811
P,v,1735660023295
R,v,1735660023417
P,e,1735660023508
R,e,1735660023582
P,s,1735660023692
P,Key.space,1735660023748
R,s,1735660023787
R,Key.space,1735660023844
P,l,1735660023851
R,l,1735660023922
P,i,1735660024050
R,i,1735660024110
P,k,1735660024205
P,e,1735660024271
R,k,1735660024295
R,e,1735660024378
P,Key.space,1735660024415
R,Key.space,1735660024541
P,Key.shift,1735660024562
P,W,1735660024657
R,Key.shift,1735660024714
R,W,1735660024758
P,i,1735660024794
R,i,1735660024858
P,l,1735660025014
R,l,1735660025075
P,l,1735660025152
R,l,1735660025242
P,Key.space,1735660025261
R,Key.space,1735660025360
P,Key.shift,1735660025425
P,S,1735660025551
R,Key.shift,1735660025613
R,S,1735660025661
P,m,1735660025681
R,m,1735660025744
P,i,1735660025849
R,i,1735660025920
P,t,1735660025955
P,h,1735660026042
R,t,1735660026059
R,h,1735660026108
P,Key.space,1735660026175
R,Key.space,1735660026262
P,j,1735660026283
R,j,1735660026330
P,u,1735660026446
R,u,1735660026504
P,s,1735660026548
R,s,1735660026627
P,t,1735660026704
P,Key.space,1735660026793
R,t,1735660026809
P,d,1735660026910
R,Key.space,1735660026927
R,d,1735660027003
P,i,1735660027033
P,d,1735660027109
R,i,1735660027124
