Press or Release,Key,Time
P,=,1735660002075
R,=,1735660002139
P,Key.backspace,1735660002145
R,Key.backspace,1735660002149
P,Key.shift,1735660002153
P,T,1735660002158
R,T,1735660002160
R,Key.shift,1735660002160
P,h,1735660002175
R,h,1735660002175
P,e,1735660002190
R,e,1735660002191
P,Key.space,1735660002207
R,Key.space,1735660002207
P,Key.shift,1735660002223
P,O,1735660002224
R,O,1735660002225
R,Key.shift,1735660002225
P,s,1735660002239
R,s,1735660002240
P,c,1735660002254
R,c,1735660002255
P,a,1735660002274
R,a,1735660002275
P,r,1735660002286
R,r,1735660002287
P,Key.space,1735660002302
R,Key.space,1735660002302
P,s,1735660002318
R,s,1735660002319
P,l,1735660002334
R,l,1735660002335
P,a,1735660002350
R,a,1735660002351
P,p,1735660002365
R,p,1735660002366
P,Key.space,1735660002380
R,Key.space,1735660002382
P,b,1735660002395
R,b,1735660002396
P,e,1735660002411
R,e,1735660002412
P,t,1735660002426
R,t,1735660002427
P,w,1735660002442
R,w,1735660002443
P,e,1735660002459
R,e,1735660002460
P,e,1735660002473
R,e,1735660002474
P,n,1735660002489
R,n,1735660002490
P,Key.space,1735660002504
R,Key.space,1735660002505
P,Key.shift,1735660002520
P,W,1735660002522
R,W,1735660002523
R,Key.shift,1735660002523
P,i,1735660002536
R,i,1735660002536
P,l,1735660002550
R,l,1735660002551
P,l,1735660002567
R,l,1735660002568
P,Key.space,1735660002589
R,Key.space,1735660002590
P,Key.shift,1735660002599
P,S,1735660002600
R,S,1735660002601
R,Key.shift,1735660002602
P,m,1735660002614
R,m,1735660002615
P,i,1735660002630
R,i,1735660002631
P,t,1735660002645
R,t,1735660002647
P,h,1735660002661
R,h,1735660002662
P,Key.space,1735660002678
R,Key.space,1735660002679
P,a,1735660002692
R,a,1735660002693
P,n,1735660002707
R,n,1735660002708
P,d,1735660002723
R,d,1735660002724
P,Key.space,1735660002738
R,Key.space,1735660002739
P,Key.shift,1735660002754
P,C,1735660002755
R,C,1735660002756
R,Key.shift,1735660002756
P,h,1735660002769
R,h,1735660002770
P,r,1735660002785
R,r,1735660002786
P,i,1735660002801
R,i,1735660002802
P,s,1735660002818
R,s,1735660002821
P,Key.space,1735660002833
R,Key.space,1735660002833
P,Key.shift,1735660002848
P,R,1735660002849
R,R,1735660002850
R,Key.shift,1735660002850
P,o,1735660002863
R,o,1735660002863
P,c,1735660002879
R,c,1735660002880
P,k,1735660002894
R,k,1735660002895
P,Key.space,1735660002910
R,Key.space,1735660002910
P,r,1735660002926
R,r,1735660002927
P,e,1735660002942
R,e,1735660002943
P,m,1735660002960
R,m,1735660002961
P,a,1735660002973
R,a,1735660002973
P,i,1735660002989
R,i,1735660002994
P,n,1735660003005
R,n,1735660003005
P,s,1735660003021
R,s,1735660003022
P,Key.space,1735660003036
R,Key.space,1735660003039
P,o,1735660003051
R,o,1735660003052
P,n,1735660003068
R,n,1735660003069
P,e,1735660003084
R,e,1735660003084
P,Key.space,1735660003101
R,Key.space,1735660003102
P,o,1735660003115
R,o,1735660003116
P,f,1735660003130
R,f,1735660003131
P,Key.space,1735660003146
R,Key.space,1735660003147
P,t,1735660003161
R,t,1735660003162
P,h,1735660003178
R,h,1735660003181
P,e,1735660003193
R,e,1735660003195
P,Key.space,1735660003210
R,Key.space,1735660003212
P,m,1735660003226
R,m,1735660003228
P,o,1735660003242
R,o,1735660003246
P,s,1735660003260
R,s,1735660003262
P,t,1735660003272
R,t,1735660003274
P,Key.space,1735660003287
R,Key.space,1735660003288
P,s,1735660003303
R,s,1735660003304
P,h,1735660003318
R,h,1735660003319
P,o,1735660003333
R,o,1735660003334
P,c,1735660003350
R,c,1735660003351
P,k,1735660003364
R,k,1735660003365
P,i,1735660003380
R,i,1735660003382
P,n,1735660003395
R,n,1735660003396
