Press or Release,Key,Time
P,Key.shift,1735660006993
P,V,1735660007108
R,V,1735660007240
R,Key.shift,1735660007299
P,e,1735660007319
R,e,1735660007484
P,r,1735660007541
P,y,1735660007672
R,r,1735660007687
R,y,1735660007778
P,Key.space,1735660008071
R,Key.space,1735660008208
P,c,1735660008589
R,c,1735660008729
P,u,1735660008751
R,u,1735660008872
P,t,1735660008956
R,t,1735660009073
P,e,1735660009345
R,e,1735660009466
P,Key.backspace,1735660011557
R,Key.backspace,1735660012423
P,Key.shift,1735660012512
P,S,1735660012688
R,Key.shift,1735660012815
R,S,1735660012848
P,u,1735660012879
R,u,1735660013032
P,c,1735660013217
P,h,1735660013354
R,c,1735660013366
R,h,1735660013464
P,Key.space,1735660013599
R,Key.space,1735660013743
P,Key.space,1735660013871
R,Key.space,1735660013959
P,l,1735660014129
R,l,1735660014257
P,o,1735660014318
R,o,1735660014429
P,v,1735660014498
R,v,1735660014621
P,e,1735660014762
R,e,1735660014904
P,Key.backspace,1735660015283
R,Key.backspace,1735660015415
P,Key.backspace,1735660015456
R,Key.backspace,1735660015550
P,Key.backspace,1735660015707
R,Key.backspace,1735660015805
P,Key.backspace,1735660015890
R,Key.backspace,1735660015983
P,Key.backspace,1735660016329
R,Key.backspace,1735660016418
P,a,1735660016551
R,a,1735660016694
P,Key.space,1735660017197
R,Key.space,1735660017332
P,l,1735660017462
R,l,1735660017577
P,v,1735660017725
R,v,1735660017862
P,Key.backspace,1735660018298
R,Key.backspace,1735660018409
P,o,1735660018690
R,o,1735660018798
P,v,1735660018836
R,v,1735660018951
P,e,1735660019086
P,l,1735660019217
R,e,1735660019246
R,l,1735660019343
P,y,1735660019443
R,y,1735660019542
P,Key.space,1735660019579
R,Key.space,1735660019717
P,s,1735660019802
R,s,1735660019941
P,c,1735660020083
R,c,1735660020211
P,e,1735660020220
R,e,1735660020358
P,n,1735660020381
R,n,1735660020506
P,e,1735660020544
R,e,1735660020681
P,.,1735660021024
R,.,1735660021123
P,Key.space,1735660021308
R,Key.space,1735660021430
P,Key.shift,1735660022287
P,T,1735660022467
R,T,1735660022572
R,Key.shift,1735660022595
P,h,1735660022656
R,h,1735660022774
P,a,1735660022787
P,t,1735660022892
R,a,1735660022942
R,t,1735660022997
P,Key.space,1735660023064
R,Key.space,1735660023182
P,h,1735660023267
P,e,1735660023361
R,h,1735660023373
R,e,1735660023520
P,Key.backspace,1735660024025
R,Key.backspace,1735660024147
P,Key.backspace,1735660024223
R,Key.backspace,1735660024327
P,t,1735660026140
R,t,1735660026289
P,h,1735660026372
R,h,1735660026499
P,a,1735660026661
R,a,1735660026844
P,k,1735660027060
R,k,1735660027180
P,y,1735660027215
P,o,1735660027286
R,y,1735660027347
R,o,1735660027412
P,u,1735660027511
R,u,1735660027603
P,Key.space,1735660027685
P,f,1735660027795
R,Key.space,1735660027807
R,f,1735660027911
P,r,1735660027995
P,o,1735660028081
R,r,1735660028122
R,o,1735660028181
P,m,1735660028243
R,m,1735660028348
P,Key.space,1735660028429
R,Key.space,1735660028528
P,h,1735660028627
R,h,1735660028725
P,i,1735660028784
P,s,1735660028888
R,i,1735660028897
P,Key.space,1735660029009
R,s,1735660029023
R,Key.space,1735660029127
P,s,1735660029326
R,s,1735660029431
P,t,1735660029519
P,u,1735660029623
R,t,1735660029646
R,u,1735660029740
P,d,1735660029878
P,e,1735660030014
R,d,1735660030043
P,n,1735660030133
R,e,1735660030167
R,n,1735660030271
P,t,1735660030296
R,t,1735660030412
P,s,1735660030518
P,Key.space,1735660030603
R,s,1735660030621
R,Key.space,1735660030742
P,r,1735660030971
R,r,1735660031098
P,e,1735660031236
R,e,1735660031396
P,a,1735660031595
P,l,1735660031757
R,a,1735660031767
R,l,1735660031856
P,l,1735660031920
R,l,1735660032043
P,y,1735660032162
R,y,1735660032299
P,Key.space,1735660032310
R,Key.space,1735660032425
