Press or Release,Key,Time
P,Key.ctrl,1735660028658
P,a,1735660028850
R,a,1735660028946
R,Key.ctrl,1735660028962
P,=,1735660029266
R,=,1735660029313
P,Key.backspace,1735660029348
R,Key.backspace,1735660029355
P,Key.shift,1735660029356
P,T,1735660029360
R,T,1735660029365
R,Key.shift,1735660029366
P,h,1735660029376
R,h,1735660029378
P,a,1735660029387
R,a,1735660029388
P,t,1735660029403
R,t,1735660029404
P,Key.space,1735660029419
R,Key.space,1735660029420
P,m,1735660029434
R,m,1735660029436
P,o,1735660029464
R,o,1735660029466
P,m,1735660029496
R,m,1735660029497
P,e,1735660029512
R,e,1735660029513
P,n,1735660029543
R,n,1735660029545
P,t,1735660029576
R,t,1735660029577
P,Key.space,1735660029591
R,Key.space,1735660029592
P,a,1735660029607
R,a,1735660029608
P,t,1735660029622
R,t,1735660029624
P,Key.space,1735660029639
R,Key.space,1735660029640
P,t,1735660029653
R,t,1735660029655
P,h,1735660029670
R,h,1735660029672
P,e,1735660029685
R,e,1735660029686
P,Key.space,1735660029701
R,Key.space,1735660029702
P,9,1735660029717
R,9,1735660029719
P,4,1735660029734
R,4,1735660029736
P,t,1735660029750
R,t,1735660029752
P,h,1735660029765
R,h,1735660029766
P,Key.space,1735660029780
R,Key.space,1735660029782
P,Key.shift,1735660029796
P,O,1735660029797
R,O,1735660029799
R,Key.shift,1735660029799
P,s,1735660029813
R,s,1735660029814
P,c,1735660029827
R,c,1735660029828
P,a,1735660029842
R,a,1735660029843
P,r,1735660029859
R,r,1735660029860
P,s,1735660029874
R,s,1735660029876
P,…,1735660029890
R,…,1735660029893
P,Key.space,1735660029906
R,Key.space,1735660029907
P,i,1735660029921
R,i,1735660029922
P,t,1735660029937
R,t,1735660029938
P,’,1735660029952
R,’,1735660029953
P,s,1735660029967
R,s,1735660029969
P,Key.space,1735660029983
R,Key.space,1735660029985
P,h,1735660029999
R,h,1735660030000
P,a,1735660030014
R,a,1735660030016
P,r,1735660030031
R,r,1735660030033
P,d,1735660030045
R,d,1735660030046
P,Key.space,1735660030061
R,Key.space,1735660030062
P,t,1735660030076
R,t,1735660030077
P,o,1735660030092
R,o,1735660030094
P,Key.space,1735660030108
R,Key.space,1735660030109
P,b,1735660030124
R,b,1735660030125
P,e,1735660030140
R,e,1735660030141
P,l,1735660030155
R,l,1735660030157
P,i,1735660030171
R,i,1735660030172
P,e,1735660030186
R,e,1735660030187
P,v,1735660030201
R,v,1735660030203
P,e,1735660030217
R,e,1735660030218
P,Key.space,1735660030233
R,Key.space,1735660030235
P,i,1735660030250
R,i,1735660030252
P,t,1735660030265
R,t,1735660030266
P,Key.space,1735660030280
R,Key.space,1735660030282
P,a,1735660030295
R,a,1735660030297
P,c,1735660030311
R,c,1735660030314
P,t,1735660030326
R,t,1735660030327
P,u,1735660030342
R,u,1735660030343
P,a,1735660030358
R,a,1735660030359
P,l,1735660030374
R,l,1735660030376
P,l,1735660030390
R,l,1735660030392
P,y,1735660030405
R,y,1735660030406
P,Key.space,1735660030421
R,Key.space,1735660030422
P,h,1735660030436
R,h,1735660030438
P,a,1735660030453
R,a,1735660030455
P,p,1735660030467
R,p,1735660030469
P,p,1735660030483
R,p,1735660030485
P,e,1735660030499
R,e,1735660030501
P,n,1735660030514
R,n,1735660030515
P,e,1735660030531
R,e,1735660030533
P,d,1735660030545
R,d,1735660030546
P,.,1735660030561
R,.,1735660030562
P,Key.space,1735660030577
R,Key.space,1735660030578
P,Key.space,1735660030592
R,Key.space,1735660030594
