Press or Release,Key,Time
P,Key.shift,1735660848028
P,A,1735660848074
R,Key.shift,1735660848235
R,A,1735660848250
P,n,1735660848330
R,n,1735660848474
P,Key.space,1735660848539
R,Key.space,1735660848683
P,Key.space,1735660848731
R,Key.space,1735660848811
P,a,1735660849418
R,a,1735660849579
P,n,1735660849594
R,n,1735660849722
P,c,1735660850059
R,c,1735660850203
P,h,1735660850634
R,h,1735660850794
P,o,1735660850843
R,o,1735660850987
P,r,1735660850987
R,r,1735660851099
P,Key.space,1735660851114
R,Key.space,1735660851211
P,d,1735660851355
R,d,1735660851466
P,o,1735660851499
P,i,1735660851658
R,o,1735660851690
R,i,1735660851803
P,n,1735660851883
R,n,1735660852027
P,g,1735660852060
R,g,1735660852155
P,Key.space,1735660852155
R,Key.space,1735660852266
P,h,1735660852539
R,h,1735660852651
P,i,1735660852683
P,s,1735660852763
R,i,1735660852780
R,s,1735660852891
P,Key.space,1735660852891
R,Key.space,1735660852972
P,h,1735660853835
R,h,1735660853931
P,o,1735660854010
R,o,1735660854155
P,b,1735660854204
R,b,1735660854347
P,Key.space,1735660854411
R,Key.space,1735660854555
P,i,1735660854667
R,i,1735660854794
P,n,1735660854878
R,n,1735660854986
P,Key.space,1735660855052
R,Key.space,1735660855148
P,t,1735660855979
R,t,1735660856203
P,h,1735660856299
R,h,1735660856428
P,e,1735660856460
R,e,1735660856555
P,Key.space,1735660856570
R,Key.space,1735660856651
P,c,1735660856907
R,c,1735660857035
P,o,1735660857070
R,o,1735660857130
P,m,1735660857275
R,m,1735660857403
P,e,1735660857418
R,e,1735660857500
P,d,1735660857610
R,d,1735660857707
P,i,1735660857723
R,i,1735660857835
P,c,1735660857851
R,c,1735660857963
P,Key.space,1735660858060
R,Key.space,1735660858155
P,w,1735660858698
R,w,1735660858826
P,a,1735660858859
P,y,1735660858986
R,a,1735660859051
R,y,1735660859099
P,Key.space,1735660859195
R,Key.space,1735660859275
P,b,1735660859372
R,b,1735660859483
P,y,1735660859611
R,y,1735660859723
P,Key.space,1735660859883
R,Key.space,1735660860027
P,m,1735660860075
R,m,1735660860170
P,a,1735660860187
R,a,1735660860347
P,k,1735660860347
R,k,1735660860411
P,i,1735660860523
R,i,1735660860602
P,n,1735660860699
R,n,1735660860826
P,g,1735660860858
R,g,1735660860971
P,Key.space,1735660860987
R,Key.space,1735660861099
P,o,1735660861419
R,o,1735660861547
P,t,1735660861563
P,h,1735660861627
R,t,1735660861675
R,h,1735660861739
P,e,1735660861771
R,e,1735660861900
P,r,1735660862460
R,r,1735660862555
P,Key.space,1735660863851
R,Key.space,1735660863963
P,p,1735660864267
R,p,1735660864379
P,e,1735660864475
R,e,1735660864571
P,o,1735660864571
R,o,1735660864635
P,p,1735660864747
R,p,1735660864827
P,l,1735660864988
R,l,1735660865099
